year,regtyp,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Much Too Small,0.02604,166,4178,0.02121,0.03087
1985,Urban regions,A Bit Too Small,0.12049,646,4178,0.11061,0.13036
1985,Urban regions,Just Right,0.76373,3088,4178,0.75085,0.77662
1985,Urban regions,A Bit Too Large,0.07187,238,4178,0.06404,0.07970
1985,Urban regions,Much Too Large,0.01207,40,4178,0.00876,0.01538
1985,Rural regions,A Bit Too Small,0.08605,113,1032,0.06893,0.10316
1985,Rural regions,Just Right,0.77776,821,1032,0.75238,0.80314
1985,Rural regions,A Bit Too Large,0.10731,98,1032,0.08842,0.12621
1986,Urban regions,Much Too Small,0.02111,127,3961,0.01663,0.02558
1986,Urban regions,A Bit Too Small,0.12302,596,3961,0.11279,0.13325
1986,Urban regions,Just Right,0.76635,3010,3961,0.75317,0.77953
1986,Urban regions,A Bit Too Large,0.07188,228,3961,0.06384,0.07993
1986,Rural regions,A Bit Too Small,0.08392,103,972,0.06648,0.10135
1986,Rural regions,Just Right,0.76999,773,972,0.74352,0.79646
1986,Rural regions,A Bit Too Large,0.10919,96,972,0.08958,0.12881
1987,Urban regions,Much Too Small,0.01912,108,3920,0.01483,0.02341
1987,Urban regions,A Bit Too Small,0.11400,561,3920,0.10405,0.12396
1987,Urban regions,Just Right,0.77822,3015,3920,0.76521,0.79123
1987,Urban regions,A Bit Too Large,0.07567,236,3920,0.06739,0.08395
1987,Rural regions,A Bit Too Small,0.08792,104,969,0.07008,0.10576
1987,Rural regions,Just Right,0.77825,771,969,0.75208,0.80442
1987,Rural regions,A Bit Too Large,0.10453,94,969,0.08526,0.12380
1988,Urban regions,Much Too Small,0.01843,104,3785,0.01415,0.02272
1988,Urban regions,A Bit Too Small,0.11437,521,3785,0.10423,0.12451
1988,Urban regions,Just Right,0.78316,2935,3785,0.77003,0.79629
1988,Urban regions,A Bit Too Large,0.07334,225,3785,0.06504,0.08165
1988,Rural regions,A Bit Too Small,0.08016,93,916,0.06256,0.09775
1988,Rural regions,Just Right,0.78329,733,916,0.75659,0.80998
1988,Rural regions,A Bit Too Large,0.10737,90,916,0.08731,0.12743
1989,Urban regions,Much Too Small,0.01786,101,3702,0.01359,0.02212
1989,Urban regions,A Bit Too Small,0.11296,504,3702,0.10276,0.12316
1989,Urban regions,Just Right,0.78505,2874,3702,0.77182,0.79829
1989,Urban regions,A Bit Too Large,0.07245,223,3702,0.06410,0.08080
1989,Rural regions,A Bit Too Small,0.07872,88,879,0.06090,0.09653
1989,Rural regions,Just Right,0.77818,699,879,0.75070,0.80566
1989,Rural regions,A Bit Too Large,0.11292,92,879,0.09198,0.13385
1990,Urban regions,Much Too Small,0.02146,146,4367,0.01716,0.02576
1990,Urban regions,A Bit Too Small,0.12429,663,4367,0.11450,0.13407
1990,Urban regions,Just Right,0.77426,3311,4367,0.76186,0.78666
1990,Urban regions,A Bit Too Large,0.06664,247,4367,0.05924,0.07404
1990,Rural regions,Much Too Small,0.03113,118,2253,0.02396,0.03831
