year,sampreg,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Much Too Small,0.02343,218,5857,0.01956,0.02730
1984,West,A Bit Too Small,0.12512,914,5857,0.11665,0.13360
1984,West,Just Right,0.75935,4303,5857,0.74841,0.77030
1984,West,A Bit Too Large,0.07874,363,5857,0.07184,0.08564
1984,West,Much Too Large,0.01335,59,5857,0.01041,0.01629
1985,West,Much Too Small,0.02281,183,5238,0.01877,0.02685
1985,West,A Bit Too Small,0.11329,759,5238,0.10470,0.12187
1985,West,Just Right,0.77132,3909,5238,0.75995,0.78270
1985,West,A Bit Too Large,0.08040,336,5238,0.07304,0.08777
1985,West,Much Too Large,0.01218,51,5238,0.00921,0.01515
1986,West,Much Too Small,0.01982,148,4994,0.01595,0.02368
1986,West,A Bit Too Small,0.11520,699,4994,0.10635,0.12406
1986,West,Just Right,0.77349,3783,4994,0.76187,0.78510
1986,West,A Bit Too Large,0.08090,324,4994,0.07334,0.08847
1986,West,Much Too Large,0.01059,40,4994,0.00775,0.01343
1987,West,Much Too Small,0.01704,123,4939,0.01343,0.02065
1987,West,A Bit Too Small,0.10891,665,4939,0.10022,0.11760
1987,West,Just Right,0.78321,3786,4939,0.77172,0.79470
1987,West,A Bit Too Large,0.08260,330,4939,0.07492,0.09028
1987,West,Much Too Large,0.00824,35,4939,0.00572,0.01076
1988,West,Much Too Small,0.01640,117,4714,0.01277,0.02002
1988,West,A Bit Too Small,0.10745,614,4714,0.09860,0.11629
1988,West,Just Right,0.78709,3668,4714,0.77540,0.79877
1988,West,A Bit Too Large,0.08116,315,4714,0.07336,0.08895
1989,West,Much Too Small,0.01606,114,4594,0.01242,0.01969
1989,West,A Bit Too Small,0.10626,592,4594,0.09734,0.11517
1989,West,Just Right,0.78803,3573,4594,0.77621,0.79985
1989,West,A Bit Too Large,0.08154,315,4594,0.07363,0.08945
1990,West,Much Too Small,0.01572,113,4531,0.01210,0.01935
1990,West,A Bit Too Small,0.10855,570,4531,0.09950,0.11761
1990,West,Just Right,0.79127,3553,4531,0.77943,0.80310
1990,West,A Bit Too Large,0.07667,295,4531,0.06892,0.08442
1990,East,Much Too Small,0.06118,152,2134,0.05101,0.07136
1990,East,A Bit Too Small,0.21225,521,2134,0.19489,0.22960
1990,East,Just Right,0.66881,1375,2134,0.64883,0.68878
1990,East,A Bit Too Large,0.04762,86,2134,0.03858,0.05665
1991,West,Much Too Small,0.02283,167,4499,0.01847,0.02720
1991,West,A Bit Too Small,0.15265,799,4499,0.14214,0.16316
1991,West,Just Right,0.73154,3226,4499,0.71859,0.74449
1991,West,A Bit Too Large,0.08507,307,4499,0.07692,0.09322
