year,hhtyp,regtyp,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,No answer / don't know,Much Too Small,0.01891,38,1287,0.01146,0.02635
1984,Single-person household,No answer / don't know,A Bit Too Small,0.09120,137,1287,0.07547,0.10694
1984,Single-person household,No answer / don't know,Just Right,0.75414,956,1287,0.73060,0.77767
1984,Single-person household,No answer / don't know,A Bit Too Large,0.10905,122,1287,0.09201,0.12608
1984,Single-person household,No answer / don't know,Much Too Large,0.02670,34,1287,0.01789,0.03551
1984,Couple without children,No answer / don't know,A Bit Too Small,0.10400,157,1322,0.08754,0.12046
1984,Couple without children,No answer / don't know,Just Right,0.80094,1069,1322,0.77941,0.82247
1984,Couple without children,No answer / don't know,A Bit Too Large,0.08053,96,1322,0.06586,0.09521
1984,Single parent,No answer / don't know,A Bit Too Small,0.13117,48,289,0.09218,0.17016
1984,Single parent,No answer / don't know,Just Right,0.76413,241,289,0.71510,0.81317
1984,Couple with children,No answer / don't know,Much Too Small,0.03910,141,2624,0.03168,0.04652
1984,Couple with children,No answer / don't know,A Bit Too Small,0.16892,523,2624,0.15458,0.18326
1984,Couple with children,No answer / don't know,Just Right,0.73676,1855,2624,0.71990,0.75361
1984,Couple with children,No answer / don't know,A Bit Too Large,0.04944,105,2624,0.04114,0.05774
1984,Multi-generational household,No answer / don't know,Just Right,0.66905,83,83,0.56720,0.77090
1984,Other Combinations,No answer / don't know,Just Right,0.78326,99,99,0.70168,0.86484
1985,Single-person household,Urban regions,Much Too Small,0.02382,31,933,0.01403,0.03361
1985,Single-person household,Urban regions,A Bit Too Small,0.09991,114,933,0.08066,0.11917
1985,Single-person household,Urban regions,Just Right,0.76178,709,933,0.73443,0.78913
1985,Single-person household,Urban regions,A Bit Too Large,0.09196,79,933,0.07341,0.11052
1985,Single-person household,Rural regions,Just Right,0.77834,139,139,0.70903,0.84764
1985,Couple without children,Urban regions,A Bit Too Small,0.08765,97,935,0.06952,0.10579
1985,Couple without children,Urban regions,Just Right,0.81494,769,935,0.79003,0.83984
1985,Couple without children,Urban regions,A Bit Too Large,0.07853,69,935,0.06128,0.09578
1985,Couple without children,Rural regions,Just Right,0.82476,212,212,0.77346,0.87605
1985,Single parent,Urban regions,A Bit Too Small,0.14087,41,205,0.09313,0.18862
1985,Single parent,Urban regions,Just Right,0.74251,164,205,0.68251,0.80251
1985,Single parent,Rural regions,Just Right,0.70313,42,42,0.56328,0.84298
1985,Couple with children,Urban regions,Much Too Small,0.03816,99,1858,0.02944,0.04687
1985,Couple with children,Urban regions,A Bit Too Small,0.16829,370,1858,0.15128,0.18531
1985,Couple with children,Urban regions,Just Right,0.74300,1322,1858,0.72313,0.76288
1985,Couple with children,Urban regions,A Bit Too Large,0.04668,67,1858,0.03709,0.05628
1985,Couple with children,Rural regions,A Bit Too Small,0.13575,74,449,0.10403,0.16747
1985,Couple with children,Rural regions,Just Right,0.76496,375,449,0.72569,0.80422
1985,Multi-generational household,Urban regions,Just Right,0.70108,48,48,0.57020,0.83195
1985,Multi-generational household,Rural regions,Just Right,0.80472,35,35,0.67147,0.93797
1985,Other Combinations,Urban regions,Just Right,0.80159,76,76,0.71133,0.89185
1986,Single-person household,Urban regions,A Bit Too Small,0.11512,122,854,0.09370,0.13653
1986,Single-person household,Urban regions,Just Right,0.75486,662,854,0.72599,0.78373
1986,Single-person household,Urban regions,A Bit Too Large,0.08627,70,854,0.06743,0.10512
1986,Single-person household,Rural regions,Just Right,0.79412,130,130,0.72434,0.86389
1986,Couple without children,Urban regions,A Bit Too Small,0.09613,94,946,0.07734,0.11493
1986,Couple without children,Urban regions,Just Right,0.80943,784,946,0.78439,0.83447
1986,Couple without children,Urban regions,A Bit Too Large,0.08017,68,946,0.06285,0.09748
1986,Couple without children,Rural regions,Just Right,0.81150,190,190,0.75574,0.86726
1986,Single parent,Urban regions,A Bit Too Small,0.11959,32,195,0.07393,0.16525
1986,Single parent,Urban regions,Just Right,0.77145,163,195,0.71236,0.83054
1986,Single parent,Rural regions,Just Right,0.66941,39,39,0.51984,0.81898
1986,Couple with children,Urban regions,Much Too Small,0.02837,75,1742,0.02057,0.03617
1986,Couple with children,Urban regions,A Bit Too Small,0.15943,327,1742,0.14224,0.17663
1986,Couple with children,Urban regions,Just Right,0.75978,1271,1742,0.73971,0.77985
1986,Couple with children,Urban regions,A Bit Too Large,0.05054,69,1742,0.04025,0.06083
1986,Couple with children,Rural regions,A Bit Too Small,0.11743,63,426,0.08683,0.14804
1986,Couple with children,Rural regions,Just Right,0.77039,363,426,0.73041,0.81038
1986,Multi-generational household,Urban regions,Just Right,0.77746,54,54,0.66548,0.88945
1986,Multi-generational household,Rural regions,Just Right,0.76273,33,33,0.61533,0.91013
1986,Other Combinations,Urban regions,Just Right,0.81661,76,76,0.72903,0.90419
1987,Single-person household,Urban regions,A Bit Too Small,0.10405,111,868,0.08373,0.12437
1987,Single-person household,Urban regions,Just Right,0.76730,681,868,0.73917,0.79543
1987,Single-person household,Urban regions,A Bit Too Large,0.09538,76,868,0.07583,0.11493
1987,Single-person household,Rural regions,Just Right,0.80890,132,132,0.74157,0.87623
1987,Couple without children,Urban regions,A Bit Too Small,0.09302,91,928,0.07432,0.11172
1987,Couple without children,Urban regions,Just Right,0.81080,765,928,0.78559,0.83602
1987,Couple without children,Urban regions,A Bit Too Large,0.08211,72,928,0.06444,0.09978
1987,Couple without children,Rural regions,Just Right,0.79443,192,224,0.74139,0.84747
1987,Couple without children,Rural regions,A Bit Too Large,0.13717,32,224,0.09202,0.18233
1987,Single parent,Urban regions,Just Right,0.79734,157,157,0.73425,0.86042
1987,Single parent,Rural regions,Just Right,0.70707,45,45,0.57259,0.84154
1987,Couple with children,Urban regions,Much Too Small,0.02338,60,1711,0.01622,0.03054
1987,Couple with children,Urban regions,A Bit Too Small,0.15200,309,1711,0.13498,0.16902
1987,Couple with children,Urban regions,Just Right,0.77222,1274,1711,0.75234,0.79210
1987,Couple with children,Urban regions,A Bit Too Large,0.05139,68,1711,0.04092,0.06185
1987,Couple with children,Rural regions,A Bit Too Small,0.11667,61,422,0.08600,0.14733
1987,Couple with children,Rural regions,Just Right,0.77974,361,422,0.74015,0.81932
1987,Multi-generational household,Urban regions,Just Right,0.73974,58,58,0.62583,0.85365
1987,Other Combinations,Urban regions,Just Right,0.86762,80,80,0.79289,0.94236
1988,Single-person household,Urban regions,A Bit Too Small,0.10257,98,835,0.08198,0.12316
1988,Single-person household,Urban regions,Just Right,0.76966,666,835,0.74108,0.79823
1988,Single-person household,Urban regions,A Bit Too Large,0.09312,71,835,0.07340,0.11284
1988,Single-person household,Rural regions,Just Right,0.79606,129,129,0.72626,0.86587
1988,Couple without children,Urban regions,A Bit Too Small,0.09835,93,916,0.07905,0.11764
1988,Couple without children,Urban regions,Just Right,0.81625,757,916,0.79115,0.84134
1988,Couple without children,Urban regions,A Bit Too Large,0.07181,66,916,0.05508,0.08853
1988,Couple without children,Rural regions,Just Right,0.77852,177,208,0.72195,0.83509
1988,Couple without children,Rural regions,A Bit Too Large,0.14218,31,208,0.09461,0.18976
1988,Single parent,Urban regions,A Bit Too Small,0.13160,36,191,0.08353,0.17967
1988,Single parent,Urban regions,Just Right,0.78439,155,191,0.72592,0.84287
1988,Single parent,Rural regions,Just Right,0.77263,45,45,0.64878,0.89647
1988,Couple with children,Urban regions,Much Too Small,0.01842,52,1640,0.01191,0.02493
1988,Couple with children,Urban regions,A Bit Too Small,0.14211,273,1640,0.12521,0.15902
1988,Couple with children,Urban regions,Just Right,0.78195,1243,1640,0.76196,0.80194
1988,Couple with children,Urban regions,A Bit Too Large,0.05645,72,1640,0.04528,0.06762
1988,Couple with children,Rural regions,A Bit Too Small,0.10631,53,395,0.07588,0.13675
1988,Couple with children,Rural regions,Just Right,0.78590,342,395,0.74540,0.82641
1988,Multi-generational household,Urban regions,Just Right,0.72728,49,49,0.60129,0.85328
1988,Other Combinations,Urban regions,Just Right,0.81888,65,65,0.72453,0.91323
1989,Single-person household,Urban regions,A Bit Too Small,0.10460,104,843,0.08392,0.12527
1989,Single-person household,Urban regions,Just Right,0.77693,669,843,0.74881,0.80505
1989,Single-person household,Urban regions,A Bit Too Large,0.08970,70,843,0.07040,0.10900
1989,Single-person household,Rural regions,Just Right,0.80074,127,127,0.73100,0.87049
1989,Couple without children,Urban regions,A Bit Too Small,0.10376,95,895,0.08377,0.12375
1989,Couple without children,Urban regions,Just Right,0.80373,739,895,0.77770,0.82977
1989,Couple without children,Urban regions,A Bit Too Large,0.06915,61,895,0.05252,0.08578
1989,Couple without children,Rural regions,Just Right,0.78579,182,214,0.73069,0.84089
1989,Couple without children,Rural regions,A Bit Too Large,0.13919,32,214,0.09271,0.18568
1989,Single parent,Urban regions,Just Right,0.78245,150,150,0.71620,0.84869
1989,Single parent,Rural regions,Just Right,0.74658,38,38,0.60643,0.88674
1989,Couple with children,Urban regions,Much Too Small,0.01813,47,1578,0.01154,0.02471
1989,Couple with children,Urban regions,A Bit Too Small,0.13472,257,1578,0.11787,0.15157
1989,Couple with children,Urban regions,Just Right,0.78824,1201,1578,0.76808,0.80841
1989,Couple with children,Urban regions,A Bit Too Large,0.05785,73,1578,0.04632,0.06937
1989,Couple with children,Rural regions,A Bit Too Small,0.09963,47,394,0.07002,0.12924
1989,Couple with children,Rural regions,Just Right,0.78144,316,394,0.74059,0.82230
1989,Couple with children,Rural regions,A Bit Too Large,0.08617,31,394,0.05843,0.11392
1989,Multi-generational household,Urban regions,Just Right,0.76875,54,54,0.65524,0.88227
1989,Other Combinations,Urban regions,Just Right,0.84110,61,61,0.74860,0.93361
1990,Single-person household,Urban regions,A Bit Too Small,0.11683,120,919,0.09605,0.13761
1990,Single-person household,Urban regions,Just Right,0.77556,727,919,0.74857,0.80255
1990,Single-person household,Urban regions,A Bit Too Large,0.08074,72,919,0.06312,0.09836
1990,Single-person household,Rural regions,A Bit Too Small,0.08890,37,348,0.05895,0.11884
1990,Single-person household,Rural regions,Just Right,0.77874,276,348,0.73507,0.82242
1990,Single-person household,Rural regions,A Bit Too Large,0.10832,35,348,0.07562,0.14102
1990,Couple without children,Urban regions,A Bit Too Small,0.10215,115,1062,0.08393,0.12037
1990,Couple without children,Urban regions,Just Right,0.80784,878,1062,0.78414,0.83155
1990,Couple without children,Urban regions,A Bit Too Large,0.06466,69,1062,0.04986,0.07946
1990,Couple without children,Rural regions,A Bit Too Small,0.10534,66,538,0.07938,0.13131
1990,Couple without children,Rural regions,Just Right,0.77444,432,538,0.73909,0.80979
