year,regtyp,sampreg,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,West,Much Too Small,0.02343,218,5857,0.01956,0.02730
1984,No answer / don't know,West,A Bit Too Small,0.12512,914,5857,0.11665,0.13360
1984,No answer / don't know,West,Just Right,0.75935,4303,5857,0.74841,0.77030
1984,No answer / don't know,West,A Bit Too Large,0.07874,363,5857,0.07184,0.08564
1984,No answer / don't know,West,Much Too Large,0.01335,59,5857,0.01041,0.01629
1985,Urban regions,West,Much Too Small,0.02619,166,4178,0.02135,0.03103
1985,Urban regions,West,A Bit Too Small,0.12119,646,4178,0.11129,0.13109
1985,Urban regions,West,Just Right,0.76819,3088,4178,0.75539,0.78099
1985,Urban regions,West,A Bit Too Large,0.07229,238,4178,0.06444,0.08015
1985,Urban regions,West,Much Too Large,0.01214,40,4178,0.00882,0.01546
1985,Rural regions,West,A Bit Too Small,0.08651,113,1032,0.06935,0.10367
1985,Rural regions,West,Just Right,0.78193,821,1032,0.75673,0.80714
1985,Rural regions,West,A Bit Too Large,0.10789,98,1032,0.08895,0.12683
1986,Urban regions,West,Much Too Small,0.02127,127,3961,0.01678,0.02577
1986,Urban regions,West,A Bit Too Small,0.12399,596,3961,0.11373,0.13426
1986,Urban regions,West,Just Right,0.77240,3010,3961,0.75934,0.78546
1986,Urban regions,West,A Bit Too Large,0.07245,228,3961,0.06438,0.08052
1986,Rural regions,West,A Bit Too Small,0.08471,103,972,0.06719,0.10222
1986,Rural regions,West,Just Right,0.77726,773,972,0.75109,0.80343
1986,Rural regions,West,A Bit Too Large,0.11022,96,972,0.09053,0.12992
1987,Urban regions,West,Much Too Small,0.01924,108,3920,0.01494,0.02354
1987,Urban regions,West,A Bit Too Small,0.11469,561,3920,0.10471,0.12467
1987,Urban regions,West,Just Right,0.78291,3015,3920,0.77000,0.79582
1987,Urban regions,West,A Bit Too Large,0.07613,236,3920,0.06783,0.08443
1987,Rural regions,West,A Bit Too Small,0.08860,104,969,0.07070,0.10650
1987,Rural regions,West,Just Right,0.78427,771,969,0.75836,0.81019
1987,Rural regions,West,A Bit Too Large,0.10534,94,969,0.08600,0.12468
1988,Urban regions,West,Much Too Small,0.01851,104,3785,0.01422,0.02281
1988,Urban regions,West,A Bit Too Small,0.11484,521,3785,0.10468,0.12500
1988,Urban regions,West,Just Right,0.78640,2935,3785,0.77334,0.79946
1988,Urban regions,West,A Bit Too Large,0.07365,225,3785,0.06532,0.08197
1988,Rural regions,West,A Bit Too Small,0.08080,93,916,0.06314,0.09846
1988,Rural regions,West,Just Right,0.78956,733,916,0.76315,0.81597
1988,Rural regions,West,A Bit Too Large,0.10823,90,916,0.08810,0.12836
1989,Urban regions,West,Much Too Small,0.01794,101,3702,0.01366,0.02221
1989,Urban regions,West,A Bit Too Small,0.11345,504,3702,0.10323,0.12367
1989,Urban regions,West,Just Right,0.78846,2874,3702,0.77531,0.80162
1989,Urban regions,West,A Bit Too Large,0.07277,223,3702,0.06440,0.08114
1989,Rural regions,West,A Bit Too Small,0.07955,88,879,0.06165,0.09745
1989,Rural regions,West,Just Right,0.78642,699,879,0.75931,0.81353
1989,Rural regions,West,A Bit Too Large,0.11411,92,879,0.09308,0.13515
1990,Urban regions,West,Much Too Small,0.01765,97,3623,0.01336,0.02194
1990,Urban regions,West,A Bit Too Small,0.11306,471,3623,0.10275,0.12338
1990,Urban regions,West,Just Right,0.79352,2847,3623,0.78033,0.80670
1990,Urban regions,West,A Bit Too Large,0.06791,208,3623,0.05972,0.07610
1990,Urban regions,East,Much Too Small,0.05714,49,744,0.04045,0.07383
1990,Urban regions,East,A Bit Too Small,0.23275,192,744,0.20236,0.26313
1990,Urban regions,East,Just Right,0.64452,464,744,0.61010,0.67893
1990,Urban regions,East,A Bit Too Large,0.05898,39,744,0.04204,0.07592
1990,Rural regions,West,A Bit Too Small,0.09208,99,892,0.07310,0.11107
1990,Rural regions,West,Just Right,0.78306,706,892,0.75600,0.81012
1990,Rural regions,West,A Bit Too Large,0.10865,87,892,0.08822,0.12908
1990,Rural regions,East,Much Too Small,0.06476,102,1345,0.05160,0.07792
1990,Rural regions,East,A Bit Too Small,0.19708,313,1345,0.17581,0.21834
1990,Rural regions,East,Just Right,0.68382,884,1345,0.65896,0.70868
1990,Rural regions,East,A Bit Too Large,0.04180,46,1345,0.03110,0.05250
1991,Urban regions,West,Much Too Small,0.02432,145,3593,0.01928,0.02936
1991,Urban regions,West,A Bit Too Small,0.15779,657,3593,0.14586,0.16971
1991,Urban regions,West,Just Right,0.73646,2577,3593,0.72205,0.75086
1991,Urban regions,West,A Bit Too Large,0.07399,214,3593,0.06543,0.08255
1991,Urban regions,East,Much Too Small,0.04001,32,652,0.02496,0.05507
1991,Urban regions,East,A Bit Too Small,0.18899,142,652,0.15891,0.21906
1991,Urban regions,East,Just Right,0.69994,443,652,0.66473,0.73514
1991,Urban regions,East,A Bit Too Large,0.05828,35,652,0.04028,0.07627
1991,Rural regions,West,A Bit Too Small,0.13439,142,883,0.11188,0.15690
1991,Rural regions,West,Just Right,0.71377,648,883,0.68394,0.74360
1991,Rural regions,West,A Bit Too Large,0.12474,93,883,0.10293,0.14655
1991,Rural regions,East,Much Too Small,0.04102,60,1262,0.03007,0.05197
1991,Rural regions,East,A Bit Too Small,0.17723,259,1262,0.15616,0.19831
1991,Rural regions,East,Just Right,0.71656,881,1262,0.69168,0.74143
1991,Rural regions,East,A Bit Too Large,0.05605,62,1262,0.04335,0.06874
1992,Urban regions,West,Much Too Small,0.02686,165,3598,0.02158,0.03215
1992,Urban regions,West,A Bit Too Small,0.16080,676,3598,0.14879,0.17280
1992,Urban regions,West,Just Right,0.72960,2548,3598,0.71509,0.74412
1992,Urban regions,West,A Bit Too Large,0.07603,209,3598,0.06737,0.08470
1992,Urban regions,East,A Bit Too Small,0.21278,155,649,0.18127,0.24429
1992,Urban regions,East,Just Right,0.67317,437,649,0.63706,0.70929
1992,Urban regions,East,A Bit Too Large,0.08337,57,649,0.06208,0.10465
1992,Rural regions,West,A Bit Too Small,0.12665,143,904,0.10495,0.14834
1992,Rural regions,West,Just Right,0.73648,672,904,0.70775,0.76522
1992,Rural regions,West,A Bit Too Large,0.10844,89,904,0.08816,0.12872
1992,Rural regions,East,Much Too Small,0.03034,47,1204,0.02065,0.04003
1992,Rural regions,East,A Bit Too Small,0.15880,233,1204,0.13815,0.17946
1992,Rural regions,East,Just Right,0.73469,846,1204,0.70974,0.75963
1992,Rural regions,East,A Bit Too Large,0.07190,78,1204,0.05731,0.08650
1993,Urban regions,West,Much Too Small,0.02742,168,3621,0.02210,0.03274
1993,Urban regions,West,A Bit Too Small,0.15915,669,3621,0.14724,0.17107
1993,Urban regions,West,Just Right,0.72517,2542,3621,0.71062,0.73971
1993,Urban regions,West,A Bit Too Large,0.07948,242,3621,0.07067,0.08829
1993,Urban regions,East,A Bit Too Small,0.22733,149,623,0.19439,0.26026
1993,Urban regions,East,Just Right,0.65889,421,623,0.62163,0.69614
1993,Urban regions,East,A Bit Too Large,0.07395,53,623,0.05338,0.09452
1993,Rural regions,West,A Bit Too Small,0.13612,145,924,0.11400,0.15825
1993,Rural regions,West,Just Right,0.72892,687,924,0.70024,0.75760
1993,Rural regions,West,A Bit Too Large,0.11457,92,924,0.09402,0.13511
1993,Rural regions,East,Much Too Small,0.02369,31,1207,0.01511,0.03227
1993,Rural regions,East,A Bit Too Small,0.16045,236,1207,0.13973,0.18116
1993,Rural regions,East,Just Right,0.72990,858,1207,0.70484,0.75496
1993,Rural regions,East,A Bit Too Large,0.08197,82,1207,0.06649,0.09745
1994,Urban regions,West,Much Too Small,0.02238,143,3544,0.01750,0.02725
1994,Urban regions,West,A Bit Too Small,0.15595,635,3544,0.14401,0.16790
1994,Urban regions,West,Just Right,0.73014,2530,3544,0.71553,0.74476
1994,Urban regions,West,A Bit Too Large,0.08352,236,3544,0.07441,0.09263
1994,Urban regions,East,A Bit Too Small,0.21028,140,624,0.17828,0.24228
1994,Urban regions,East,Just Right,0.66657,428,624,0.62955,0.70359
1994,Urban regions,East,A Bit Too Large,0.08820,56,624,0.06593,0.11047
1994,Rural regions,West,A Bit Too Small,0.11514,126,918,0.09448,0.13580
1994,Rural regions,West,Just Right,0.73268,689,918,0.70403,0.76132
1994,Rural regions,West,A Bit Too Large,0.12261,103,918,0.10138,0.14384
1994,Rural regions,East,Much Too Small,0.02846,39,1171,0.01893,0.03799
1994,Rural regions,East,A Bit Too Small,0.16877,222,1171,0.14730,0.19023
1994,Rural regions,East,Just Right,0.71334,827,1171,0.68743,0.73925
1994,Rural regions,East,A Bit Too Large,0.07766,83,1171,0.06232,0.09299
1995,Urban regions,West,Much Too Small,0.02539,148,3744,0.02035,0.03043
1995,Urban regions,West,A Bit Too Small,0.15479,684,3744,0.14320,0.16638
1995,Urban regions,West,Just Right,0.72358,2655,3744,0.70925,0.73791
1995,Urban regions,West,A Bit Too Large,0.08890,257,3744,0.07978,0.09802
1995,Urban regions,East,A Bit Too Small,0.19920,121,598,0.16716,0.23124
1995,Urban regions,East,Just Right,0.70011,434,598,0.66335,0.73686
1995,Urban regions,East,A Bit Too Large,0.07090,43,598,0.05032,0.09149
1995,Rural regions,West,A Bit Too Small,0.12639,146,992,0.10570,0.14708
1995,Rural regions,West,Just Right,0.70790,729,992,0.67959,0.73621
1995,Rural regions,West,A Bit Too Large,0.13469,117,992,0.11344,0.15595
1995,Rural regions,East,Much Too Small,0.02495,40,1193,0.01609,0.03380
1995,Rural regions,East,A Bit Too Small,0.17260,226,1193,0.15115,0.19406
1995,Rural regions,East,Just Right,0.70032,823,1193,0.67431,0.72633
1995,Rural regions,East,A Bit Too Large,0.09668,104,1193,0.07990,0.11346
1996,Urban regions,West,Much Too Small,0.01889,126,3698,0.01450,0.02327
1996,Urban regions,West,A Bit Too Small,0.15743,667,3698,0.14569,0.16917
1996,Urban regions,West,Just Right,0.71666,2623,3698,0.70214,0.73119
1996,Urban regions,West,A Bit Too Large,0.09893,282,3698,0.08931,0.10856
1996,Urban regions,East,A Bit Too Small,0.19463,128,618,0.16339,0.22587
1996,Urban regions,East,Just Right,0.68669,438,618,0.65009,0.72329
1996,Urban regions,East,A Bit Too Large,0.08921,52,618,0.06672,0.11170
1996,Rural regions,West,A Bit Too Small,0.11115,129,989,0.09155,0.13075
1996,Rural regions,West,Just Right,0.70663,733,989,0.67824,0.73502
1996,Rural regions,West,A Bit Too Large,0.15633,127,989,0.13368,0.17897
1996,Rural regions,East,Much Too Small,0.03093,40,1182,0.02105,0.04080
1996,Rural regions,East,A Bit Too Small,0.16548,213,1182,0.14429,0.18668
1996,Rural regions,East,Just Right,0.71888,846,1182,0.69324,0.74452
1996,Rural regions,East,A Bit Too Large,0.07845,83,1182,0.06311,0.09378
1997,Urban regions,West,Much Too Small,0.01861,99,3657,0.01423,0.02299
1997,Urban regions,West,A Bit Too Small,0.15723,652,3657,0.14543,0.16903
1997,Urban regions,West,Just Right,0.71936,2639,3657,0.70479,0.73392
1997,Urban regions,West,A Bit Too Large,0.09644,267,3657,0.08687,0.10601
1997,Urban regions,East,A Bit Too Small,0.20624,121,614,0.17421,0.23827
1997,Urban regions,East,Just Right,0.67238,436,614,0.63523,0.70954
1997,Urban regions,East,A Bit Too Large,0.09324,57,614,0.07022,0.11626
1997,Rural regions,West,A Bit Too Small,0.13936,151,984,0.11771,0.16101
1997,Rural regions,West,Just Right,0.69495,719,984,0.66617,0.72373
1997,Rural regions,West,A Bit Too Large,0.15197,114,984,0.12953,0.17441
1997,Rural regions,East,Much Too Small,0.02433,33,1178,0.01553,0.03313
1997,Rural regions,East,A Bit Too Small,0.15347,194,1178,0.13288,0.17407
1997,Rural regions,East,Just Right,0.72957,869,1178,0.70420,0.75495
1997,Rural regions,East,A Bit Too Large,0.08486,82,1178,0.06894,0.10078
1998,Urban regions,West,Much Too Small,0.02621,133,4161,0.02135,0.03106
1998,Urban regions,West,A Bit Too Small,0.15163,707,4161,0.14073,0.16253
1998,Urban regions,West,Just Right,0.71187,2938,4161,0.69810,0.72563
1998,Urban regions,West,A Bit Too Large,0.09904,343,4161,0.08996,0.10812
1998,Urban regions,West,Much Too Large,0.01125,40,4161,0.00804,0.01445
1998,Urban regions,East,A Bit Too Small,0.22076,126,630,0.18834,0.25317
1998,Urban regions,East,Just Right,0.63518,428,630,0.59756,0.67280
1998,Urban regions,East,A Bit Too Large,0.12198,76,630,0.09640,0.14755
1998,Rural regions,West,A Bit Too Small,0.10723,130,1131,0.08919,0.12527
1998,Rural regions,West,Just Right,0.72808,864,1131,0.70214,0.75403
1998,Rural regions,West,A Bit Too Large,0.13854,137,1131,0.11840,0.15869
1998,Rural regions,East,A Bit Too Small,0.13061,188,1268,0.11206,0.14917
1998,Rural regions,East,Just Right,0.73533,964,1268,0.71104,0.75962
1998,Rural regions,East,A Bit Too Large,0.10697,116,1268,0.08995,0.12399
1999,Urban regions,West,Much Too Small,0.02041,108,4026,0.01604,0.02478
1999,Urban regions,West,A Bit Too Small,0.15268,671,4026,0.14157,0.16379
1999,Urban regions,West,Just Right,0.72449,2922,4026,0.71069,0.73830
1999,Urban regions,West,A Bit Too Large,0.09602,325,4026,0.08692,0.10512
1999,Urban regions,East,A Bit Too Small,0.19140,116,627,0.16058,0.22222
1999,Urban regions,East,Just Right,0.70275,457,627,0.66695,0.73856
1999,Urban regions,East,A Bit Too Large,0.08732,54,627,0.06521,0.10944
1999,Rural regions,West,A Bit Too Small,0.12314,152,1116,0.10386,0.14243
1999,Rural regions,West,Just Right,0.73194,836,1116,0.70594,0.75794
1999,Rural regions,West,A Bit Too Large,0.12972,128,1116,0.10999,0.14944
1999,Rural regions,East,A Bit Too Small,0.12649,178,1259,0.10812,0.14486
1999,Rural regions,East,Just Right,0.77438,981,1259,0.75129,0.79748
1999,Rural regions,East,A Bit Too Large,0.08367,100,1259,0.06837,0.09897
2000,Urban regions,West,Much Too Small,0.01985,163,7537,0.01670,0.02300
2000,Urban regions,West,A Bit Too Small,0.14738,1137,7537,0.13938,0.15538
2000,Urban regions,West,Just Right,0.73469,5541,7537,0.72473,0.74466
2000,Urban regions,West,A Bit Too Large,0.08869,634,7537,0.08227,0.09511
2000,Urban regions,West,Much Too Large,0.00939,62,7537,0.00721,0.01157
2000,Urban regions,East,A Bit Too Small,0.16881,167,978,0.14532,0.19230
2000,Urban regions,East,Just Right,0.71941,730,978,0.69124,0.74759
2000,Urban regions,East,A Bit Too Large,0.08248,81,978,0.06523,0.09973
2000,Rural regions,West,A Bit Too Small,0.10699,246,2218,0.09413,0.11986
2000,Rural regions,West,Just Right,0.74337,1706,2218,0.72519,0.76155
2000,Rural regions,West,A Bit Too Large,0.12218,266,2218,0.10855,0.13582
2000,Rural regions,East,A Bit Too Small,0.11247,255,2025,0.09870,0.12623
2000,Rural regions,East,Just Right,0.77282,1584,2025,0.75456,0.79107
2000,Rural regions,East,A Bit Too Large,0.09371,186,2025,0.08101,0.10641
2001,Urban regions,West,Much Too Small,0.02069,155,6796,0.01731,0.02408
2001,Urban regions,West,A Bit Too Small,0.14490,1017,6796,0.13653,0.15327
2001,Urban regions,West,Just Right,0.73188,4988,6796,0.72134,0.74241
2001,Urban regions,West,A Bit Too Large,0.09348,587,6796,0.08656,0.10041
