year,regtyp,rentown,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,Owner,A Bit Too Small,0.08131,181,1985,0.06928,0.09333
1984,No answer / don't know,Owner,Just Right,0.78069,1573,1985,0.76248,0.79889
1984,No answer / don't know,Owner,A Bit Too Large,0.10868,196,1985,0.09498,0.12238
1984,No answer / don't know,Owner,Much Too Large,0.02154,35,1985,0.01515,0.02792
1984,No answer / don't know,Tenant,Much Too Small,0.03391,200,3830,0.02818,0.03964
1984,No answer / don't know,Tenant,A Bit Too Small,0.15449,733,3830,0.14304,0.16593
1984,No answer / don't know,Tenant,Just Right,0.74506,2730,3830,0.73126,0.75887
1984,No answer / don't know,Tenant,A Bit Too Large,0.05867,167,3830,0.05123,0.06612
1985,Urban regions,Owner,A Bit Too Small,0.06612,100,1273,0.05246,0.07977
1985,Urban regions,Owner,Just Right,0.80888,1053,1273,0.78727,0.83049
1985,Urban regions,Owner,A Bit Too Large,0.10146,120,1273,0.08487,0.11806
1985,Urban regions,Tenant,Much Too Small,0.03704,155,2854,0.03011,0.04397
1985,Urban regions,Tenant,A Bit Too Small,0.15201,546,2854,0.13883,0.16518
1985,Urban regions,Tenant,Just Right,0.74542,2035,2854,0.72944,0.76141
1985,Urban regions,Tenant,A Bit Too Large,0.05597,118,2854,0.04753,0.06440
1985,Rural regions,Owner,A Bit Too Small,0.07208,46,543,0.05031,0.09386
1985,Rural regions,Owner,Just Right,0.79083,436,543,0.75659,0.82507
1985,Rural regions,Owner,A Bit Too Large,0.12007,61,543,0.09271,0.14744
1985,Rural regions,Tenant,A Bit Too Small,0.10310,67,489,0.07612,0.13008
1985,Rural regions,Tenant,Just Right,0.77170,385,489,0.73446,0.80894
1985,Rural regions,Tenant,A Bit Too Large,0.09388,37,489,0.06800,0.11976
1986,Urban regions,Owner,A Bit Too Small,0.06455,95,1260,0.05098,0.07812
1986,Urban regions,Owner,Just Right,0.80137,1039,1260,0.77933,0.82341
1986,Urban regions,Owner,A Bit Too Large,0.10945,126,1260,0.09220,0.12669
1986,Urban regions,Tenant,Much Too Small,0.02988,117,2689,0.02345,0.03632
1986,Urban regions,Tenant,A Bit Too Small,0.15710,501,2689,0.14334,0.17086
1986,Urban regions,Tenant,Just Right,0.75611,1969,2689,0.73987,0.77234
1986,Urban regions,Tenant,A Bit Too Large,0.05198,102,2689,0.04359,0.06037
1986,Rural regions,Owner,A Bit Too Small,0.06953,42,528,0.04782,0.09125
1986,Rural regions,Owner,Just Right,0.78372,424,528,0.74857,0.81887
1986,Rural regions,Owner,A Bit Too Large,0.13033,62,528,0.10159,0.15908
1986,Rural regions,Tenant,A Bit Too Small,0.10249,61,443,0.07422,0.13077
1986,Rural regions,Tenant,Just Right,0.76953,348,443,0.73027,0.80879
1986,Rural regions,Tenant,A Bit Too Large,0.08683,34,443,0.06058,0.11309
1987,Urban regions,Owner,A Bit Too Small,0.06547,97,1276,0.05189,0.07904
1987,Urban regions,Owner,Just Right,0.80746,1055,1276,0.78582,0.82910
1987,Urban regions,Owner,A Bit Too Large,0.10699,124,1276,0.09002,0.12396
1987,Urban regions,Tenant,Much Too Small,0.02701,99,2634,0.02082,0.03320
1987,Urban regions,Tenant,A Bit Too Small,0.14188,464,2634,0.12855,0.15521
1987,Urban regions,Tenant,Just Right,0.76920,1959,2634,0.75310,0.78529
1987,Urban regions,Tenant,A Bit Too Large,0.05922,112,2634,0.05020,0.06824
1987,Rural regions,Owner,A Bit Too Small,0.06854,39,513,0.04666,0.09043
1987,Rural regions,Owner,Just Right,0.78026,411,513,0.74439,0.81613
1987,Rural regions,Owner,A Bit Too Large,0.13444,63,513,0.10489,0.16399
1987,Rural regions,Tenant,A Bit Too Small,0.11185,65,456,0.08289,0.14082
1987,Rural regions,Tenant,Just Right,0.78893,360,456,0.75143,0.82642
1987,Rural regions,Tenant,A Bit Too Large,0.07160,31,456,0.04791,0.09529
1988,Urban regions,Owner,A Bit Too Small,0.06464,92,1241,0.05095,0.07832
1988,Urban regions,Owner,Just Right,0.81229,1032,1241,0.79056,0.83403
1988,Urban regions,Owner,A Bit Too Large,0.10287,117,1241,0.08596,0.11978
1988,Urban regions,Tenant,Much Too Small,0.02564,95,2535,0.01949,0.03179
1988,Urban regions,Tenant,A Bit Too Small,0.14319,429,2535,0.12955,0.15683
1988,Urban regions,Tenant,Just Right,0.77178,1903,2535,0.75544,0.78812
1988,Urban regions,Tenant,A Bit Too Large,0.05714,108,2535,0.04810,0.06618
1988,Rural regions,Owner,A Bit Too Small,0.06481,36,468,0.04248,0.08713
1988,Rural regions,Owner,Just Right,0.77323,374,468,0.73525,0.81121
1988,Rural regions,Owner,A Bit Too Large,0.13737,58,468,0.10615,0.16860
1988,Rural regions,Tenant,A Bit Too Small,0.09892,57,448,0.07124,0.12660
1988,Rural regions,Tenant,Just Right,0.80806,359,448,0.77155,0.84457
1988,Rural regions,Tenant,A Bit Too Large,0.07520,32,448,0.05076,0.09965
1989,Urban regions,Owner,A Bit Too Small,0.06388,89,1224,0.05018,0.07759
1989,Urban regions,Owner,Just Right,0.80924,1017,1224,0.78722,0.83126
1989,Urban regions,Owner,A Bit Too Large,0.10738,118,1224,0.09003,0.12473
1989,Urban regions,Tenant,Much Too Small,0.02465,92,2467,0.01853,0.03078
1989,Urban regions,Tenant,A Bit Too Small,0.14145,414,2467,0.12770,0.15521
1989,Urban regions,Tenant,Just Right,0.77753,1856,2467,0.76112,0.79395
1989,Urban regions,Tenant,A Bit Too Large,0.05290,105,2467,0.04407,0.06174
1989,Rural regions,Owner,A Bit Too Small,0.06491,35,450,0.04212,0.08770
1989,Rural regions,Owner,Just Right,0.75548,352,450,0.71572,0.79524
1989,Rural regions,Owner,A Bit Too Large,0.15560,63,450,0.12207,0.18913
1989,Rural regions,Tenant,A Bit Too Small,0.09640,53,400,0.06744,0.12536
1989,Rural regions,Tenant,Just Right,0.82202,347,400,0.78448,0.85955
1990,Urban regions,Owner,A Bit Too Small,0.05654,91,1316,0.04406,0.06902
1990,Urban regions,Owner,Just Right,0.81978,1099,1316,0.79901,0.84056
1990,Urban regions,Owner,A Bit Too Large,0.10398,126,1316,0.08748,0.12048
1990,Urban regions,Tenant,Much Too Small,0.03005,134,3039,0.02398,0.03612
1990,Urban regions,Tenant,A Bit Too Small,0.16054,572,3039,0.14748,0.17359
1990,Urban regions,Tenant,Just Right,0.75731,2212,3039,0.74207,0.77256
1990,Urban regions,Tenant,A Bit Too Large,0.04783,121,3039,0.04024,0.05542
1990,Rural regions,Owner,A Bit Too Small,0.07635,95,987,0.05977,0.09292
1990,Rural regions,Owner,Just Right,0.78819,811,987,0.76269,0.81370
1990,Rural regions,Owner,A Bit Too Large,0.11378,81,987,0.09396,0.13361
1990,Rural regions,Tenant,Much Too Small,0.04885,100,1248,0.03688,0.06081
1990,Rural regions,Tenant,A Bit Too Small,0.18622,317,1248,0.16461,0.20783
1990,Rural regions,Tenant,Just Right,0.70270,779,1248,0.67733,0.72807
1990,Rural regions,Tenant,A Bit Too Large,0.05304,52,1248,0.04060,0.06547
1991,Urban regions,Owner,A Bit Too Small,0.07277,114,1297,0.05863,0.08692
1991,Urban regions,Owner,Just Right,0.80325,1057,1297,0.78160,0.82489
1991,Urban regions,Owner,A Bit Too Large,0.10912,126,1297,0.09215,0.12610
1991,Urban regions,Tenant,Much Too Small,0.03789,170,2940,0.03099,0.04479
1991,Urban regions,Tenant,A Bit Too Small,0.20679,684,2940,0.19215,0.22143
1991,Urban regions,Tenant,Just Right,0.69620,1963,2940,0.67957,0.71283
1991,Urban regions,Tenant,A Bit Too Large,0.05330,123,2940,0.04518,0.06143
1991,Rural regions,Owner,A Bit Too Small,0.08900,93,959,0.07097,0.10703
1991,Rural regions,Owner,Just Right,0.75084,764,959,0.72345,0.77823
1991,Rural regions,Owner,A Bit Too Large,0.14266,102,959,0.12051,0.16480
1991,Rural regions,Tenant,Much Too Small,0.04432,72,1198,0.03266,0.05598
1991,Rural regions,Tenant,A Bit Too Small,0.20659,308,1198,0.18365,0.22952
1991,Rural regions,Tenant,Just Right,0.68357,765,1198,0.65722,0.70992
1991,Rural regions,Tenant,A Bit Too Large,0.05683,53,1198,0.04371,0.06995
1992,No answer / don't know,Tenant,Just Right,0.61387,33,33,0.44518,0.78256
1992,Urban regions,Owner,A Bit Too Small,0.07861,126,1324,0.06411,0.09312
1992,Urban regions,Owner,Just Right,0.79678,1072,1324,0.77509,0.81846
1992,Urban regions,Owner,A Bit Too Large,0.10804,126,1324,0.09131,0.12477
1992,Urban regions,Tenant,Much Too Small,0.03953,178,2936,0.03248,0.04658
1992,Urban regions,Tenant,A Bit Too Small,0.21366,705,2936,0.19883,0.22849
1992,Urban regions,Tenant,Just Right,0.68423,1913,2936,0.66741,0.70105
1992,Urban regions,Tenant,A Bit Too Large,0.05973,140,2936,0.05116,0.06831
1992,Rural regions,Owner,A Bit Too Small,0.07037,82,924,0.05387,0.08687
1992,Rural regions,Owner,Just Right,0.76974,737,924,0.74258,0.79690
