year,pgisced97,sampreg,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Pre-primary Level,West,Heterosexual,0.41185,258,258,0.35168,0.47202
2016,Pre-primary Level,East,Heterosexual,0.33339,36,36,0.17721,0.48958
2016,Primary Level,West,Heterosexual,0.74438,308,308,0.69559,0.79318
2016,Primary Level,East,Heterosexual,0.79148,39,39,0.66231,0.92065
2016,Lower Secondary Level,West,Heterosexual,0.73228,1812,1965,0.71270,0.75186
2016,Lower Secondary Level,West,No answer/ Do not wish to respond,0.08721,153,1965,0.07473,0.09969
2016,Lower Secondary Level,East,Heterosexual,0.83376,277,277,0.78983,0.87768
2016,Upper Secondary Level,West,Heterosexual,0.82571,7127,7608,0.81718,0.83423
2016,Upper Secondary Level,West,Homosexual,0.00883,51,7608,0.00673,0.01093
2016,Upper Secondary Level,West,Bisexual,0.00428,37,7608,0.00282,0.00575
2016,Upper Secondary Level,West,No answer/ Do not wish to respond,0.05655,393,7608,0.05135,0.06174
2016,Upper Secondary Level,East,Heterosexual,0.79072,2102,2232,0.77384,0.80760
2016,Upper Secondary Level,East,No answer/ Do not wish to respond,0.06745,130,2232,0.05704,0.07786
2016,Post-secondary Non-tertiary Level,West,Heterosexual,0.89533,1593,1652,0.88056,0.91009
2016,Post-secondary Non-tertiary Level,West,No answer/ Do not wish to respond,0.03758,59,1652,0.02841,0.04676
2016,Post-secondary Non-tertiary Level,East,Heterosexual,0.83444,243,243,0.78761,0.88127
2016,First Stage of Tertiary Education,West,Heterosexual,0.86619,903,949,0.84452,0.88786
2016,First Stage of Tertiary Education,West,No answer/ Do not wish to respond,0.04549,46,949,0.03222,0.05875
2016,First Stage of Tertiary Education,East,Heterosexual,0.77210,301,301,0.72463,0.81956
2016,Second Stage of Tertiary Education,West,Heterosexual,0.88956,4128,4298,0.88019,0.89893
2016,Second Stage of Tertiary Education,West,Homosexual,0.01414,47,4298,0.01061,0.01767
2016,Second Stage of Tertiary Education,West,No answer/ Do not wish to respond,0.03442,123,4298,0.02897,0.03987
2016,Second Stage of Tertiary Education,East,Heterosexual,0.86449,1182,1236,0.84540,0.88358
2016,Second Stage of Tertiary Education,East,No answer/ Do not wish to respond,0.04400,54,1236,0.03256,0.05543
2019,Pre-primary Level,West,Heterosexual,0.55098,244,244,0.48844,0.61352
2019,Pre-primary Level,East,Heterosexual,0.50262,45,45,0.35488,0.65036
2019,Primary Level,West,Heterosexual,0.71810,298,332,0.66963,0.76657
2019,Primary Level,West,No answer/ Do not wish to respond,0.12156,34,332,0.08635,0.15676
2019,Primary Level,East,Heterosexual,0.75640,40,40,0.62168,0.89112
2019,Lower Secondary Level,West,Heterosexual,0.83457,1826,2015,0.81834,0.85080
2019,Lower Secondary Level,West,Bisexual,0.00984,36,2015,0.00553,0.01415
2019,Lower Secondary Level,West,No answer/ Do not wish to respond,0.09682,153,2015,0.08390,0.10973
2019,Lower Secondary Level,East,Heterosexual,0.81569,332,332,0.77391,0.85746
2019,Upper Secondary Level,West,Heterosexual,0.90118,7746,8478,0.89483,0.90754
2019,Upper Secondary Level,West,Homosexual,0.00963,127,8478,0.00755,0.01170
2019,Upper Secondary Level,West,Bisexual,0.01260,169,8478,0.01022,0.01497
2019,Upper Secondary Level,West,No answer/ Do not wish to respond,0.06765,436,8478,0.06230,0.07300
2019,Upper Secondary Level,East,Heterosexual,0.89578,2377,2581,0.88399,0.90757
2019,Upper Secondary Level,East,Bisexual,0.01615,41,2581,0.01128,0.02101
2019,Upper Secondary Level,East,No answer/ Do not wish to respond,0.07256,163,2581,0.06255,0.08257
2019,Post-secondary Non-tertiary Level,West,Heterosexual,0.92562,1719,1808,0.91352,0.93772
2019,Post-secondary Non-tertiary Level,West,Homosexual,0.01516,36,1808,0.00953,0.02079
2019,Post-secondary Non-tertiary Level,West,No answer/ Do not wish to respond,0.03317,53,1808,0.02491,0.04142
2019,Post-secondary Non-tertiary Level,East,Heterosexual,0.93560,303,303,0.90791,0.96328
2019,First Stage of Tertiary Education,West,Heterosexual,0.94458,1143,1183,0.93154,0.95762
2019,First Stage of Tertiary Education,West,No answer/ Do not wish to respond,0.03482,40,1183,0.02437,0.04527
2019,First Stage of Tertiary Education,East,Heterosexual,0.93448,410,410,0.91050,0.95846
2019,Second Stage of Tertiary Education,West,Heterosexual,0.93308,5062,5390,0.92640,0.93975
2019,Second Stage of Tertiary Education,West,Homosexual,0.01584,126,5390,0.01250,0.01917
2019,Second Stage of Tertiary Education,West,Bisexual,0.01284,84,5390,0.00984,0.01585
2019,Second Stage of Tertiary Education,West,No answer/ Do not wish to respond,0.02744,118,5390,0.02308,0.03180
2019,Second Stage of Tertiary Education,East,Heterosexual,0.92184,1477,1527,0.90837,0.93530
2019,Second Stage of Tertiary Education,East,No answer/ Do not wish to respond,0.03896,50,1527,0.02925,0.04866
