year,quintil_oecd,sampreg,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,West,Heterosexual,0.63064,3154,3366,0.61433,0.64695
2016,1st Quintile,West,No answer/ Do not wish to respond,0.04980,212,3366,0.04245,0.05715
2016,1st Quintile,East,Heterosexual,0.65503,1075,1110,0.62705,0.68301
2016,1st Quintile,East,No answer/ Do not wish to respond,0.04009,35,1110,0.02854,0.05163
2016,2nd Quintile,West,Heterosexual,0.64678,3141,3332,0.63055,0.66301
2016,2nd Quintile,West,No answer/ Do not wish to respond,0.06172,191,3332,0.05355,0.06990
2016,2nd Quintile,East,Heterosexual,0.70606,1117,1185,0.68011,0.73201
2016,2nd Quintile,East,No answer/ Do not wish to respond,0.04649,68,1185,0.03449,0.05848
2016,3rd Quintile,West,Heterosexual,0.70744,3089,3236,0.69177,0.72312
2016,3rd Quintile,West,No answer/ Do not wish to respond,0.04139,147,3236,0.03453,0.04826
2016,3rd Quintile,East,Heterosexual,0.67650,877,932,0.64645,0.70655
2016,3rd Quintile,East,No answer/ Do not wish to respond,0.05982,55,932,0.04459,0.07506
2016,4th Quintile,West,Heterosexual,0.73091,3329,3513,0.71624,0.74558
2016,4th Quintile,West,Homosexual,0.01305,33,3513,0.00930,0.01680
2016,4th Quintile,West,No answer/ Do not wish to respond,0.04243,151,3513,0.03576,0.04910
2016,4th Quintile,East,Heterosexual,0.74632,686,733,0.71480,0.77784
2016,4th Quintile,East,No answer/ Do not wish to respond,0.05952,47,733,0.04238,0.07666
2016,5th Quintile,West,Heterosexual,0.79886,3835,4002,0.78644,0.81128
2016,5th Quintile,West,Homosexual,0.01072,42,4002,0.00753,0.01391
2016,5th Quintile,West,No answer/ Do not wish to respond,0.03205,125,4002,0.02659,0.03751
2016,5th Quintile,East,Heterosexual,0.77792,502,502,0.74152,0.81432
2019,1st Quintile,West,Heterosexual,0.66474,2904,3212,0.64841,0.68107
2019,1st Quintile,West,Bisexual,0.00834,69,3212,0.00519,0.01148
2019,1st Quintile,West,No answer/ Do not wish to respond,0.06569,239,3212,0.05712,0.07426
2019,1st Quintile,East,Heterosexual,0.72014,1089,1193,0.69465,0.74562
2019,1st Quintile,East,Bisexual,0.02188,32,1193,0.01358,0.03019
2019,1st Quintile,East,No answer/ Do not wish to respond,0.05181,72,1193,0.03923,0.06440
2019,2nd Quintile,West,Heterosexual,0.73304,3211,3450,0.71828,0.74780
2019,2nd Quintile,West,Bisexual,0.00582,46,3450,0.00328,0.00836
2019,2nd Quintile,West,No answer/ Do not wish to respond,0.06246,193,3450,0.05439,0.07054
2019,2nd Quintile,East,Heterosexual,0.74274,1148,1247,0.71847,0.76701
2019,2nd Quintile,East,No answer/ Do not wish to respond,0.07687,99,1247,0.06208,0.09166
2019,3rd Quintile,West,Heterosexual,0.77495,3129,3327,0.76075,0.78914
2019,3rd Quintile,West,Bisexual,0.00705,40,3327,0.00421,0.00989
2019,3rd Quintile,West,No answer/ Do not wish to respond,0.04760,158,3327,0.04036,0.05484
2019,3rd Quintile,East,Heterosexual,0.78684,1005,1051,0.76207,0.81162
2019,3rd Quintile,East,No answer/ Do not wish to respond,0.04487,46,1051,0.03235,0.05739
2019,4th Quintile,West,Heterosexual,0.79198,3313,3480,0.77849,0.80547
2019,4th Quintile,West,Bisexual,0.00437,34,3480,0.00218,0.00657
2019,4th Quintile,West,No answer/ Do not wish to respond,0.04062,133,3480,0.03406,0.04718
2019,4th Quintile,East,Heterosexual,0.84360,701,701,0.81669,0.87051
2019,5th Quintile,West,Heterosexual,0.85705,3993,4164,0.84642,0.86768
2019,5th Quintile,West,Homosexual,0.00693,56,4164,0.00441,0.00945
2019,5th Quintile,West,No answer/ Do not wish to respond,0.03192,115,4164,0.02658,0.03726
2019,5th Quintile,East,Heterosexual,0.83762,590,590,0.80783,0.86740
