year,regtyp,sex,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,male,Heterosexual,0.93865,6292,6606,0.93286,0.94443
2016,Urban regions,male,Homosexual,0.01460,67,6606,0.01171,0.01750
2016,Urban regions,male,No answer/ Do not wish to respond,0.04354,247,6606,0.03862,0.04846
2016,Urban regions,female,Heterosexual,0.91378,7433,7934,0.90760,0.91995
2016,Urban regions,female,Homosexual,0.01433,59,7934,0.01171,0.01694
2016,Urban regions,female,Bisexual,0.00913,72,7934,0.00703,0.01122
2016,Urban regions,female,No answer/ Do not wish to respond,0.06277,370,7934,0.05743,0.06810
2016,Rural regions,male,Heterosexual,0.93028,3313,3505,0.92185,0.93871
2016,Rural regions,male,No answer/ Do not wish to respond,0.06353,192,3505,0.05545,0.07160
2016,Rural regions,female,Heterosexual,0.90235,3771,4021,0.89317,0.91152
2016,Rural regions,female,No answer/ Do not wish to respond,0.08430,250,4021,0.07571,0.09289
2019,No answer / don't know,male,Heterosexual,0.24070,58,290,0.19141,0.28999
2019,No answer / don't know,male,Homosexual,0.47709,163,290,0.41950,0.53467
2019,No answer / don't know,male,Bisexual,0.27406,69,290,0.22263,0.32549
2019,No answer / don't know,female,Heterosexual,0.32083,68,238,0.26140,0.38026
2019,No answer / don't know,female,Homosexual,0.19843,65,238,0.14766,0.24921
2019,No answer / don't know,female,Bisexual,0.46679,105,238,0.40327,0.53031
2019,Urban regions,male,Heterosexual,0.93242,7272,7752,0.92683,0.93801
2019,Urban regions,male,Homosexual,0.00968,100,7752,0.00750,0.01186
2019,Urban regions,male,Bisexual,0.00471,61,7752,0.00319,0.00624
2019,Urban regions,male,No answer/ Do not wish to respond,0.05318,319,7752,0.04819,0.05818
2019,Urban regions,female,Heterosexual,0.92085,7957,8592,0.91514,0.92655
2019,Urban regions,female,Homosexual,0.00562,69,8592,0.00404,0.00720
2019,Urban regions,female,Bisexual,0.01128,171,8592,0.00905,0.01352
2019,Urban regions,female,No answer/ Do not wish to respond,0.06225,395,8592,0.05714,0.06736
2019,Rural regions,male,Heterosexual,0.93567,3941,4180,0.92823,0.94310
2019,Rural regions,male,Homosexual,0.00620,31,4180,0.00382,0.00857
2019,Rural regions,male,No answer/ Do not wish to respond,0.05360,208,4180,0.04677,0.06042
2019,Rural regions,female,Heterosexual,0.91828,4231,4536,0.91031,0.92625
2019,Rural regions,female,Bisexual,0.00877,60,4536,0.00606,0.01148
2019,Rural regions,female,No answer/ Do not wish to respond,0.06983,245,4536,0.06241,0.07725
