year,sampreg,sex,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,West,male,Heterosexual,0.71191,7659,8066,0.70203,0.72180
2016,West,male,Homosexual,0.00878,65,8066,0.00675,0.01082
2016,West,male,No answer/ Do not wish to respond,0.03689,342,8066,0.03278,0.04101
2016,West,female,Heterosexual,0.69447,8893,9521,0.68521,0.70372
2016,West,female,Homosexual,0.01024,71,9521,0.00822,0.01226
2016,West,female,Bisexual,0.00601,71,9521,0.00446,0.00756
2016,West,female,No answer/ Do not wish to respond,0.05226,486,9521,0.04779,0.05673
2016,East,male,Heterosexual,0.70083,1946,2043,0.68097,0.72069
2016,East,male,No answer/ Do not wish to respond,0.04225,97,2043,0.03353,0.05098
2016,East,female,Heterosexual,0.68984,2311,2445,0.67150,0.70818
2016,East,female,No answer/ Do not wish to respond,0.05593,134,2445,0.04682,0.06504
2019,West,male,Heterosexual,0.75380,8848,9571,0.74517,0.76243
2019,West,male,Homosexual,0.01244,213,9571,0.01022,0.01466
2019,West,male,Bisexual,0.00720,113,9571,0.00551,0.00890
2019,West,male,No answer/ Do not wish to respond,0.04286,397,9571,0.03881,0.04692
2019,West,female,Heterosexual,0.75990,9598,10461,0.75171,0.76808
2019,West,female,Homosexual,0.00645,127,10461,0.00491,0.00798
2019,West,female,Bisexual,0.01251,241,10461,0.01038,0.01464
2019,West,female,No answer/ Do not wish to respond,0.05306,495,10461,0.04876,0.05735
2019,East,male,Heterosexual,0.76323,2421,2608,0.74692,0.77955
2019,East,male,Homosexual,0.01733,55,2608,0.01232,0.02234
2019,East,male,No answer/ Do not wish to respond,0.04410,132,2608,0.03622,0.05198
2019,East,female,Heterosexual,0.76800,2655,2878,0.75257,0.78342
2019,East,female,Bisexual,0.01702,74,2878,0.01230,0.02175
2019,East,female,No answer/ Do not wish to respond,0.05477,149,2878,0.04646,0.06309
