year,migback,pgisced97,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,No migration background,Pre-primary Level,Heterosexual,0.40036,188,188,0.33014,0.47059
2016,No migration background,Primary Level,Heterosexual,0.86100,112,112,0.79664,0.92535
2016,No migration background,Lower Secondary Level,Heterosexual,0.72803,1181,1273,0.70358,0.75249
2016,No migration background,Lower Secondary Level,No answer/ Do not wish to respond,0.09115,92,1273,0.07533,0.10697
2016,No migration background,Upper Secondary Level,Heterosexual,0.81725,7306,7819,0.80869,0.82582
2016,No migration background,Upper Secondary Level,Homosexual,0.00883,56,7819,0.00675,0.01090
2016,No migration background,Upper Secondary Level,Bisexual,0.00456,40,7819,0.00307,0.00606
2016,No migration background,Upper Secondary Level,No answer/ Do not wish to respond,0.05932,417,7819,0.05409,0.06456
2016,No migration background,Post-secondary Non-tertiary Level,Heterosexual,0.89655,1078,1078,0.87836,0.91474
2016,No migration background,First Stage of Tertiary Education,Heterosexual,0.84464,1074,1133,0.82354,0.86574
2016,No migration background,First Stage of Tertiary Education,No answer/ Do not wish to respond,0.05299,59,1133,0.03994,0.06604
2016,No migration background,Second Stage of Tertiary Education,Heterosexual,0.88870,3957,4139,0.87912,0.89828
2016,No migration background,Second Stage of Tertiary Education,Homosexual,0.01354,43,4139,0.01002,0.01707
2016,No migration background,Second Stage of Tertiary Education,No answer/ Do not wish to respond,0.03506,139,4139,0.02945,0.04066
2016,Direct migration background,Pre-primary Level,Heterosexual,0.48687,41,41,0.33197,0.64177
2016,Direct migration background,Primary Level,Heterosexual,0.65098,211,211,0.58651,0.71545
2016,Direct migration background,Lower Secondary Level,Heterosexual,0.78254,667,717,0.75232,0.81275
2016,Direct migration background,Lower Secondary Level,No answer/ Do not wish to respond,0.06275,50,717,0.04499,0.08052
2016,Direct migration background,Upper Secondary Level,Heterosexual,0.82499,1420,1494,0.80571,0.84426
2016,Direct migration background,Upper Secondary Level,No answer/ Do not wish to respond,0.05108,74,1494,0.03991,0.06225
2016,Direct migration background,Post-secondary Non-tertiary Level,Heterosexual,0.85963,663,699,0.83386,0.88540
2016,Direct migration background,Post-secondary Non-tertiary Level,No answer/ Do not wish to respond,0.06262,36,699,0.04465,0.08059
2016,Direct migration background,First Stage of Tertiary Education,Heterosexual,0.81471,83,83,0.73062,0.89881
2016,Direct migration background,Second Stage of Tertiary Education,Heterosexual,0.84620,1157,1190,0.82569,0.86671
2016,Direct migration background,Second Stage of Tertiary Education,No answer/ Do not wish to respond,0.04900,33,1190,0.03673,0.06127
2016,Indirect migration background,Pre-primary Level,Heterosexual,0.38647,65,65,0.26717,0.50577
2016,Indirect migration background,Lower Secondary Level,Heterosexual,0.73342,241,241,0.67748,0.78937
2016,Indirect migration background,Upper Secondary Level,Heterosexual,0.83352,503,535,0.80193,0.86512
2016,Indirect migration background,Upper Secondary Level,No answer/ Do not wish to respond,0.06473,32,535,0.04386,0.08560
2016,Indirect migration background,Post-secondary Non-tertiary Level,Heterosexual,0.92881,95,95,0.87683,0.98079
2016,Indirect migration background,First Stage of Tertiary Education,Heterosexual,0.91002,47,47,0.82733,0.99272
2016,Indirect migration background,Second Stage of Tertiary Education,Heterosexual,0.94985,196,196,0.91922,0.98049
2019,No migration background,Pre-primary Level,Heterosexual,0.52901,179,179,0.45568,0.60234
2019,No migration background,Primary Level,Heterosexual,0.88576,126,126,0.83000,0.94153
2019,No migration background,Lower Secondary Level,Heterosexual,0.82151,1379,1543,0.80240,0.84063
2019,No migration background,Lower Secondary Level,Bisexual,0.01313,43,1543,0.00745,0.01881
2019,No migration background,Lower Secondary Level,No answer/ Do not wish to respond,0.10323,121,1543,0.08804,0.11842
2019,No migration background,Upper Secondary Level,Heterosexual,0.89685,8340,9162,0.89063,0.90308
2019,No migration background,Upper Secondary Level,Homosexual,0.01049,147,9162,0.00841,0.01258
2019,No migration background,Upper Secondary Level,Bisexual,0.01419,185,9162,0.01177,0.01661
2019,No migration background,Upper Secondary Level,No answer/ Do not wish to respond,0.07185,490,9162,0.06656,0.07714
2019,No migration background,Post-secondary Non-tertiary Level,Heterosexual,0.93790,1411,1475,0.92557,0.95022
2019,No migration background,Post-secondary Non-tertiary Level,Homosexual,0.01839,33,1475,0.01153,0.02525
2019,No migration background,Post-secondary Non-tertiary Level,Bisexual,0.01572,31,1475,0.00937,0.02207
2019,No migration background,First Stage of Tertiary Education,Heterosexual,0.94248,1422,1475,0.93059,0.95436
2019,No migration background,First Stage of Tertiary Education,No answer/ Do not wish to respond,0.03690,53,1475,0.02727,0.04652
2019,No migration background,Second Stage of Tertiary Education,Heterosexual,0.93537,5232,5608,0.92894,0.94181
2019,No migration background,Second Stage of Tertiary Education,Homosexual,0.01952,150,5608,0.01590,0.02314
2019,No migration background,Second Stage of Tertiary Education,Bisexual,0.01420,100,5608,0.01110,0.01730
2019,No migration background,Second Stage of Tertiary Education,No answer/ Do not wish to respond,0.02770,126,5608,0.02340,0.03199
2019,Direct migration background,Pre-primary Level,Heterosexual,0.48108,35,35,0.31313,0.64903
2019,Direct migration background,Primary Level,Heterosexual,0.63191,182,182,0.56164,0.70217
2019,Direct migration background,Lower Secondary Level,Heterosexual,0.86898,566,610,0.84218,0.89578
2019,Direct migration background,Lower Secondary Level,No answer/ Do not wish to respond,0.06243,44,610,0.04321,0.08165
2019,Direct migration background,Upper Secondary Level,Heterosexual,0.89693,1211,1292,0.88035,0.91352
2019,Direct migration background,Upper Secondary Level,No answer/ Do not wish to respond,0.06141,81,1292,0.04831,0.07451
2019,Direct migration background,Post-secondary Non-tertiary Level,Heterosexual,0.88971,495,526,0.86291,0.91651
2019,Direct migration background,Post-secondary Non-tertiary Level,No answer/ Do not wish to respond,0.07333,31,526,0.05103,0.09562
2019,Direct migration background,First Stage of Tertiary Education,Heterosexual,0.92912,77,77,0.87142,0.98681
2019,Direct migration background,Second Stage of Tertiary Education,Heterosexual,0.89445,1047,1085,0.87616,0.91274
2019,Direct migration background,Second Stage of Tertiary Education,No answer/ Do not wish to respond,0.04108,38,1085,0.02927,0.05290
2019,Indirect migration background,Pre-primary Level,Heterosexual,0.60448,75,75,0.49307,0.71588
2019,Indirect migration background,Lower Secondary Level,Heterosexual,0.80358,213,213,0.75010,0.85706
2019,Indirect migration background,Upper Secondary Level,Heterosexual,0.94263,573,573,0.92358,0.96169
2019,Indirect migration background,Post-secondary Non-tertiary Level,Heterosexual,0.92595,117,117,0.87830,0.97360
2019,Indirect migration background,First Stage of Tertiary Education,Heterosexual,0.96513,55,55,0.91620,1.01406
2019,Indirect migration background,Second Stage of Tertiary Education,Heterosexual,0.93965,262,262,0.91076,0.96854
