year,regtyp,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,Heterosexual,0.92599,13725,14566,0.92174,0.93024
2016,Urban regions,Homosexual,0.01446,126,14566,0.01252,0.01640
2016,Urban regions,Bisexual,0.00622,98,14566,0.00494,0.00750
2016,Urban regions,No answer/ Do not wish to respond,0.05333,617,14566,0.04968,0.05698
2016,Rural regions,Heterosexual,0.91629,7084,7589,0.91006,0.92252
2016,Rural regions,Homosexual,0.00523,31,7589,0.00360,0.00685
2016,Rural regions,Bisexual,0.00455,32,7589,0.00304,0.00607
2016,Rural regions,No answer/ Do not wish to respond,0.07393,442,7589,0.06804,0.07982
2019,No answer / don't know,Heterosexual,0.27523,126,531,0.23721,0.31326
2019,No answer / don't know,Homosexual,0.35334,229,531,0.31264,0.39404
2019,No answer / don't know,Bisexual,0.36002,176,531,0.31915,0.40088
2019,Urban regions,Heterosexual,0.92648,15229,16344,0.92248,0.93048
2019,Urban regions,Homosexual,0.00760,169,16344,0.00627,0.00893
2019,Urban regions,Bisexual,0.00809,232,16344,0.00671,0.00946
2019,Urban regions,No answer/ Do not wish to respond,0.05784,714,16344,0.05426,0.06142
2019,Rural regions,Heterosexual,0.92689,8172,8756,0.92143,0.93234
2019,Rural regions,Homosexual,0.00464,51,8756,0.00322,0.00607
2019,Rural regions,Bisexual,0.00668,80,8756,0.00497,0.00838
2019,Rural regions,No answer/ Do not wish to respond,0.06179,453,8756,0.05675,0.06684
