year,sampreg,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,West,Heterosexual,0.70308,16552,17615,0.69634,0.70983
2016,West,Homosexual,0.00952,136,17615,0.00809,0.01095
2016,West,Bisexual,0.00413,99,17615,0.00318,0.00508
2016,West,No answer/ Do not wish to respond,0.04464,828,17615,0.04159,0.04769
2016,East,Heterosexual,0.69458,4257,4519,0.68115,0.70801
2016,East,Bisexual,0.00530,31,4519,0.00318,0.00741
2016,East,No answer/ Do not wish to respond,0.04917,231,4519,0.04286,0.05547
2019,West,Heterosexual,0.75667,18446,20033,0.75073,0.76261
2019,West,Homosexual,0.00944,341,20033,0.00811,0.01078
2019,West,Bisexual,0.00987,354,20033,0.00850,0.01124
2019,West,No answer/ Do not wish to respond,0.04798,892,20033,0.04502,0.05094
2019,East,Heterosexual,0.76488,5076,5531,0.75370,0.77605
2019,East,Homosexual,0.01016,71,5531,0.00752,0.01280
2019,East,Bisexual,0.01309,103,5531,0.01009,0.01608
2019,East,No answer/ Do not wish to respond,0.04953,281,5531,0.04381,0.05525
