year,bula_h,pgisced97,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Lower Secondary Level,Heterosexual,0.80064,88,88,0.71669,0.88459
2016,Schleswig-Holstein,Upper Secondary Level,Heterosexual,0.87533,332,332,0.83974,0.91092
2016,Schleswig-Holstein,Post-secondary Non-tertiary Level,Heterosexual,0.85442,66,66,0.76868,0.94016
2016,Schleswig-Holstein,First Stage of Tertiary Education,Heterosexual,0.80084,42,42,0.67859,0.92309
2016,Schleswig-Holstein,Second Stage of Tertiary Education,Heterosexual,0.92020,146,146,0.87609,0.96431
2016,Hamburg,Lower Secondary Level,Heterosexual,0.83218,31,31,0.69845,0.96591
2016,Hamburg,Upper Secondary Level,Heterosexual,0.79434,131,131,0.72486,0.86382
2016,Hamburg,Post-secondary Non-tertiary Level,Heterosexual,0.88903,39,39,0.78916,0.98890
2016,Hamburg,Second Stage of Tertiary Education,Heterosexual,0.94924,150,150,0.91399,0.98449
2016,Lower Saxony,Primary Level,Heterosexual,0.79674,54,54,0.68840,0.90509
2016,Lower Saxony,Lower Secondary Level,Heterosexual,0.69762,250,250,0.64057,0.75467
2016,Lower Saxony,Upper Secondary Level,Heterosexual,0.84949,969,1005,0.82737,0.87161
2016,Lower Saxony,Upper Secondary Level,No answer/ Do not wish to respond,0.03880,36,1005,0.02686,0.05075
2016,Lower Saxony,Post-secondary Non-tertiary Level,Heterosexual,0.90560,193,193,0.86424,0.94696
2016,Lower Saxony,First Stage of Tertiary Education,Heterosexual,0.84272,96,96,0.76951,0.91593
2016,Lower Saxony,Second Stage of Tertiary Education,Heterosexual,0.87451,462,462,0.84427,0.90475
2016,Bremen,Upper Secondary Level,Heterosexual,0.96195,67,67,0.91580,1.00811
2016,Bremen,Second Stage of Tertiary Education,Heterosexual,0.88219,36,36,0.77538,0.98899
2016,North Rhine-Westphalia,Pre-primary Level,Heterosexual,0.29299,78,78,0.19133,0.39465
2016,North Rhine-Westphalia,Primary Level,Heterosexual,0.77855,121,121,0.70425,0.85284
2016,North Rhine-Westphalia,Lower Secondary Level,Heterosexual,0.77321,524,524,0.73732,0.80910
2016,North Rhine-Westphalia,Upper Secondary Level,Heterosexual,0.83406,1827,1911,0.81738,0.85074
2016,North Rhine-Westphalia,Upper Secondary Level,No answer/ Do not wish to respond,0.05391,84,1911,0.04378,0.06404
2016,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Heterosexual,0.90190,521,521,0.87633,0.92747
2016,North Rhine-Westphalia,First Stage of Tertiary Education,Heterosexual,0.89528,219,219,0.85464,0.93593
2016,North Rhine-Westphalia,Second Stage of Tertiary Education,Heterosexual,0.87803,949,949,0.85720,0.89887
2016,Hesse,Lower Secondary Level,Heterosexual,0.74459,137,137,0.67129,0.81788
2016,Hesse,Upper Secondary Level,Heterosexual,0.80090,545,579,0.76834,0.83345
2016,Hesse,Upper Secondary Level,No answer/ Do not wish to respond,0.05618,34,579,0.03741,0.07496
2016,Hesse,Post-secondary Non-tertiary Level,Heterosexual,0.89682,134,134,0.84512,0.94852
2016,Hesse,First Stage of Tertiary Education,Heterosexual,0.89730,65,65,0.82293,0.97167
2016,Hesse,Second Stage of Tertiary Education,Heterosexual,0.90052,440,440,0.87252,0.92852
2016,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Heterosexual,0.66775,173,173,0.59736,0.73814
2016,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Heterosexual,0.76938,528,576,0.73495,0.80381
2016,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No answer/ Do not wish to respond,0.05996,48,576,0.04055,0.07936
2016,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Heterosexual,0.88150,103,103,0.81878,0.94423
2016,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Heterosexual,0.83924,71,71,0.75319,0.92529
2016,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Heterosexual,0.82827,225,225,0.77887,0.87766
2016,Baden-Wuerttemberg,Pre-primary Level,Heterosexual,0.48851,34,34,0.31796,0.65906
2016,Baden-Wuerttemberg,Lower Secondary Level,Heterosexual,0.79352,285,285,0.74645,0.84060
2016,Baden-Wuerttemberg,Upper Secondary Level,Heterosexual,0.85729,1076,1129,0.83688,0.87771
2016,Baden-Wuerttemberg,Upper Secondary Level,No answer/ Do not wish to respond,0.06760,53,1129,0.05295,0.08226
2016,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Heterosexual,0.93510,236,236,0.90360,0.96660
2016,Baden-Wuerttemberg,First Stage of Tertiary Education,Heterosexual,0.90351,160,160,0.85761,0.94940
2016,Baden-Wuerttemberg,Second Stage of Tertiary Education,Heterosexual,0.91764,715,715,0.89747,0.93780
2016,Bavaria,Pre-primary Level,Heterosexual,0.48795,40,40,0.33107,0.64483
2016,Bavaria,Primary Level,Heterosexual,0.75218,39,39,0.61490,0.88945
2016,Bavaria,Lower Secondary Level,Heterosexual,0.63176,279,279,0.57506,0.68846
2016,Bavaria,Upper Secondary Level,Heterosexual,0.78501,1495,1604,0.76489,0.80512
2016,Bavaria,Upper Secondary Level,No answer/ Do not wish to respond,0.07323,109,1604,0.06048,0.08599
2016,Bavaria,Post-secondary Non-tertiary Level,Heterosexual,0.84489,253,253,0.80019,0.88958
2016,Bavaria,First Stage of Tertiary Education,Heterosexual,0.85278,202,202,0.80379,0.90176
2016,Bavaria,Second Stage of Tertiary Education,Heterosexual,0.90126,832,832,0.88098,0.92155
2016,Berlin,Lower Secondary Level,Heterosexual,0.76851,48,48,0.64792,0.88909
2016,Berlin,Upper Secondary Level,Heterosexual,0.84021,280,280,0.79722,0.88321
2016,Berlin,Post-secondary Non-tertiary Level,Heterosexual,0.87000,58,58,0.78270,0.95731
2016,Berlin,First Stage of Tertiary Education,Heterosexual,0.86575,46,46,0.76614,0.96536
2016,Berlin,Second Stage of Tertiary Education,Heterosexual,0.85304,325,325,0.81448,0.89159
2016,Brandenburg,Lower Secondary Level,Heterosexual,0.89478,64,64,0.81901,0.97055
2016,Brandenburg,Upper Secondary Level,Heterosexual,0.70016,374,406,0.65553,0.74478
2016,Brandenburg,Upper Secondary Level,No answer/ Do not wish to respond,0.14952,32,406,0.11479,0.18425
2016,Brandenburg,Post-secondary Non-tertiary Level,Heterosexual,0.80770,61,61,0.70798,0.90742
2016,Brandenburg,First Stage of Tertiary Education,Heterosexual,0.76283,50,50,0.64374,0.88193
2016,Brandenburg,Second Stage of Tertiary Education,Heterosexual,0.85928,216,216,0.81280,0.90576
2016,Mecklenburg-Western Pomerania,Upper Secondary Level,Heterosexual,0.80196,225,225,0.74977,0.85415
2016,Mecklenburg-Western Pomerania,First Stage of Tertiary Education,Heterosexual,0.81946,39,39,0.69716,0.94176
2016,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Heterosexual,0.84778,112,112,0.78095,0.91461
2016,Saxony,Lower Secondary Level,Heterosexual,0.92905,79,79,0.87207,0.98603
2016,Saxony,Upper Secondary Level,Heterosexual,0.84882,617,659,0.82145,0.87619
2016,Saxony,Upper Secondary Level,No answer/ Do not wish to respond,0.05213,42,659,0.03515,0.06912
2016,Saxony,Post-secondary Non-tertiary Level,Heterosexual,0.92384,70,70,0.86125,0.98643
2016,Saxony,First Stage of Tertiary Education,Heterosexual,0.70136,90,90,0.60628,0.79645
2016,Saxony,Second Stage of Tertiary Education,Heterosexual,0.84269,334,334,0.80359,0.88180
2016,Saxony-Anhalt,Lower Secondary Level,Heterosexual,0.79319,53,53,0.68311,0.90328
2016,Saxony-Anhalt,Upper Secondary Level,Heterosexual,0.80692,371,371,0.76670,0.84714
2016,Saxony-Anhalt,First Stage of Tertiary Education,Heterosexual,0.81818,51,51,0.71127,0.92509
2016,Saxony-Anhalt,Second Stage of Tertiary Education,Heterosexual,0.84584,178,178,0.79264,0.89904
2016,Thuringa,Lower Secondary Level,Heterosexual,0.63400,43,43,0.48832,0.77969
2016,Thuringa,Upper Secondary Level,Heterosexual,0.75126,392,392,0.70841,0.79411
2016,Thuringa,Post-secondary Non-tertiary Level,Heterosexual,0.79807,35,35,0.66313,0.93301
2016,Thuringa,First Stage of Tertiary Education,Heterosexual,0.83353,55,55,0.73417,0.93288
2016,Thuringa,Second Stage of Tertiary Education,Heterosexual,0.91809,190,190,0.87900,0.95719
2019,Schleswig-Holstein,Lower Secondary Level,Heterosexual,0.76958,86,86,0.68006,0.85910
2019,Schleswig-Holstein,Upper Secondary Level,Heterosexual,0.89592,373,373,0.86489,0.92695
2019,Schleswig-Holstein,Post-secondary Non-tertiary Level,Heterosexual,0.86145,86,86,0.78800,0.93489
2019,Schleswig-Holstein,First Stage of Tertiary Education,Heterosexual,0.93113,68,68,0.87050,0.99177
2019,Schleswig-Holstein,Second Stage of Tertiary Education,Heterosexual,0.93526,217,217,0.90244,0.96807
2019,Hamburg,Lower Secondary Level,Heterosexual,0.89023,39,39,0.79083,0.98962
2019,Hamburg,Upper Secondary Level,Heterosexual,0.86592,167,167,0.81408,0.91775
2019,Hamburg,Post-secondary Non-tertiary Level,Heterosexual,0.89165,49,49,0.80372,0.97958
2019,Hamburg,Second Stage of Tertiary Education,Heterosexual,0.92651,177,177,0.88796,0.96506
2019,Lower Saxony,Pre-primary Level,Heterosexual,0.54531,32,32,0.37002,0.72060
2019,Lower Saxony,Primary Level,Heterosexual,0.77759,47,47,0.65741,0.89777
2019,Lower Saxony,Lower Secondary Level,Heterosexual,0.83752,287,287,0.79477,0.88027
2019,Lower Saxony,Upper Secondary Level,Heterosexual,0.92465,1016,1072,0.90884,0.94045
2019,Lower Saxony,Upper Secondary Level,No answer/ Do not wish to respond,0.05114,56,1072,0.03795,0.06433
2019,Lower Saxony,Post-secondary Non-tertiary Level,Heterosexual,0.95196,210,210,0.92297,0.98095
2019,Lower Saxony,First Stage of Tertiary Education,Heterosexual,0.90788,123,123,0.85656,0.95920
2019,Lower Saxony,Second Stage of Tertiary Education,Heterosexual,0.94091,540,540,0.92101,0.96082
2019,Bremen,Upper Secondary Level,Heterosexual,0.82826,70,70,0.73927,0.91725
2019,Bremen,Second Stage of Tertiary Education,Heterosexual,0.94004,57,57,0.87785,1.00222
2019,North Rhine-Westphalia,Pre-primary Level,Heterosexual,0.61626,84,84,0.51164,0.72088
2019,North Rhine-Westphalia,Primary Level,Heterosexual,0.71257,107,107,0.62642,0.79873
2019,North Rhine-Westphalia,Lower Secondary Level,Heterosexual,0.86659,518,518,0.83728,0.89590
2019,North Rhine-Westphalia,Upper Secondary Level,Heterosexual,0.90163,2051,2238,0.88929,0.91397
2019,North Rhine-Westphalia,Upper Secondary Level,Homosexual,0.01052,42,2238,0.00629,0.01474
2019,North Rhine-Westphalia,Upper Secondary Level,Bisexual,0.01327,54,2238,0.00853,0.01801
2019,North Rhine-Westphalia,Upper Secondary Level,No answer/ Do not wish to respond,0.06349,91,2238,0.05339,0.07360
2019,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Heterosexual,0.92978,579,579,0.90895,0.95061
2019,North Rhine-Westphalia,First Stage of Tertiary Education,Heterosexual,0.94113,277,277,0.91336,0.96890
2019,North Rhine-Westphalia,Second Stage of Tertiary Education,Heterosexual,0.94135,1236,1302,0.92859,0.95412
2019,North Rhine-Westphalia,Second Stage of Tertiary Education,Homosexual,0.01751,35,1302,0.01038,0.02464
2019,North Rhine-Westphalia,Second Stage of Tertiary Education,No answer/ Do not wish to respond,0.02433,31,1302,0.01596,0.03270
2019,Hesse,Lower Secondary Level,Heterosexual,0.82026,138,138,0.75596,0.88455
2019,Hesse,Upper Secondary Level,Heterosexual,0.90581,640,640,0.88316,0.92846
2019,Hesse,Post-secondary Non-tertiary Level,Heterosexual,0.94453,145,145,0.90714,0.98191
2019,Hesse,First Stage of Tertiary Education,Heterosexual,0.97877,85,85,0.94795,1.00960
2019,Hesse,Second Stage of Tertiary Education,Heterosexual,0.91460,492,492,0.88988,0.93932
2019,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Heterosexual,0.79228,174,174,0.73182,0.85273
2019,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Heterosexual,0.88829,586,635,0.86377,0.91281
2019,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No answer/ Do not wish to respond,0.08023,49,635,0.05908,0.10137
2019,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Heterosexual,0.89793,110,110,0.84109,0.95476
2019,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Heterosexual,0.94003,80,80,0.88768,0.99239
2019,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Heterosexual,0.90255,279,279,0.86769,0.93741
2019,Baden-Wuerttemberg,Pre-primary Level,Heterosexual,0.69858,31,31,0.53438,0.86279
2019,Baden-Wuerttemberg,Lower Secondary Level,Heterosexual,0.79453,211,211,0.73988,0.84917
2019,Baden-Wuerttemberg,Upper Secondary Level,Heterosexual,0.89760,1046,1107,0.87973,0.91547
2019,Baden-Wuerttemberg,Upper Secondary Level,No answer/ Do not wish to respond,0.07420,61,1107,0.05875,0.08965
2019,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Heterosexual,0.90896,209,209,0.86987,0.94806
2019,Baden-Wuerttemberg,First Stage of Tertiary Education,Heterosexual,0.94418,186,186,0.91110,0.97726
2019,Baden-Wuerttemberg,Second Stage of Tertiary Education,Heterosexual,0.93853,826,826,0.92214,0.95492
2019,Bavaria,Primary Level,Heterosexual,0.71198,43,43,0.57503,0.84894
2019,Bavaria,Lower Secondary Level,Heterosexual,0.85062,321,321,0.81157,0.88968
2019,Bavaria,Upper Secondary Level,Heterosexual,0.89932,1629,1773,0.88531,0.91333
2019,Bavaria,Upper Secondary Level,Bisexual,0.01340,34,1773,0.00804,0.01875
2019,Bavaria,Upper Secondary Level,No answer/ Do not wish to respond,0.07055,110,1773,0.05863,0.08248
2019,Bavaria,Post-secondary Non-tertiary Level,Heterosexual,0.93889,272,272,0.91037,0.96741
2019,Bavaria,First Stage of Tertiary Education,Heterosexual,0.95921,273,273,0.93570,0.98272
2019,Bavaria,Second Stage of Tertiary Education,Heterosexual,0.94883,1020,1020,0.93530,0.96236
2019,Berlin,Lower Secondary Level,Heterosexual,0.80606,49,49,0.69420,0.91791
2019,Berlin,Upper Secondary Level,Heterosexual,0.86937,276,276,0.82954,0.90920
2019,Berlin,Post-secondary Non-tertiary Level,Heterosexual,0.84234,64,64,0.75236,0.93233
2019,Berlin,First Stage of Tertiary Education,Heterosexual,0.95565,39,39,0.89018,1.02111
2019,Berlin,Second Stage of Tertiary Education,Heterosexual,0.85768,379,423,0.82434,0.89101
2019,Berlin,Second Stage of Tertiary Education,Homosexual,0.05718,44,423,0.03503,0.07933
2019,Brandenburg,Lower Secondary Level,Heterosexual,0.77078,80,80,0.67809,0.86347
2019,Brandenburg,Upper Secondary Level,Heterosexual,0.90571,493,493,0.87989,0.93153
2019,Brandenburg,Post-secondary Non-tertiary Level,Heterosexual,0.95496,71,71,0.90638,1.00354
2019,Brandenburg,First Stage of Tertiary Education,Heterosexual,0.91723,81,81,0.85685,0.97761
2019,Brandenburg,Second Stage of Tertiary Education,Heterosexual,0.88113,265,265,0.84209,0.92017
2019,Mecklenburg-Western Pomerania,Lower Secondary Level,Heterosexual,0.87063,40,40,0.76529,0.97596
2019,Mecklenburg-Western Pomerania,Upper Secondary Level,Heterosexual,0.91843,272,272,0.88584,0.95102
2019,Mecklenburg-Western Pomerania,Post-secondary Non-tertiary Level,Heterosexual,0.92676,35,35,0.83919,1.01433
2019,Mecklenburg-Western Pomerania,First Stage of Tertiary Education,Heterosexual,0.96468,52,52,0.91403,1.01534
2019,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Heterosexual,0.92971,153,153,0.88907,0.97035
2019,Saxony,Lower Secondary Level,Heterosexual,0.86612,88,88,0.79456,0.93767
2019,Saxony,Upper Secondary Level,Heterosexual,0.90156,682,733,0.87998,0.92314
2019,Saxony,Upper Secondary Level,No answer/ Do not wish to respond,0.05947,51,733,0.04234,0.07661
2019,Saxony,Post-secondary Non-tertiary Level,Heterosexual,0.95347,84,84,0.90815,0.99878
2019,Saxony,First Stage of Tertiary Education,Heterosexual,0.95033,128,128,0.91255,0.98812
2019,Saxony,Second Stage of Tertiary Education,Heterosexual,0.92048,454,454,0.89557,0.94540
2019,Saxony-Anhalt,Lower Secondary Level,Heterosexual,0.81379,59,59,0.71360,0.91397
2019,Saxony-Anhalt,Upper Secondary Level,Heterosexual,0.88072,387,418,0.84961,0.91183
2019,Saxony-Anhalt,Upper Secondary Level,No answer/ Do not wish to respond,0.08660,31,418,0.05961,0.11359
2019,Saxony-Anhalt,Post-secondary Non-tertiary Level,Heterosexual,0.91625,48,48,0.83706,0.99545
