year,migback,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,No migration background,Heterosexual,0.92165,15202,16198,0.91751,0.92579
2016,No migration background,Homosexual,0.01255,132,16198,0.01084,0.01427
2016,No migration background,Bisexual,0.00596,102,16198,0.00478,0.00715
2016,No migration background,No answer/ Do not wish to respond,0.05984,762,16198,0.05618,0.06349
2016,Direct migration background,Heterosexual,0.92703,4347,4574,0.91950,0.93457
2016,Direct migration background,No answer/ Do not wish to respond,0.06293,227,4574,0.05589,0.06996
2016,Indirect migration background,Heterosexual,0.93103,1260,1330,0.91740,0.94465
2016,Indirect migration background,No answer/ Do not wish to respond,0.04994,70,1330,0.03823,0.06165
2019,No migration background,Heterosexual,0.91471,18388,20047,0.91085,0.91858
2019,No migration background,Homosexual,0.01356,388,20047,0.01196,0.01516
2019,No migration background,Bisexual,0.01382,396,20047,0.01220,0.01543
2019,No migration background,No answer/ Do not wish to respond,0.05792,875,20047,0.05468,0.06115
2019,Direct migration background,Heterosexual,0.92139,3713,3996,0.91305,0.92974
2019,Direct migration background,Bisexual,0.00691,41,3996,0.00434,0.00948
2019,Direct migration background,No answer/ Do not wish to respond,0.06679,242,3996,0.05905,0.07454
2019,Indirect migration background,Heterosexual,0.92545,1426,1566,0.91244,0.93846
2019,Indirect migration background,Homosexual,0.01162,32,1566,0.00631,0.01693
2019,Indirect migration background,Bisexual,0.02087,51,1566,0.01379,0.02796
2019,Indirect migration background,No answer/ Do not wish to respond,0.04205,57,1566,0.03211,0.05200
