year,pgisced97,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Pre-primary Level,Heterosexual,0.40318,294,294,0.34701,0.45935
2016,Primary Level,Heterosexual,0.74936,347,347,0.70369,0.79502
2016,Lower Secondary Level,Heterosexual,0.74268,2089,2249,0.72461,0.76075
2016,Lower Secondary Level,No answer/ Do not wish to respond,0.08003,160,2249,0.06881,0.09125
2016,Upper Secondary Level,Heterosexual,0.81886,9229,9862,0.81126,0.82647
2016,Upper Secondary Level,Homosexual,0.00830,61,9862,0.00651,0.01009
2016,Upper Secondary Level,Bisexual,0.00445,49,9862,0.00314,0.00576
2016,Upper Secondary Level,No answer/ Do not wish to respond,0.05868,523,9862,0.05404,0.06332
2016,Post-secondary Non-tertiary Level,Heterosexual,0.88831,1836,1903,0.87415,0.90246
2016,Post-secondary Non-tertiary Level,No answer/ Do not wish to respond,0.03875,67,1903,0.03007,0.04742
2016,First Stage of Tertiary Education,Heterosexual,0.84406,1204,1274,0.82413,0.86399
2016,First Stage of Tertiary Education,No answer/ Do not wish to respond,0.05452,70,1274,0.04205,0.06699
2016,Second Stage of Tertiary Education,Heterosexual,0.88480,5310,5543,0.87639,0.89321
2016,Second Stage of Tertiary Education,Homosexual,0.01296,56,5543,0.00999,0.01594
2016,Second Stage of Tertiary Education,No answer/ Do not wish to respond,0.03623,177,5543,0.03131,0.04115
2019,Pre-primary Level,Heterosexual,0.54224,289,289,0.48470,0.59978
2019,Primary Level,Heterosexual,0.72135,338,374,0.67585,0.76685
2019,Primary Level,No answer/ Do not wish to respond,0.11027,36,374,0.07848,0.14205
2019,Lower Secondary Level,Heterosexual,0.83207,2158,2387,0.81707,0.84707
2019,Lower Secondary Level,Bisexual,0.01119,52,2387,0.00697,0.01541
2019,Lower Secondary Level,No answer/ Do not wish to respond,0.09377,177,2387,0.08208,0.10547
2019,Upper Secondary Level,Heterosexual,0.89930,10124,11109,0.89370,0.90490
2019,Upper Secondary Level,Homosexual,0.00962,162,11109,0.00780,0.01143
2019,Upper Secondary Level,Bisexual,0.01386,224,11109,0.01169,0.01603
2019,Upper Secondary Level,No answer/ Do not wish to respond,0.06851,599,11109,0.06381,0.07321
2019,Post-secondary Non-tertiary Level,Heterosexual,0.92549,2023,2166,0.91443,0.93656
2019,Post-secondary Non-tertiary Level,Homosexual,0.01492,43,2166,0.00982,0.02003
2019,Post-secondary Non-tertiary Level,Bisexual,0.01501,40,2166,0.00989,0.02013
2019,Post-secondary Non-tertiary Level,No answer/ Do not wish to respond,0.03200,60,2166,0.02459,0.03941
2019,First Stage of Tertiary Education,Heterosexual,0.94212,1554,1613,0.93072,0.95352
2019,First Stage of Tertiary Education,No answer/ Do not wish to respond,0.03730,59,1613,0.02805,0.04655
2019,Second Stage of Tertiary Education,Heterosexual,0.92899,6541,7007,0.92298,0.93501
2019,Second Stage of Tertiary Education,Homosexual,0.01776,175,7007,0.01467,0.02085
2019,Second Stage of Tertiary Education,Bisexual,0.01377,123,7007,0.01104,0.01650
2019,Second Stage of Tertiary Education,No answer/ Do not wish to respond,0.02938,168,7007,0.02543,0.03333
