year,age_gr,sampreg,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,17-29 y.,West,Heterosexual,0.93600,2782,2939,0.92715,0.94485
2016,17-29 y.,West,Bisexual,0.01655,51,2939,0.01194,0.02117
2016,17-29 y.,West,No answer/ Do not wish to respond,0.03308,106,2939,0.02662,0.03955
2016,17-29 y.,East,Heterosexual,0.95074,561,561,0.93282,0.96867
2016,30-45 y.,West,Heterosexual,0.94909,5159,5348,0.94320,0.95499
2016,30-45 y.,West,Homosexual,0.01738,47,5348,0.01387,0.02088
2016,30-45 y.,West,No answer/ Do not wish to respond,0.02905,142,5348,0.02454,0.03355
2016,30-45 y.,East,Heterosexual,0.93106,1216,1258,0.91705,0.94506
2016,30-45 y.,East,No answer/ Do not wish to respond,0.04246,42,1258,0.03132,0.05361
2016,46-65 y.,West,Heterosexual,0.92667,5815,6157,0.92016,0.93318
2016,46-65 y.,West,Homosexual,0.01325,46,6157,0.01040,0.01611
2016,46-65 y.,West,No answer/ Do not wish to respond,0.05699,296,6157,0.05120,0.06278
2016,46-65 y.,East,Heterosexual,0.91508,1574,1675,0.90173,0.92843
2016,46-65 y.,East,No answer/ Do not wish to respond,0.07835,101,1675,0.06548,0.09123
2016,66 and older,West,Heterosexual,0.88196,2796,3080,0.87056,0.89335
2016,66 and older,West,No answer/ Do not wish to respond,0.11130,284,3080,0.10019,0.12241
2016,66 and older,East,Heterosexual,0.89795,906,978,0.87897,0.91694
2016,66 and older,East,No answer/ Do not wish to respond,0.09791,72,978,0.07927,0.11655
2019,17-29 y.,West,Heterosexual,0.91716,2845,3181,0.90757,0.92674
2019,17-29 y.,West,Homosexual,0.01790,67,3181,0.01329,0.02250
2019,17-29 y.,West,Bisexual,0.02858,138,3181,0.02279,0.03437
2019,17-29 y.,West,No answer/ Do not wish to respond,0.03637,131,3181,0.02986,0.04287
2019,17-29 y.,East,Heterosexual,0.88123,552,592,0.85514,0.90731
2019,17-29 y.,East,Bisexual,0.05752,40,592,0.03874,0.07629
2019,30-45 y.,West,Heterosexual,0.93454,4566,4923,0.92763,0.94145
2019,30-45 y.,West,Homosexual,0.01407,103,4923,0.01078,0.01736
2019,30-45 y.,West,Bisexual,0.01638,99,4923,0.01284,0.01993
2019,30-45 y.,West,No answer/ Do not wish to respond,0.03500,155,4923,0.02987,0.04014
2019,30-45 y.,East,Heterosexual,0.93556,1230,1302,0.92222,0.94891
2019,30-45 y.,East,Bisexual,0.02412,38,1302,0.01579,0.03246
2019,30-45 y.,East,No answer/ Do not wish to respond,0.01918,34,1302,0.01173,0.02663
2019,46-65 y.,West,Heterosexual,0.93366,7545,8085,0.92824,0.93909
2019,46-65 y.,West,Homosexual,0.01168,144,8085,0.00934,0.01402
2019,46-65 y.,West,Bisexual,0.00672,90,8085,0.00494,0.00850
2019,46-65 y.,West,No answer/ Do not wish to respond,0.04794,306,8085,0.04328,0.05260
2019,46-65 y.,East,Heterosexual,0.93522,2142,2238,0.92502,0.94542
2019,46-65 y.,East,No answer/ Do not wish to respond,0.05323,96,2238,0.04393,0.06253
2019,66 and older,West,Heterosexual,0.88050,3490,3790,0.87017,0.89083
2019,66 and older,West,No answer/ Do not wish to respond,0.11052,300,3790,0.10053,0.12050
2019,66 and older,East,Heterosexual,0.87517,1152,1276,0.85702,0.89331
2019,66 and older,East,No answer/ Do not wish to respond,0.11464,124,1276,0.09716,0.13213
