year,pgisced97,sex,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Pre-primary Level,male,Heterosexual,0.37672,127,127,0.29211,0.46133
2016,Pre-primary Level,female,Heterosexual,0.42808,167,167,0.35281,0.50335
2016,Primary Level,male,Heterosexual,0.75200,150,150,0.68266,0.82135
2016,Primary Level,female,Heterosexual,0.74725,197,197,0.68641,0.80810
2016,Lower Secondary Level,male,Heterosexual,0.75810,839,891,0.72996,0.78623
2016,Lower Secondary Level,male,No answer/ Do not wish to respond,0.06749,52,891,0.05101,0.08397
2016,Lower Secondary Level,female,Heterosexual,0.73248,1250,1358,0.70893,0.75604
2016,Lower Secondary Level,female,No answer/ Do not wish to respond,0.08832,108,1358,0.07322,0.10342
2016,Upper Secondary Level,male,Heterosexual,0.83850,4176,4413,0.82764,0.84936
2016,Upper Secondary Level,male,Homosexual,0.00825,31,4413,0.00558,0.01092
2016,Upper Secondary Level,male,No answer/ Do not wish to respond,0.04955,206,4413,0.04314,0.05595
2016,Upper Secondary Level,female,Heterosexual,0.80052,5053,5405,0.78987,0.81118
2016,Upper Secondary Level,female,Bisexual,0.00590,35,5405,0.00386,0.00794
2016,Upper Secondary Level,female,No answer/ Do not wish to respond,0.06721,317,5405,0.06053,0.07389
2016,Post-secondary Non-tertiary Level,male,Heterosexual,0.88672,668,668,0.86267,0.91077
2016,Post-secondary Non-tertiary Level,female,Heterosexual,0.88956,1168,1205,0.87185,0.90726
2016,Post-secondary Non-tertiary Level,female,No answer/ Do not wish to respond,0.04700,37,1205,0.03505,0.05896
2016,First Stage of Tertiary Education,male,Heterosexual,0.85626,739,781,0.83164,0.88088
2016,First Stage of Tertiary Education,male,No answer/ Do not wish to respond,0.04585,42,781,0.03117,0.06053
2016,First Stage of Tertiary Education,female,Heterosexual,0.82254,465,465,0.78777,0.85730
2016,Second Stage of Tertiary Education,male,Heterosexual,0.90261,2652,2732,0.89148,0.91373
2016,Second Stage of Tertiary Education,male,No answer/ Do not wish to respond,0.03276,80,2732,0.02608,0.03944
2016,Second Stage of Tertiary Education,female,Heterosexual,0.86504,2658,2755,0.85228,0.87781
2016,Second Stage of Tertiary Education,female,No answer/ Do not wish to respond,0.04009,97,2755,0.03276,0.04742
2019,Pre-primary Level,male,Heterosexual,0.54022,146,146,0.45910,0.62134
2019,Pre-primary Level,female,Heterosexual,0.54431,143,143,0.46239,0.62623
2019,Primary Level,male,Heterosexual,0.69640,152,152,0.62306,0.76974
2019,Primary Level,female,Heterosexual,0.74064,186,186,0.67749,0.80380
2019,Lower Secondary Level,male,Heterosexual,0.81469,898,961,0.79011,0.83927
2019,Lower Secondary Level,male,No answer/ Do not wish to respond,0.09369,63,961,0.07526,0.11212
2019,Lower Secondary Level,female,Heterosexual,0.84504,1260,1414,0.82618,0.86391
2019,Lower Secondary Level,female,Bisexual,0.01475,41,1414,0.00846,0.02103
2019,Lower Secondary Level,female,No answer/ Do not wish to respond,0.09367,113,1414,0.07848,0.10886
2019,Upper Secondary Level,male,Heterosexual,0.90896,4633,5056,0.90103,0.91689
2019,Upper Secondary Level,male,Homosexual,0.01317,107,5056,0.01003,0.01631
2019,Upper Secondary Level,male,Bisexual,0.01076,64,5056,0.00791,0.01360
2019,Upper Secondary Level,male,No answer/ Do not wish to respond,0.05946,252,5056,0.05294,0.06597
2019,Upper Secondary Level,female,Heterosexual,0.89105,5491,6051,0.88320,0.89890
2019,Upper Secondary Level,female,Homosexual,0.00632,54,6051,0.00433,0.00832
2019,Upper Secondary Level,female,Bisexual,0.01660,159,6051,0.01338,0.01982
2019,Upper Secondary Level,female,No answer/ Do not wish to respond,0.07670,347,6051,0.07000,0.08341
2019,Post-secondary Non-tertiary Level,male,Heterosexual,0.91696,759,759,0.89732,0.93661
2019,Post-secondary Non-tertiary Level,female,Heterosexual,0.93166,1264,1297,0.91793,0.94540
2019,Post-secondary Non-tertiary Level,female,No answer/ Do not wish to respond,0.03186,33,1297,0.02230,0.04143
2019,First Stage of Tertiary Education,male,Heterosexual,0.93787,1005,1049,0.92325,0.95248
2019,First Stage of Tertiary Education,male,No answer/ Do not wish to respond,0.04438,44,1049,0.03191,0.05685
2019,First Stage of Tertiary Education,female,Heterosexual,0.94994,549,549,0.93168,0.96820
2019,Second Stage of Tertiary Education,male,Heterosexual,0.92973,3429,3661,0.92145,0.93801
2019,Second Stage of Tertiary Education,male,Homosexual,0.02354,114,3661,0.01863,0.02845
2019,Second Stage of Tertiary Education,male,Bisexual,0.00790,39,3661,0.00503,0.01077
2019,Second Stage of Tertiary Education,male,No answer/ Do not wish to respond,0.02558,79,3661,0.02047,0.03070
2019,Second Stage of Tertiary Education,female,Heterosexual,0.92824,3112,3345,0.91949,0.93699
2019,Second Stage of Tertiary Education,female,Homosexual,0.01109,61,3345,0.00754,0.01464
2019,Second Stage of Tertiary Education,female,Bisexual,0.02044,83,3345,0.01564,0.02523
2019,Second Stage of Tertiary Education,female,No answer/ Do not wish to respond,0.03377,89,3345,0.02764,0.03989
