year,pgisced97,regtyp,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Pre-primary Level,Urban regions,Heterosexual,0.40328,218,218,0.33801,0.46855
2016,Pre-primary Level,Rural regions,Heterosexual,0.40293,76,76,0.29192,0.51394
2016,Primary Level,Urban regions,Heterosexual,0.74182,243,243,0.68668,0.79696
2016,Primary Level,Rural regions,Heterosexual,0.76887,104,104,0.68746,0.85029
2016,Lower Secondary Level,Urban regions,Heterosexual,0.76028,1379,1479,0.73852,0.78205
2016,Lower Secondary Level,Urban regions,No answer/ Do not wish to respond,0.07666,100,1479,0.06309,0.09022
2016,Lower Secondary Level,Rural regions,Heterosexual,0.70708,710,770,0.67492,0.73925
2016,Lower Secondary Level,Rural regions,No answer/ Do not wish to respond,0.08685,60,770,0.06695,0.10676
2016,Upper Secondary Level,Urban regions,Heterosexual,0.83336,5636,6000,0.82393,0.84280
2016,Upper Secondary Level,Urban regions,Homosexual,0.00970,40,6000,0.00722,0.01218
2016,Upper Secondary Level,Urban regions,Bisexual,0.00564,38,6000,0.00374,0.00753
2016,Upper Secondary Level,Urban regions,No answer/ Do not wish to respond,0.05416,286,6000,0.04843,0.05989
2016,Upper Secondary Level,Rural regions,Heterosexual,0.79349,3593,3830,0.78067,0.80632
2016,Upper Secondary Level,Rural regions,No answer/ Do not wish to respond,0.06658,237,3830,0.05868,0.07448
2016,Post-secondary Non-tertiary Level,Urban regions,Heterosexual,0.88240,1351,1398,0.86550,0.89929
2016,Post-secondary Non-tertiary Level,Urban regions,No answer/ Do not wish to respond,0.04269,47,1398,0.03209,0.05329
2016,Post-secondary Non-tertiary Level,Rural regions,Heterosexual,0.90834,485,485,0.88264,0.93405
2016,First Stage of Tertiary Education,Urban regions,Heterosexual,0.86061,727,760,0.83597,0.88525
2016,First Stage of Tertiary Education,Urban regions,No answer/ Do not wish to respond,0.04213,33,760,0.02783,0.05642
2016,First Stage of Tertiary Education,Rural regions,Heterosexual,0.81410,477,514,0.78043,0.84776
2016,First Stage of Tertiary Education,Rural regions,No answer/ Do not wish to respond,0.07697,37,514,0.05390,0.10003
2016,Second Stage of Tertiary Education,Urban regions,Heterosexual,0.89030,3828,3999,0.88062,0.89999
2016,Second Stage of Tertiary Education,Urban regions,Homosexual,0.01620,52,3999,0.01229,0.02012
2016,Second Stage of Tertiary Education,Urban regions,No answer/ Do not wish to respond,0.03237,119,3999,0.02688,0.03786
2016,Second Stage of Tertiary Education,Rural regions,Heterosexual,0.86846,1482,1540,0.85158,0.88535
2016,Second Stage of Tertiary Education,Rural regions,No answer/ Do not wish to respond,0.04771,58,1540,0.03706,0.05836
2019,Pre-primary Level,Urban regions,Heterosexual,0.58112,215,215,0.51501,0.64722
2019,Pre-primary Level,Rural regions,Heterosexual,0.42921,73,73,0.31488,0.54354
2019,Primary Level,Urban regions,Heterosexual,0.70834,233,265,0.65352,0.76317
2019,Primary Level,Urban regions,No answer/ Do not wish to respond,0.13014,32,265,0.08955,0.17073
2019,Primary Level,Rural regions,Heterosexual,0.75655,102,102,0.67285,0.84025
2019,Lower Secondary Level,Urban regions,Heterosexual,0.84096,1325,1438,0.82205,0.85987
2019,Lower Secondary Level,Urban regions,No answer/ Do not wish to respond,0.09667,113,1438,0.08139,0.11195
2019,Lower Secondary Level,Rural regions,Heterosexual,0.83333,819,881,0.80871,0.85796
2019,Lower Secondary Level,Rural regions,No answer/ Do not wish to respond,0.09137,62,881,0.07233,0.11040
2019,Upper Secondary Level,Urban regions,Heterosexual,0.90825,6086,6576,0.90128,0.91523
2019,Upper Secondary Level,Urban regions,Homosexual,0.00554,52,6576,0.00374,0.00733
2019,Upper Secondary Level,Urban regions,Bisexual,0.00965,106,6576,0.00728,0.01201
2019,Upper Secondary Level,Urban regions,No answer/ Do not wish to respond,0.06856,332,6576,0.06245,0.07467
2019,Upper Secondary Level,Rural regions,Heterosexual,0.91094,3977,4277,0.90241,0.91948
2019,Upper Secondary Level,Rural regions,Bisexual,0.00555,36,4277,0.00333,0.00778
2019,Upper Secondary Level,Rural regions,No answer/ Do not wish to respond,0.07077,264,4277,0.06308,0.07845
2019,Post-secondary Non-tertiary Level,Urban regions,Heterosexual,0.93489,1438,1480,0.92232,0.94747
2019,Post-secondary Non-tertiary Level,Urban regions,No answer/ Do not wish to respond,0.03346,42,1480,0.02430,0.04263
2019,Post-secondary Non-tertiary Level,Rural regions,Heterosexual,0.95955,574,574,0.94341,0.97568
2019,First Stage of Tertiary Education,Urban regions,Heterosexual,0.95146,899,899,0.93740,0.96551
2019,First Stage of Tertiary Education,Rural regions,Heterosexual,0.94347,649,649,0.92569,0.96125
2019,Second Stage of Tertiary Education,Urban regions,Heterosexual,0.94419,4695,4937,0.93778,0.95059
2019,Second Stage of Tertiary Education,Urban regions,Homosexual,0.00937,70,4937,0.00668,0.01206
2019,Second Stage of Tertiary Education,Urban regions,Bisexual,0.00607,54,4937,0.00390,0.00823
2019,Second Stage of Tertiary Education,Urban regions,No answer/ Do not wish to respond,0.03059,118,4937,0.02579,0.03540
2019,Second Stage of Tertiary Education,Rural regions,Heterosexual,0.94697,1816,1866,0.93680,0.95714
2019,Second Stage of Tertiary Education,Rural regions,No answer/ Do not wish to respond,0.02807,50,1866,0.02057,0.03557
