year,age_gr,migback,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,17-29 y.,No migration background,Heterosexual,0.93215,2076,2176,0.92158,0.94272
2016,17-29 y.,No migration background,Bisexual,0.01875,45,2176,0.01305,0.02445
2016,17-29 y.,No migration background,No answer/ Do not wish to respond,0.03151,55,2176,0.02417,0.03885
2016,17-29 y.,Direct migration background,Heterosexual,0.95969,644,678,0.94488,0.97451
2016,17-29 y.,Direct migration background,No answer/ Do not wish to respond,0.02442,34,678,0.01279,0.03605
2016,17-29 y.,Indirect migration background,Heterosexual,0.94891,623,656,0.93205,0.96577
2016,17-29 y.,Indirect migration background,No answer/ Do not wish to respond,0.03467,33,656,0.02066,0.04868
2016,30-45 y.,No migration background,Heterosexual,0.94741,3851,3989,0.94049,0.95434
2016,30-45 y.,No migration background,Homosexual,0.01762,40,3989,0.01353,0.02170
2016,30-45 y.,No migration background,No answer/ Do not wish to respond,0.02723,98,3989,0.02218,0.03228
2016,30-45 y.,Direct migration background,Heterosexual,0.95454,2043,2107,0.94564,0.96344
2016,30-45 y.,Direct migration background,No answer/ Do not wish to respond,0.03014,64,2107,0.02284,0.03745
2016,30-45 y.,Indirect migration background,Heterosexual,0.90859,481,481,0.88281,0.93437
2016,46-65 y.,No migration background,Heterosexual,0.92612,5902,6238,0.91963,0.93261
2016,46-65 y.,No migration background,Homosexual,0.01325,50,6238,0.01041,0.01609
2016,46-65 y.,No migration background,No answer/ Do not wish to respond,0.05806,286,6238,0.05225,0.06386
2016,46-65 y.,Direct migration background,Heterosexual,0.91722,1334,1430,0.90293,0.93150
2016,46-65 y.,Direct migration background,No answer/ Do not wish to respond,0.07741,96,1430,0.06356,0.09127
2016,46-65 y.,Indirect migration background,Heterosexual,0.91410,153,153,0.86955,0.95865
2016,66 and older,No migration background,Heterosexual,0.88747,3373,3696,0.87728,0.89766
2016,66 and older,No migration background,No answer/ Do not wish to respond,0.10595,323,3696,0.09603,0.11587
2016,66 and older,Direct migration background,Heterosexual,0.85585,326,359,0.81946,0.89223
2016,66 and older,Direct migration background,No answer/ Do not wish to respond,0.14032,33,359,0.10434,0.17630
2019,17-29 y.,No migration background,Heterosexual,0.90459,2362,2679,0.89346,0.91572
2019,17-29 y.,No migration background,Homosexual,0.02233,74,2679,0.01674,0.02793
2019,17-29 y.,No migration background,Bisexual,0.03990,148,2679,0.03249,0.04731
2019,17-29 y.,No migration background,No answer/ Do not wish to respond,0.03317,95,2679,0.02639,0.03996
2019,17-29 y.,Direct migration background,Heterosexual,0.94301,377,413,0.92062,0.96539
2019,17-29 y.,Direct migration background,No answer/ Do not wish to respond,0.03849,36,413,0.01992,0.05707
2019,17-29 y.,Indirect migration background,Heterosexual,0.91749,660,660,0.89648,0.93850
2019,30-45 y.,No migration background,Heterosexual,0.93201,3806,4127,0.92433,0.93969
2019,30-45 y.,No migration background,Homosexual,0.02033,113,4127,0.01602,0.02464
2019,30-45 y.,No migration background,Bisexual,0.02067,113,4127,0.01633,0.02501
2019,30-45 y.,No migration background,No answer/ Do not wish to respond,0.02699,95,4127,0.02205,0.03194
2019,30-45 y.,Direct migration background,Heterosexual,0.93290,1499,1578,0.92055,0.94525
2019,30-45 y.,Direct migration background,No answer/ Do not wish to respond,0.04971,79,1578,0.03898,0.06043
2019,30-45 y.,Indirect migration background,Heterosexual,0.93528,491,491,0.91350,0.95707
2019,46-65 y.,No migration background,Heterosexual,0.93480,8009,8569,0.92957,0.94002
2019,46-65 y.,No migration background,Homosexual,0.01239,162,8569,0.01005,0.01473
2019,46-65 y.,No migration background,Bisexual,0.00704,99,8569,0.00527,0.00881
2019,46-65 y.,No migration background,No answer/ Do not wish to respond,0.04578,299,8569,0.04135,0.05020
2019,46-65 y.,Direct migration background,Heterosexual,0.92753,1431,1520,0.91449,0.94057
2019,46-65 y.,Direct migration background,No answer/ Do not wish to respond,0.06364,89,1520,0.05137,0.07592
2019,46-65 y.,Indirect migration background,Heterosexual,0.91824,249,249,0.88414,0.95234
2019,66 and older,No migration background,Heterosexual,0.87983,4211,4672,0.87050,0.88915
2019,66 and older,No migration background,Homosexual,0.00564,39,4672,0.00349,0.00778
2019,66 and older,No migration background,Bisexual,0.00475,36,4672,0.00278,0.00672
2019,66 and older,No migration background,No answer/ Do not wish to respond,0.10979,386,4672,0.10082,0.11875
2019,66 and older,Direct migration background,Heterosexual,0.86755,406,444,0.83598,0.89911
2019,66 and older,Direct migration background,No answer/ Do not wish to respond,0.12984,38,444,0.09854,0.16114
