year,age_gr,sex,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,17-29 y.,male,Heterosexual,0.80275,1597,1661,0.78361,0.82189
2016,17-29 y.,male,No answer/ Do not wish to respond,0.02627,64,1661,0.01858,0.03397
2016,17-29 y.,female,Heterosexual,0.79335,1746,1849,0.77489,0.81182
2016,17-29 y.,female,Bisexual,0.02197,45,1849,0.01529,0.02866
2016,17-29 y.,female,No answer/ Do not wish to respond,0.02685,58,1849,0.01948,0.03422
2016,30-45 y.,male,Heterosexual,0.88565,2689,2769,0.87379,0.89750
2016,30-45 y.,male,No answer/ Do not wish to respond,0.03205,80,2769,0.02548,0.03861
2016,30-45 y.,female,Heterosexual,0.88305,3686,3790,0.87282,0.89328
2016,30-45 y.,female,No answer/ Do not wish to respond,0.02653,104,3790,0.02141,0.03165
2016,46-65 y.,male,Heterosexual,0.85258,3432,3590,0.84098,0.86418
2016,46-65 y.,male,No answer/ Do not wish to respond,0.04874,158,3590,0.04169,0.05578
2016,46-65 y.,female,Heterosexual,0.82509,3957,4196,0.81359,0.83658
2016,46-65 y.,female,No answer/ Do not wish to respond,0.06173,239,4196,0.05445,0.06902
2016,66 and older,male,Heterosexual,0.80264,1887,2024,0.78530,0.81998
2016,66 and older,male,No answer/ Do not wish to respond,0.06832,137,2024,0.05733,0.07932
2016,66 and older,female,Heterosexual,0.72477,1815,2034,0.70536,0.74419
2016,66 and older,female,No answer/ Do not wish to respond,0.11376,219,2034,0.09995,0.12756
2019,17-29 y.,male,Heterosexual,0.81956,1683,1862,0.80208,0.83703
2019,17-29 y.,male,Homosexual,0.02122,55,1862,0.01467,0.02777
2019,17-29 y.,male,Bisexual,0.01490,41,1862,0.00940,0.02040
2019,17-29 y.,male,No answer/ Do not wish to respond,0.03712,83,1862,0.02853,0.04571
2019,17-29 y.,female,Heterosexual,0.81628,1716,1963,0.79914,0.83341
2019,17-29 y.,female,Homosexual,0.01146,31,1963,0.00675,0.01617
2019,17-29 y.,female,Bisexual,0.04613,141,1963,0.03685,0.05541
2019,17-29 y.,female,No answer/ Do not wish to respond,0.02909,75,1963,0.02165,0.03653
2019,30-45 y.,male,Heterosexual,0.91641,2494,2700,0.90596,0.92685
2019,30-45 y.,male,Homosexual,0.02269,92,2700,0.01707,0.02831
2019,30-45 y.,male,Bisexual,0.01461,41,2700,0.01009,0.01914
2019,30-45 y.,male,No answer/ Do not wish to respond,0.02683,73,2700,0.02074,0.03293
2019,30-45 y.,female,Heterosexual,0.91864,3302,3577,0.90968,0.92760
2019,30-45 y.,female,Homosexual,0.00904,49,3577,0.00594,0.01215
2019,30-45 y.,female,Bisexual,0.02280,110,3577,0.01791,0.02769
2019,30-45 y.,female,No answer/ Do not wish to respond,0.03673,116,3577,0.03056,0.04289
2019,46-65 y.,male,Heterosexual,0.92957,4735,5076,0.92253,0.93661
2019,46-65 y.,male,Homosexual,0.01387,113,5076,0.01065,0.01709
2019,46-65 y.,male,Bisexual,0.00513,46,5076,0.00316,0.00709
2019,46-65 y.,male,No answer/ Do not wish to respond,0.04615,182,5076,0.04038,0.05193
2019,46-65 y.,female,Heterosexual,0.92325,4954,5311,0.91609,0.93041
2019,46-65 y.,female,Homosexual,0.00890,69,5311,0.00638,0.01143
2019,46-65 y.,female,Bisexual,0.00769,68,5311,0.00534,0.01004
2019,46-65 y.,female,No answer/ Do not wish to respond,0.05080,220,5311,0.04490,0.05671
2019,66 and older,male,Heterosexual,0.87685,2359,2584,0.86418,0.88952
2019,66 and older,male,Homosexual,0.00972,34,2584,0.00594,0.01350
2019,66 and older,male,No answer/ Do not wish to respond,0.09737,191,2584,0.08594,0.10880
2019,66 and older,female,Heterosexual,0.86306,2284,2517,0.84962,0.87649
2019,66 and older,female,No answer/ Do not wish to respond,0.12010,233,2517,0.10740,0.13280
