year,bula_h,sampreg,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,West,Heterosexual,0.95253,715,752,0.93732,0.96774
2016,Schleswig-Holstein,West,No answer/ Do not wish to respond,0.04002,37,752,0.02600,0.05404
2016,Hamburg,West,Heterosexual,0.91071,389,389,0.88233,0.93908
2016,Lower Saxony,West,Heterosexual,0.93649,2115,2189,0.92627,0.94671
2016,Lower Saxony,West,No answer/ Do not wish to respond,0.04887,74,2189,0.03984,0.05790
2016,Bremen,West,Heterosexual,0.93979,164,164,0.90327,0.97631
2016,North Rhine-Westphalia,West,Heterosexual,0.93430,4350,4540,0.92709,0.94151
2016,North Rhine-Westphalia,West,Homosexual,0.01595,34,4540,0.01231,0.01959
2016,North Rhine-Westphalia,West,No answer/ Do not wish to respond,0.04595,156,4540,0.03985,0.05204
2016,Hesse,West,Heterosexual,0.91520,1397,1479,0.90099,0.92940
2016,Hesse,West,No answer/ Do not wish to respond,0.06507,82,1479,0.05249,0.07764
2016,"Rhineland-Palatinate, Saarland",West,Heterosexual,0.90689,1169,1283,0.89098,0.92280
2016,"Rhineland-Palatinate, Saarland",West,No answer/ Do not wish to respond,0.07507,114,1283,0.06064,0.08949
2016,Baden-Wuerttemberg,West,Heterosexual,0.91960,2595,2712,0.90936,0.92983
2016,Baden-Wuerttemberg,West,No answer/ Do not wish to respond,0.06715,117,2712,0.05773,0.07657
2016,Bavaria,West,Heterosexual,0.91242,3207,3417,0.90294,0.92190
2016,Bavaria,West,No answer/ Do not wish to respond,0.07786,210,3417,0.06887,0.08684
2016,Berlin,West,Heterosexual,0.89261,451,451,0.86401,0.92122
2016,Berlin,East,Heterosexual,0.92909,348,348,0.90208,0.95610
2016,Brandenburg,East,Heterosexual,0.88099,796,850,0.85921,0.90277
2016,Brandenburg,East,No answer/ Do not wish to respond,0.11595,54,850,0.09441,0.13748
2016,Mecklenburg-Western Pomerania,East,Heterosexual,0.95762,434,434,0.93865,0.97660
2016,Saxony,East,Heterosexual,0.92757,1227,1303,0.91349,0.94165
2016,Saxony,East,No answer/ Do not wish to respond,0.06049,76,1303,0.04754,0.07344
2016,Saxony-Anhalt,East,Heterosexual,0.92654,718,768,0.90808,0.94500
2016,Saxony-Anhalt,East,No answer/ Do not wish to respond,0.06759,50,768,0.04982,0.08535
2016,Thuringa,East,Heterosexual,0.91260,734,768,0.89262,0.93259
2016,Thuringa,East,No answer/ Do not wish to respond,0.05761,34,768,0.04112,0.07410
2019,Schleswig-Holstein,West,Heterosexual,0.90017,869,922,0.88081,0.91953
2019,Schleswig-Holstein,West,No answer/ Do not wish to respond,0.07513,53,922,0.05811,0.09215
2019,Hamburg,West,Heterosexual,0.90796,481,481,0.88210,0.93382
2019,Lower Saxony,West,Heterosexual,0.92888,2310,2457,0.91872,0.93905
2019,Lower Saxony,West,Homosexual,0.00857,34,2457,0.00492,0.01221
2019,Lower Saxony,West,No answer/ Do not wish to respond,0.05393,113,2457,0.04500,0.06287
2019,Bremen,West,Heterosexual,0.91049,201,201,0.87093,0.95006
2019,North Rhine-Westphalia,West,Heterosexual,0.92547,4992,5384,0.91846,0.93249
2019,North Rhine-Westphalia,West,Homosexual,0.01121,94,5384,0.00840,0.01402
2019,North Rhine-Westphalia,West,Bisexual,0.01041,101,5384,0.00770,0.01312
2019,North Rhine-Westphalia,West,No answer/ Do not wish to respond,0.05290,197,5384,0.04692,0.05888
2019,Hesse,West,Heterosexual,0.92073,1570,1708,0.90791,0.93354
2019,Hesse,West,Homosexual,0.01558,39,1708,0.00970,0.02145
2019,Hesse,West,Bisexual,0.01716,42,1708,0.01100,0.02332
2019,Hesse,West,No answer/ Do not wish to respond,0.04654,57,1708,0.03655,0.05653
