year,bula_h,regtyp,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Urban regions,Heterosexual,0.62707,184,184,0.55701,0.69714
2016,Schleswig-Holstein,Rural regions,Heterosexual,0.75893,531,531,0.72251,0.79535
2016,Hamburg,Urban regions,Heterosexual,0.71636,389,389,0.67151,0.76122
2016,Lower Saxony,Urban regions,Heterosexual,0.72093,844,880,0.69128,0.75059
2016,Lower Saxony,Urban regions,No answer/ Do not wish to respond,0.04500,36,880,0.03130,0.05871
2016,Lower Saxony,Rural regions,Heterosexual,0.70536,1271,1309,0.68065,0.73006
2016,Lower Saxony,Rural regions,No answer/ Do not wish to respond,0.03185,38,1309,0.02234,0.04137
2016,Bremen,Urban regions,Heterosexual,0.73682,164,164,0.66922,0.80443
2016,North Rhine-Westphalia,Urban regions,Heterosexual,0.70876,4269,4453,0.69541,0.72210
2016,North Rhine-Westphalia,Urban regions,Homosexual,0.01237,34,4453,0.00912,0.01562
2016,North Rhine-Westphalia,Urban regions,No answer/ Do not wish to respond,0.03476,150,4453,0.02938,0.04015
2016,North Rhine-Westphalia,Rural regions,Heterosexual,0.64311,81,81,0.53813,0.74810
2016,Hesse,Urban regions,Heterosexual,0.70000,1147,1219,0.67426,0.72573
2016,Hesse,Urban regions,No answer/ Do not wish to respond,0.04517,72,1219,0.03351,0.05683
2016,Hesse,Rural regions,Heterosexual,0.66467,250,250,0.60603,0.72331
2016,"Rhineland-Palatinate, Saarland",Urban regions,Heterosexual,0.65951,851,917,0.62882,0.69020
2016,"Rhineland-Palatinate, Saarland",Urban regions,No answer/ Do not wish to respond,0.04652,66,917,0.03288,0.06015
2016,"Rhineland-Palatinate, Saarland",Rural regions,Heterosexual,0.65898,318,366,0.61035,0.70762
2016,"Rhineland-Palatinate, Saarland",Rural regions,No answer/ Do not wish to respond,0.08032,48,366,0.05244,0.10821
2016,Baden-Wuerttemberg,Urban regions,Heterosexual,0.72955,2322,2416,0.71184,0.74727
2016,Baden-Wuerttemberg,Urban regions,No answer/ Do not wish to respond,0.04891,94,2416,0.04031,0.05751
2016,Baden-Wuerttemberg,Rural regions,Heterosexual,0.73029,273,273,0.67754,0.78303
