year,bula_h,quintil_oecd,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,1st Quintile,Heterosexual,0.65862,159,159,0.58468,0.73255
2016,Schleswig-Holstein,2nd Quintile,Heterosexual,0.54590,130,130,0.45998,0.63182
2016,Schleswig-Holstein,3rd Quintile,Heterosexual,0.74943,155,155,0.68099,0.81788
2016,Schleswig-Holstein,4th Quintile,Heterosexual,0.79851,136,136,0.73085,0.86617
2016,Schleswig-Holstein,5th Quintile,Heterosexual,0.86817,135,135,0.81089,0.92545
2016,Hamburg,1st Quintile,Heterosexual,0.62526,62,62,0.50378,0.74673
2016,Hamburg,2nd Quintile,Heterosexual,0.75083,72,72,0.65022,0.85144
2016,Hamburg,3rd Quintile,Heterosexual,0.77712,57,57,0.66812,0.88612
2016,Hamburg,4th Quintile,Heterosexual,0.71152,89,89,0.61686,0.80618
2016,Hamburg,5th Quintile,Heterosexual,0.74222,108,108,0.65934,0.82510
2016,Lower Saxony,1st Quintile,Heterosexual,0.64021,498,498,0.59801,0.68240
2016,Lower Saxony,2nd Quintile,Heterosexual,0.63382,361,361,0.58406,0.68359
2016,Lower Saxony,3rd Quintile,Heterosexual,0.72839,385,385,0.68390,0.77288
2016,Lower Saxony,4th Quintile,Heterosexual,0.74932,437,437,0.70863,0.79000
2016,Lower Saxony,5th Quintile,Heterosexual,0.81144,434,434,0.77459,0.84828
2016,Bremen,1st Quintile,Heterosexual,0.62685,64,64,0.50742,0.74628
2016,Bremen,2nd Quintile,Heterosexual,0.83655,32,32,0.70638,0.96672
2016,North Rhine-Westphalia,1st Quintile,Heterosexual,0.60857,961,1007,0.57841,0.63873
2016,North Rhine-Westphalia,1st Quintile,No answer/ Do not wish to respond,0.03500,46,1007,0.02364,0.04635
2016,North Rhine-Westphalia,2nd Quintile,Heterosexual,0.67714,871,902,0.64661,0.70767
2016,North Rhine-Westphalia,2nd Quintile,No answer/ Do not wish to respond,0.04709,31,902,0.03326,0.06092
2016,North Rhine-Westphalia,3rd Quintile,Heterosexual,0.71365,778,778,0.68186,0.74543
2016,North Rhine-Westphalia,4th Quintile,Heterosexual,0.74109,821,821,0.71111,0.77107
2016,North Rhine-Westphalia,5th Quintile,Heterosexual,0.81380,919,919,0.78862,0.83899
2016,Hesse,1st Quintile,Heterosexual,0.63717,267,267,0.57939,0.69495
2016,Hesse,2nd Quintile,Heterosexual,0.65657,242,242,0.59662,0.71652
2016,Hesse,3rd Quintile,Heterosexual,0.69207,244,244,0.63403,0.75011
2016,Hesse,4th Quintile,Heterosexual,0.71143,256,256,0.65581,0.76704
2016,Hesse,5th Quintile,Heterosexual,0.75975,387,387,0.71713,0.80237
2016,"Rhineland-Palatinate, Saarland",1st Quintile,Heterosexual,0.64465,269,304,0.59076,0.69854
2016,"Rhineland-Palatinate, Saarland",1st Quintile,No answer/ Do not wish to respond,0.05290,35,304,0.02770,0.07810
2016,"Rhineland-Palatinate, Saarland",2nd Quintile,Heterosexual,0.56015,236,236,0.49669,0.62362
2016,"Rhineland-Palatinate, Saarland",3rd Quintile,Heterosexual,0.66036,219,219,0.59749,0.72323
2016,"Rhineland-Palatinate, Saarland",4th Quintile,Heterosexual,0.67432,209,209,0.61063,0.73800
2016,"Rhineland-Palatinate, Saarland",5th Quintile,Heterosexual,0.80393,236,236,0.75317,0.85469
2016,Baden-Wuerttemberg,1st Quintile,Heterosexual,0.65804,317,317,0.60574,0.71035
2016,Baden-Wuerttemberg,2nd Quintile,Heterosexual,0.69170,485,485,0.65056,0.73285
2016,Baden-Wuerttemberg,3rd Quintile,Heterosexual,0.72467,546,546,0.68717,0.76217
2016,Baden-Wuerttemberg,4th Quintile,Heterosexual,0.73941,583,619,0.70480,0.77401
2016,Baden-Wuerttemberg,4th Quintile,No answer/ Do not wish to respond,0.06649,36,619,0.04685,0.08613
2016,Baden-Wuerttemberg,5th Quintile,Heterosexual,0.80120,663,663,0.77080,0.83160
2016,Bavaria,1st Quintile,Heterosexual,0.61173,445,493,0.56867,0.65480
2016,Bavaria,1st Quintile,No answer/ Do not wish to respond,0.09872,48,493,0.07236,0.12508
2016,Bavaria,2nd Quintile,Heterosexual,0.58661,640,699,0.55008,0.62314
2016,Bavaria,2nd Quintile,No answer/ Do not wish to respond,0.08371,59,699,0.06316,0.10425
2016,Bavaria,3rd Quintile,Heterosexual,0.67124,614,651,0.63513,0.70736
2016,Bavaria,3rd Quintile,No answer/ Do not wish to respond,0.04395,37,651,0.02819,0.05971
2016,Bavaria,4th Quintile,Heterosexual,0.70578,677,720,0.67247,0.73909
2016,Bavaria,4th Quintile,No answer/ Do not wish to respond,0.04716,43,720,0.03166,0.06265
2016,Bavaria,5th Quintile,Heterosexual,0.78596,831,831,0.75806,0.81387
2016,Berlin,1st Quintile,Heterosexual,0.68131,192,192,0.61523,0.74740
2016,Berlin,2nd Quintile,Heterosexual,0.76969,149,149,0.70185,0.83752
2016,Berlin,3rd Quintile,Heterosexual,0.69239,144,144,0.61675,0.76803
2016,Berlin,4th Quintile,Heterosexual,0.78577,164,164,0.72278,0.84875
2016,Berlin,5th Quintile,Heterosexual,0.73650,149,149,0.66553,0.80748
2016,Brandenburg,1st Quintile,Heterosexual,0.60062,194,194,0.53152,0.66972
2016,Brandenburg,2nd Quintile,Heterosexual,0.70851,216,216,0.64776,0.76926
2016,Brandenburg,3rd Quintile,Heterosexual,0.57041,169,169,0.49556,0.64527
2016,Brandenburg,4th Quintile,Heterosexual,0.69344,107,107,0.60566,0.78121
2016,Brandenburg,5th Quintile,Heterosexual,0.75288,110,110,0.67190,0.83385
2016,Mecklenburg-Western Pomerania,1st Quintile,Heterosexual,0.64802,115,115,0.56035,0.73569
2016,Mecklenburg-Western Pomerania,2nd Quintile,Heterosexual,0.72002,113,113,0.63687,0.80318
2016,Mecklenburg-Western Pomerania,3rd Quintile,Heterosexual,0.61143,87,87,0.50841,0.71445
2016,Mecklenburg-Western Pomerania,4th Quintile,Heterosexual,0.71420,67,67,0.60520,0.82320
2016,Mecklenburg-Western Pomerania,5th Quintile,Heterosexual,0.85585,52,52,0.75945,0.95225
2016,Saxony,1st Quintile,Heterosexual,0.67814,285,285,0.62380,0.73248
2016,Saxony,2nd Quintile,Heterosexual,0.73268,347,347,0.68605,0.77932
2016,Saxony,3rd Quintile,Heterosexual,0.72719,272,272,0.67416,0.78022
2016,Saxony,4th Quintile,Heterosexual,0.76570,198,198,0.70655,0.82485
2016,Saxony,5th Quintile,Heterosexual,0.77035,125,125,0.69632,0.84439
2016,Saxony-Anhalt,1st Quintile,Heterosexual,0.70331,228,228,0.64388,0.76273
2016,Saxony-Anhalt,2nd Quintile,Heterosexual,0.67354,177,177,0.60426,0.74282
2016,Saxony-Anhalt,3rd Quintile,Heterosexual,0.73251,133,133,0.65700,0.80803
2016,Saxony-Anhalt,4th Quintile,Heterosexual,0.75711,111,111,0.67697,0.83725
2016,Saxony-Anhalt,5th Quintile,Heterosexual,0.75877,69,69,0.65708,0.86046
2016,Thuringa,1st Quintile,Heterosexual,0.60266,173,173,0.52953,0.67580
2016,Thuringa,2nd Quintile,Heterosexual,0.64652,187,187,0.57782,0.71522
2016,Thuringa,3rd Quintile,Heterosexual,0.66801,143,143,0.59055,0.74547
2016,Thuringa,4th Quintile,Heterosexual,0.73113,135,135,0.65606,0.80621
2016,Thuringa,5th Quintile,Heterosexual,0.85295,96,96,0.78174,0.92417
2019,Schleswig-Holstein,1st Quintile,Heterosexual,0.51636,140,140,0.43328,0.59944
2019,Schleswig-Holstein,2nd Quintile,Heterosexual,0.65192,177,177,0.58154,0.72230
2019,Schleswig-Holstein,3rd Quintile,Heterosexual,0.81184,159,159,0.75090,0.87279
2019,Schleswig-Holstein,4th Quintile,Heterosexual,0.79286,135,135,0.72424,0.86147
2019,Schleswig-Holstein,5th Quintile,Heterosexual,0.86443,150,150,0.80946,0.91940
2019,Hamburg,1st Quintile,Heterosexual,0.60986,92,92,0.50963,0.71008
2019,Hamburg,2nd Quintile,Heterosexual,0.76056,57,57,0.64879,0.87233
2019,Hamburg,3rd Quintile,Heterosexual,0.79854,72,72,0.70524,0.89184
2019,Hamburg,4th Quintile,Heterosexual,0.75345,96,96,0.66678,0.84012
2019,Hamburg,5th Quintile,Heterosexual,0.84630,95,95,0.77339,0.91921
2019,Lower Saxony,1st Quintile,Heterosexual,0.67987,436,470,0.63764,0.72209
2019,Lower Saxony,1st Quintile,No answer/ Do not wish to respond,0.06603,34,470,0.04356,0.08851
2019,Lower Saxony,2nd Quintile,Heterosexual,0.74289,427,427,0.70138,0.78439
2019,Lower Saxony,3rd Quintile,Heterosexual,0.80785,406,406,0.76948,0.84622
2019,Lower Saxony,4th Quintile,Heterosexual,0.80643,441,441,0.76952,0.84335
2019,Lower Saxony,5th Quintile,Heterosexual,0.85921,457,457,0.82729,0.89113
2019,Bremen,1st Quintile,Heterosexual,0.59524,60,60,0.46999,0.72049
2019,Bremen,2nd Quintile,Heterosexual,0.80892,32,32,0.67052,0.94732
2019,Bremen,4th Quintile,Heterosexual,0.90228,42,42,0.81139,0.99317
2019,Bremen,5th Quintile,Heterosexual,0.92773,38,38,0.84430,1.01117
2019,North Rhine-Westphalia,1st Quintile,Heterosexual,0.66590,898,960,0.63605,0.69575
2019,North Rhine-Westphalia,1st Quintile,No answer/ Do not wish to respond,0.05566,62,960,0.04115,0.07017
2019,North Rhine-Westphalia,2nd Quintile,Heterosexual,0.74323,930,980,0.71587,0.77060
2019,North Rhine-Westphalia,2nd Quintile,No answer/ Do not wish to respond,0.06983,50,980,0.05387,0.08580
2019,North Rhine-Westphalia,3rd Quintile,Heterosexual,0.80323,805,805,0.77574,0.83071
2019,North Rhine-Westphalia,4th Quintile,Heterosexual,0.83729,871,871,0.81277,0.86182
2019,North Rhine-Westphalia,5th Quintile,Heterosexual,0.86973,995,995,0.84881,0.89066
2019,Hesse,1st Quintile,Heterosexual,0.67175,229,229,0.61080,0.73270
2019,Hesse,2nd Quintile,Heterosexual,0.70211,221,221,0.64168,0.76254
2019,Hesse,3rd Quintile,Heterosexual,0.81066,259,259,0.76285,0.85846
2019,Hesse,4th Quintile,Heterosexual,0.82902,261,261,0.78326,0.87479
2019,Hesse,5th Quintile,Heterosexual,0.82164,392,392,0.78369,0.85959
2019,"Rhineland-Palatinate, Saarland",1st Quintile,Heterosexual,0.67065,244,280,0.61550,0.72579
2019,"Rhineland-Palatinate, Saarland",1st Quintile,No answer/ Do not wish to respond,0.07130,36,280,0.04110,0.10150
2019,"Rhineland-Palatinate, Saarland",2nd Quintile,Heterosexual,0.71396,257,293,0.66213,0.76580
2019,"Rhineland-Palatinate, Saarland",2nd Quintile,No answer/ Do not wish to respond,0.08303,36,293,0.05139,0.11468
2019,"Rhineland-Palatinate, Saarland",3rd Quintile,Heterosexual,0.80301,220,220,0.75033,0.85568
2019,"Rhineland-Palatinate, Saarland",4th Quintile,Heterosexual,0.72862,212,212,0.66862,0.78862
