year,regtyp,sampreg,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,West,Heterosexual,0.92517,12195,12942,0.92064,0.92970
2016,Urban regions,West,Homosexual,0.01450,110,12942,0.01244,0.01656
2016,Urban regions,West,Bisexual,0.00552,79,12942,0.00424,0.00679
2016,Urban regions,West,No answer/ Do not wish to respond,0.05481,558,12942,0.05089,0.05873
2016,Urban regions,East,Heterosexual,0.93403,1530,1589,0.92182,0.94624
2016,Urban regions,East,No answer/ Do not wish to respond,0.03876,59,1589,0.02927,0.04826
2016,Rural regions,West,Heterosexual,0.91812,4357,4627,0.91022,0.92602
2016,Rural regions,West,No answer/ Do not wish to respond,0.07039,270,4627,0.06302,0.07777
2016,Rural regions,East,Heterosexual,0.91290,2727,2899,0.90263,0.92316
2016,Rural regions,East,No answer/ Do not wish to respond,0.08049,172,2899,0.07058,0.09039
2019,No answer / don't know,Does not apply,Homosexual,0.42415,37,68,0.30581,0.54249
2019,No answer / don't know,Does not apply,Bisexual,0.44738,31,68,0.32832,0.56644
2019,No answer / don't know,West,Heterosexual,0.29116,99,386,0.24578,0.33654
2019,No answer / don't know,West,Homosexual,0.34442,165,386,0.29696,0.39189
2019,No answer / don't know,West,Bisexual,0.35133,122,386,0.30364,0.39902
2019,Urban regions,West,Heterosexual,0.92696,13486,14450,0.92272,0.93121
2019,Urban regions,West,Homosexual,0.00721,144,14450,0.00583,0.00859
2019,Urban regions,West,Bisexual,0.00695,186,14450,0.00560,0.00831
2019,Urban regions,West,No answer/ Do not wish to respond,0.05887,634,14450,0.05503,0.06271
2019,Urban regions,East,Heterosexual,0.92157,1743,1869,0.90937,0.93376
2019,Urban regions,East,Bisexual,0.01949,46,1869,0.01322,0.02576
2019,Urban regions,East,No answer/ Do not wish to respond,0.04743,80,1869,0.03779,0.05707
2019,Rural regions,West,Heterosexual,0.93033,4861,5192,0.92341,0.93726
2019,Rural regions,West,Homosexual,0.00404,32,5192,0.00232,0.00577
2019,Rural regions,West,Bisexual,0.00657,46,5192,0.00437,0.00877
2019,Rural regions,West,No answer/ Do not wish to respond,0.05906,253,5192,0.05264,0.06547
2019,Rural regions,East,Heterosexual,0.92059,3311,3545,0.91169,0.92949
2019,Rural regions,East,Bisexual,0.00687,34,3545,0.00415,0.00959
2019,Rural regions,East,No answer/ Do not wish to respond,0.06680,200,3545,0.05858,0.07502
