year,migback,regtyp,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,No migration background,Urban regions,Heterosexual,0.73430,9438,10041,0.72565,0.74294
2016,No migration background,Urban regions,Homosexual,0.01274,104,10041,0.01054,0.01493
2016,No migration background,Urban regions,Bisexual,0.00525,74,10041,0.00383,0.00666
2016,No migration background,Urban regions,No answer/ Do not wish to respond,0.04253,425,10041,0.03858,0.04648
2016,No migration background,Rural regions,Heterosexual,0.69025,5764,6101,0.67865,0.70185
2016,No migration background,Rural regions,No answer/ Do not wish to respond,0.05422,337,6101,0.04854,0.05990
2016,Direct migration background,Urban regions,Heterosexual,0.78010,3261,3407,0.76619,0.79401
2016,Direct migration background,Urban regions,No answer/ Do not wish to respond,0.04821,146,3407,0.04101,0.05540
2016,Direct migration background,Rural regions,Heterosexual,0.75474,1086,1167,0.73004,0.77943
2016,Direct migration background,Rural regions,No answer/ Do not wish to respond,0.06844,81,1167,0.05395,0.08293
2016,Indirect migration background,Urban regions,Heterosexual,0.44799,1026,1072,0.41821,0.47777
2016,Indirect migration background,Urban regions,No answer/ Do not wish to respond,0.01929,46,1072,0.01105,0.02752
2016,Indirect migration background,Rural regions,Heterosexual,0.38398,234,234,0.32153,0.44643
2019,No migration background,Urban regions,Heterosexual,0.79737,11340,12142,0.79022,0.80452
2019,No migration background,Urban regions,Homosexual,0.00747,141,12142,0.00594,0.00900
2019,No migration background,Urban regions,Bisexual,0.00678,174,12142,0.00532,0.00824
2019,No migration background,Urban regions,No answer/ Do not wish to respond,0.04771,487,12142,0.04392,0.05150
2019,No migration background,Rural regions,Heterosexual,0.77935,6937,7434,0.76993,0.78878
2019,No migration background,Rural regions,Homosexual,0.00430,47,7434,0.00281,0.00578
2019,No migration background,Rural regions,Bisexual,0.00628,68,7434,0.00448,0.00808
2019,No migration background,Rural regions,No answer/ Do not wish to respond,0.05471,382,7434,0.04954,0.05988
2019,Direct migration background,Urban regions,Heterosexual,0.82606,2738,2921,0.81231,0.83981
2019,Direct migration background,Urban regions,No answer/ Do not wish to respond,0.06529,183,2921,0.05633,0.07425
2019,Direct migration background,Rural regions,Heterosexual,0.83265,966,1024,0.80977,0.85552
2019,Direct migration background,Rural regions,No answer/ Do not wish to respond,0.04012,58,1024,0.02809,0.05215
2019,Indirect migration background,Urban regions,Heterosexual,0.47944,1151,1229,0.45150,0.50738
2019,Indirect migration background,Urban regions,Bisexual,0.00875,34,1229,0.00354,0.01396
2019,Indirect migration background,Urban regions,No answer/ Do not wish to respond,0.02348,44,1229,0.01501,0.03195
2019,Indirect migration background,Rural regions,Heterosexual,0.46508,269,269,0.40536,0.52479
