year,quintil_oecd,regtyp,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,Urban regions,Heterosexual,0.91106,2691,2836,0.90058,0.92154
2016,1st Quintile,Urban regions,No answer/ Do not wish to respond,0.06358,145,2836,0.05459,0.07256
2016,1st Quintile,Rural regions,Heterosexual,0.91271,1538,1640,0.89904,0.92637
2016,1st Quintile,Rural regions,No answer/ Do not wish to respond,0.07721,102,1640,0.06429,0.09013
2016,2nd Quintile,Urban regions,Heterosexual,0.91699,2654,2786,0.90674,0.92724
2016,2nd Quintile,Urban regions,No answer/ Do not wish to respond,0.06571,132,2786,0.05651,0.07492
2016,2nd Quintile,Rural regions,Heterosexual,0.87491,1604,1731,0.85932,0.89050
2016,2nd Quintile,Rural regions,No answer/ Do not wish to respond,0.10731,127,1731,0.09272,0.12189
2016,3rd Quintile,Urban regions,Heterosexual,0.93053,2502,2609,0.92077,0.94029
2016,3rd Quintile,Urban regions,No answer/ Do not wish to respond,0.05062,107,2609,0.04221,0.05904
2016,3rd Quintile,Rural regions,Heterosexual,0.91917,1464,1559,0.90563,0.93270
2016,3rd Quintile,Rural regions,No answer/ Do not wish to respond,0.07587,95,1559,0.06272,0.08902
2016,4th Quintile,Urban regions,Heterosexual,0.92640,2656,2776,0.91668,0.93611
2016,4th Quintile,Urban regions,No answer/ Do not wish to respond,0.05113,120,2776,0.04294,0.05933
2016,4th Quintile,Rural regions,Heterosexual,0.91980,1359,1437,0.90575,0.93384
2016,4th Quintile,Rural regions,No answer/ Do not wish to respond,0.06867,78,1437,0.05559,0.08175
2016,5th Quintile,Urban regions,Heterosexual,0.93949,3218,3372,0.93144,0.94754
2016,5th Quintile,Urban regions,Homosexual,0.01526,43,3372,0.01112,0.01940
2016,5th Quintile,Urban regions,No answer/ Do not wish to respond,0.04068,111,3372,0.03401,0.04735
2016,5th Quintile,Rural regions,Heterosexual,0.96266,1119,1159,0.95174,0.97358
2016,5th Quintile,Rural regions,No answer/ Do not wish to respond,0.03350,40,1159,0.02314,0.04387
2019,1st Quintile,Urban regions,Heterosexual,0.89740,2489,2754,0.88606,0.90873
2019,1st Quintile,Urban regions,Bisexual,0.01667,71,2754,0.01188,0.02145
2019,1st Quintile,Urban regions,No answer/ Do not wish to respond,0.07700,194,2754,0.06704,0.08696
2019,1st Quintile,Rural regions,Heterosexual,0.89014,1504,1621,0.87491,0.90537
2019,1st Quintile,Rural regions,No answer/ Do not wish to respond,0.09585,117,1621,0.08151,0.11018
2019,2nd Quintile,Urban regions,Heterosexual,0.90603,2629,2832,0.89528,0.91678
2019,2nd Quintile,Urban regions,Bisexual,0.00671,44,2832,0.00370,0.00972
2019,2nd Quintile,Urban regions,No answer/ Do not wish to respond,0.08013,159,2832,0.07013,0.09013
2019,2nd Quintile,Rural regions,Heterosexual,0.90369,1730,1863,0.89029,0.91709
2019,2nd Quintile,Rural regions,No answer/ Do not wish to respond,0.08164,133,1863,0.06920,0.09407
2019,3rd Quintile,Urban regions,Heterosexual,0.93336,2575,2726,0.92400,0.94272
2019,3rd Quintile,Urban regions,Bisexual,0.00687,35,2726,0.00377,0.00998
2019,3rd Quintile,Urban regions,No answer/ Do not wish to respond,0.05595,116,2726,0.04732,0.06457
2019,3rd Quintile,Rural regions,Heterosexual,0.93067,1559,1647,0.91840,0.94294
2019,3rd Quintile,Rural regions,No answer/ Do not wish to respond,0.05762,88,1647,0.04636,0.06888
2019,4th Quintile,Urban regions,Heterosexual,0.93820,2589,2759,0.92922,0.94719
2019,4th Quintile,Urban regions,Homosexual,0.00905,32,2759,0.00551,0.01258
2019,4th Quintile,Urban regions,Bisexual,0.00665,32,2759,0.00362,0.00969
2019,4th Quintile,Urban regions,No answer/ Do not wish to respond,0.04610,106,2759,0.03827,0.05392
2019,4th Quintile,Rural regions,Heterosexual,0.94432,1425,1482,0.93264,0.95600
2019,4th Quintile,Rural regions,No answer/ Do not wish to respond,0.04782,57,1482,0.03695,0.05868
2019,5th Quintile,Urban regions,Heterosexual,0.94879,3326,3505,0.94149,0.95609
2019,5th Quintile,Urban regions,Homosexual,0.00805,47,3505,0.00509,0.01101
2019,5th Quintile,Urban regions,Bisexual,0.00432,33,3505,0.00215,0.00649
2019,5th Quintile,Urban regions,No answer/ Do not wish to respond,0.03884,99,3505,0.03244,0.04524
2019,5th Quintile,Rural regions,Heterosexual,0.97075,1257,1257,0.96143,0.98007
