year,pgisced97,quintil_oecd,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,No answer / don't know,1st Quintile,Heterosexual,0.92247,209,209,0.88612,0.95881
2016,No answer / don't know,2nd Quintile,Heterosexual,0.95296,105,105,0.91227,0.99365
2016,No answer / don't know,3rd Quintile,Heterosexual,0.89498,72,72,0.82366,0.96629
2016,No answer / don't know,4th Quintile,Heterosexual,0.88407,69,69,0.80798,0.96016
2016,No answer / don't know,5th Quintile,Heterosexual,0.97432,44,44,0.92704,1.02160
2016,Pre-primary Level,1st Quintile,Heterosexual,0.97789,84,84,0.94626,1.00953
2016,Pre-primary Level,2nd Quintile,Heterosexual,0.88536,70,70,0.81019,0.96054
2016,Pre-primary Level,3rd Quintile,Heterosexual,0.98229,52,52,0.94609,1.01849
2016,Pre-primary Level,4th Quintile,Heterosexual,0.87618,43,43,0.77657,0.97580
2016,Pre-primary Level,5th Quintile,Heterosexual,0.93377,45,45,0.86029,1.00725
2016,Primary Level,1st Quintile,Heterosexual,0.90121,219,219,0.86160,0.94082
2016,Primary Level,2nd Quintile,Heterosexual,0.99760,74,74,0.98638,1.00882
2016,Primary Level,3rd Quintile,Heterosexual,0.96068,35,35,0.89535,1.02601
2016,Lower Secondary Level,1st Quintile,Heterosexual,0.89421,866,924,0.87437,0.91406
2016,Lower Secondary Level,1st Quintile,No answer/ Do not wish to respond,0.07467,58,924,0.05771,0.09163
2016,Lower Secondary Level,2nd Quintile,Heterosexual,0.84434,547,602,0.81535,0.87332
2016,Lower Secondary Level,2nd Quintile,No answer/ Do not wish to respond,0.13982,55,602,0.11209,0.16755
2016,Lower Secondary Level,3rd Quintile,Heterosexual,0.91755,362,362,0.88918,0.94592
2016,Lower Secondary Level,4th Quintile,Heterosexual,0.87573,199,199,0.82978,0.92168
2016,Lower Secondary Level,5th Quintile,Heterosexual,0.93061,115,115,0.88396,0.97725
2016,Upper Secondary Level,1st Quintile,Heterosexual,0.91623,1963,2072,0.90430,0.92816
2016,Upper Secondary Level,1st Quintile,No answer/ Do not wish to respond,0.07054,109,2072,0.05951,0.08157
2016,Upper Secondary Level,2nd Quintile,Heterosexual,0.90306,2253,2395,0.89120,0.91491
2016,Upper Secondary Level,2nd Quintile,No answer/ Do not wish to respond,0.08409,142,2395,0.07297,0.09520
2016,Upper Secondary Level,3rd Quintile,Heterosexual,0.92325,1993,2113,0.91189,0.93460
2016,Upper Secondary Level,3rd Quintile,No answer/ Do not wish to respond,0.06719,120,2113,0.05651,0.07787
2016,Upper Secondary Level,4th Quintile,Heterosexual,0.91549,1743,1848,0.90281,0.92818
2016,Upper Secondary Level,4th Quintile,No answer/ Do not wish to respond,0.06331,105,1848,0.05221,0.07442
2016,Upper Secondary Level,5th Quintile,Heterosexual,0.94832,1276,1323,0.93639,0.96026
2016,Upper Secondary Level,5th Quintile,No answer/ Do not wish to respond,0.03632,47,1323,0.02624,0.04641
2016,Post-secondary Non-tertiary Level,1st Quintile,Heterosexual,0.93759,327,327,0.91133,0.96385
2016,Post-secondary Non-tertiary Level,2nd Quintile,Heterosexual,0.92907,410,410,0.90419,0.95395
2016,Post-secondary Non-tertiary Level,3rd Quintile,Heterosexual,0.92468,383,383,0.89822,0.95115
2016,Post-secondary Non-tertiary Level,4th Quintile,Heterosexual,0.93064,393,393,0.90549,0.95580
2016,Post-secondary Non-tertiary Level,5th Quintile,Heterosexual,0.95189,322,322,0.92848,0.97530
2016,First Stage of Tertiary Education,1st Quintile,Heterosexual,0.85575,85,85,0.78062,0.93089
2016,First Stage of Tertiary Education,2nd Quintile,Heterosexual,0.92575,218,218,0.89087,0.96064
2016,First Stage of Tertiary Education,3rd Quintile,Heterosexual,0.94768,258,258,0.92045,0.97490
2016,First Stage of Tertiary Education,4th Quintile,Heterosexual,0.93033,302,302,0.90157,0.95909
2016,First Stage of Tertiary Education,5th Quintile,Heterosexual,0.92715,341,341,0.89952,0.95477
2016,Second Stage of Tertiary Education,1st Quintile,Heterosexual,0.91849,476,476,0.89388,0.94309
2016,Second Stage of Tertiary Education,2nd Quintile,Heterosexual,0.92619,581,581,0.90491,0.94747
2016,Second Stage of Tertiary Education,3rd Quintile,Heterosexual,0.93621,811,811,0.91938,0.95304
2016,Second Stage of Tertiary Education,4th Quintile,Heterosexual,0.94775,1253,1292,0.93561,0.95989
2016,Second Stage of Tertiary Education,4th Quintile,No answer/ Do not wish to respond,0.03007,39,1292,0.02076,0.03939
2016,Second Stage of Tertiary Education,5th Quintile,Heterosexual,0.94659,2188,2259,0.93731,0.95586
2016,Second Stage of Tertiary Education,5th Quintile,No answer/ Do not wish to respond,0.03762,71,2259,0.02977,0.04547
2019,No answer / don't know,1st Quintile,Heterosexual,0.91425,190,190,0.87433,0.95417
2019,No answer / don't know,2nd Quintile,Heterosexual,0.89984,107,107,0.84269,0.95699
2019,No answer / don't know,3rd Quintile,Heterosexual,0.95872,71,71,0.91211,1.00532
2019,No answer / don't know,4th Quintile,Heterosexual,0.97451,56,56,0.93287,1.01616
2019,Pre-primary Level,1st Quintile,Heterosexual,0.86410,78,78,0.78756,0.94065
