year,sex,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,male,Heterosexual,0.71000,9605,10157,0.70117,0.71882
2016,male,Homosexual,0.00863,78,10157,0.00683,0.01043
2016,male,Bisexual,0.00209,35,10157,0.00121,0.00298
2016,male,No answer/ Do not wish to respond,0.03782,439,10157,0.03411,0.04153
2016,female,Heterosexual,0.69366,11204,11998,0.68541,0.70190
2016,female,Homosexual,0.00897,79,11998,0.00728,0.01066
2016,female,Bisexual,0.00653,95,11998,0.00509,0.00797
2016,female,No answer/ Do not wish to respond,0.05290,620,11998,0.04889,0.05691
2019,male,Heterosexual,0.75463,11271,12244,0.74701,0.76225
2019,male,Homosexual,0.01383,294,12244,0.01177,0.01590
2019,male,Bisexual,0.00773,150,12244,0.00618,0.00928
2019,male,No answer/ Do not wish to respond,0.04302,529,12244,0.03942,0.04661
2019,female,Heterosexual,0.76036,12256,13390,0.75313,0.76759
2019,female,Homosexual,0.00625,154,13390,0.00491,0.00758
2019,female,Bisexual,0.01396,336,13390,0.01197,0.01594
2019,female,No answer/ Do not wish to respond,0.05328,644,13390,0.04948,0.05708
