year,age_gr,pgisced97,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,17-29 y.,Pre-primary Level,Heterosexual,0.40346,294,294,0.34728,0.45963
2016,17-29 y.,Primary Level,Heterosexual,0.69182,66,66,0.57956,0.80407
2016,17-29 y.,Lower Secondary Level,Heterosexual,0.74070,650,650,0.70698,0.77441
2016,17-29 y.,Upper Secondary Level,Heterosexual,0.86235,1289,1334,0.84386,0.88085
2016,17-29 y.,Upper Secondary Level,No answer/ Do not wish to respond,0.03236,45,1334,0.02286,0.04186
2016,17-29 y.,Post-secondary Non-tertiary Level,Heterosexual,0.86149,243,243,0.81796,0.90501
2016,17-29 y.,First Stage of Tertiary Education,Heterosexual,0.90401,44,44,0.81597,0.99206
2016,17-29 y.,Second Stage of Tertiary Education,Heterosexual,0.91584,364,364,0.88728,0.94440
2016,30-45 y.,Primary Level,Heterosexual,0.84939,148,148,0.79157,0.90721
2016,30-45 y.,Lower Secondary Level,Heterosexual,0.78528,523,554,0.75106,0.81951
2016,30-45 y.,Lower Secondary Level,No answer/ Do not wish to respond,0.05201,31,554,0.03350,0.07051
2016,30-45 y.,Upper Secondary Level,Heterosexual,0.86567,2616,2697,0.85280,0.87854
2016,30-45 y.,Upper Secondary Level,No answer/ Do not wish to respond,0.03521,81,2697,0.02825,0.04216
2016,30-45 y.,Post-secondary Non-tertiary Level,Heterosexual,0.94261,847,847,0.92694,0.95829
2016,30-45 y.,First Stage of Tertiary Education,Heterosexual,0.86847,306,306,0.83054,0.90640
2016,30-45 y.,Second Stage of Tertiary Education,Heterosexual,0.92178,1883,1916,0.90976,0.93381
2016,30-45 y.,Second Stage of Tertiary Education,No answer/ Do not wish to respond,0.02039,33,1916,0.01406,0.02671
2016,46-65 y.,Primary Level,Heterosexual,0.76757,106,106,0.68677,0.84836
2016,46-65 y.,Lower Secondary Level,Heterosexual,0.77925,473,510,0.74322,0.81528
2016,46-65 y.,Lower Secondary Level,No answer/ Do not wish to respond,0.07300,37,510,0.05040,0.09559
2016,46-65 y.,Upper Secondary Level,Heterosexual,0.82741,3475,3686,0.81521,0.83961
2016,46-65 y.,Upper Secondary Level,No answer/ Do not wish to respond,0.05788,211,3686,0.05034,0.06542
2016,46-65 y.,Post-secondary Non-tertiary Level,Heterosexual,0.88581,644,676,0.86182,0.90980
2016,46-65 y.,Post-secondary Non-tertiary Level,No answer/ Do not wish to respond,0.04640,32,676,0.03053,0.06226
2016,46-65 y.,First Stage of Tertiary Education,Heterosexual,0.86826,601,601,0.84120,0.89532
2016,46-65 y.,Second Stage of Tertiary Education,Heterosexual,0.86406,2051,2131,0.84950,0.87861
2016,46-65 y.,Second Stage of Tertiary Education,No answer/ Do not wish to respond,0.04930,80,2131,0.04011,0.05850
2016,66 and older,Lower Secondary Level,Heterosexual,0.69515,443,508,0.65508,0.73522
2016,66 and older,Lower Secondary Level,No answer/ Do not wish to respond,0.13864,65,508,0.10856,0.16872
2016,66 and older,Upper Secondary Level,Heterosexual,0.74842,1849,2035,0.72956,0.76728
2016,66 and older,Upper Secondary Level,No answer/ Do not wish to respond,0.09117,186,2035,0.07866,0.10368
2016,66 and older,Post-secondary Non-tertiary Level,Heterosexual,0.73731,102,102,0.65148,0.82314
2016,66 and older,First Stage of Tertiary Education,Heterosexual,0.76146,253,253,0.70884,0.81408
2016,66 and older,Second Stage of Tertiary Education,Heterosexual,0.84997,1012,1066,0.82852,0.87142
2016,66 and older,Second Stage of Tertiary Education,No answer/ Do not wish to respond,0.04730,54,1066,0.03455,0.06005
2019,17-29 y.,Pre-primary Level,Heterosexual,0.54241,289,289,0.48488,0.59995
2019,17-29 y.,Primary Level,Heterosexual,0.57411,65,65,0.45297,0.69526
2019,17-29 y.,Lower Secondary Level,Heterosexual,0.73754,618,686,0.70459,0.77049
2019,17-29 y.,Lower Secondary Level,Bisexual,0.02644,32,686,0.01443,0.03846
2019,17-29 y.,Lower Secondary Level,No answer/ Do not wish to respond,0.06736,36,686,0.04859,0.08613
2019,17-29 y.,Upper Secondary Level,Heterosexual,0.89780,1369,1545,0.88269,0.91291
2019,17-29 y.,Upper Secondary Level,Homosexual,0.01548,33,1545,0.00933,0.02164
2019,17-29 y.,Upper Secondary Level,Bisexual,0.04150,94,1545,0.03155,0.05145
2019,17-29 y.,Upper Secondary Level,No answer/ Do not wish to respond,0.02827,49,1545,0.02000,0.03654
2019,17-29 y.,Post-secondary Non-tertiary Level,Heterosexual,0.90002,254,254,0.86306,0.93699
2019,17-29 y.,First Stage of Tertiary Education,Heterosexual,0.89562,53,53,0.81251,0.97872
2019,17-29 y.,Second Stage of Tertiary Education,Heterosexual,0.88758,404,404,0.85674,0.91842
2019,30-45 y.,Primary Level,Heterosexual,0.74463,128,128,0.66878,0.82047
2019,30-45 y.,Lower Secondary Level,Heterosexual,0.86584,467,467,0.83489,0.89678
2019,30-45 y.,Upper Secondary Level,Heterosexual,0.91323,2188,2370,0.90190,0.92457
2019,30-45 y.,Upper Secondary Level,Homosexual,0.01179,33,2370,0.00744,0.01614
2019,30-45 y.,Upper Secondary Level,Bisexual,0.02466,64,2370,0.01842,0.03091
