year,quintil_oecd,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,Heterosexual,0.91160,4229,4516,0.90332,0.91988
2016,1st Quintile,Bisexual,0.00897,40,4516,0.00622,0.01172
2016,1st Quintile,No answer/ Do not wish to respond,0.06806,247,4516,0.06072,0.07541
2016,2nd Quintile,Heterosexual,0.90257,4258,4517,0.89393,0.91122
2016,2nd Quintile,No answer/ Do not wish to respond,0.07996,259,4517,0.07205,0.08787
2016,3rd Quintile,Heterosexual,0.92654,3966,4168,0.91862,0.93446
2016,3rd Quintile,No answer/ Do not wish to respond,0.05949,202,4168,0.05231,0.06667
2016,4th Quintile,Heterosexual,0.92436,4015,4247,0.91640,0.93231
2016,4th Quintile,Homosexual,0.01489,34,4247,0.01124,0.01853
2016,4th Quintile,No answer/ Do not wish to respond,0.05656,198,4247,0.04961,0.06351
2016,5th Quintile,Heterosexual,0.94509,4337,4535,0.93846,0.95172
2016,5th Quintile,Homosexual,0.01217,47,4535,0.00898,0.01536
2016,5th Quintile,No answer/ Do not wish to respond,0.03895,151,4535,0.03331,0.04458
2019,1st Quintile,Heterosexual,0.89511,3993,4439,0.88610,0.90413
2019,1st Quintile,Homosexual,0.00706,34,4439,0.00460,0.00952
2019,1st Quintile,Bisexual,0.01490,101,4439,0.01133,0.01846
2019,1st Quintile,No answer/ Do not wish to respond,0.08293,311,4439,0.07482,0.09105
2019,2nd Quintile,Heterosexual,0.90520,4359,4757,0.89687,0.91352
2019,2nd Quintile,Homosexual,0.00661,40,4757,0.00430,0.00891
2019,2nd Quintile,Bisexual,0.00753,66,4757,0.00507,0.00999
2019,2nd Quintile,No answer/ Do not wish to respond,0.08067,292,4757,0.07293,0.08841
2019,3rd Quintile,Heterosexual,0.93247,4134,4384,0.92504,0.93990
2019,3rd Quintile,Bisexual,0.00724,46,4384,0.00473,0.00974
2019,3rd Quintile,No answer/ Do not wish to respond,0.05650,204,4384,0.04966,0.06333
2019,4th Quintile,Heterosexual,0.94023,4014,4258,0.93311,0.94735
2019,4th Quintile,Homosexual,0.00733,39,4258,0.00477,0.00989
2019,4th Quintile,Bisexual,0.00577,42,4258,0.00350,0.00805
2019,4th Quintile,No answer/ Do not wish to respond,0.04667,163,4258,0.04033,0.05300
2019,5th Quintile,Heterosexual,0.95399,4583,4807,0.94807,0.95992
2019,5th Quintile,Homosexual,0.00791,61,4807,0.00541,0.01042
2019,5th Quintile,Bisexual,0.00337,35,4807,0.00173,0.00500
2019,5th Quintile,No answer/ Do not wish to respond,0.03473,128,4807,0.02955,0.03990
