year,bula_h,migback,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,No migration background,Heterosexual,0.96591,576,576,0.95107,0.98074
2016,Schleswig-Holstein,Direct migration background,Heterosexual,0.84273,109,109,0.77407,0.91139
2016,Hamburg,No migration background,Heterosexual,0.89717,254,254,0.85974,0.93460
2016,Hamburg,Direct migration background,Heterosexual,0.96082,104,104,0.92335,0.99829
2016,Hamburg,Indirect migration background,Heterosexual,0.94443,31,31,0.86246,1.02641
2016,Lower Saxony,No migration background,Heterosexual,0.93177,1557,1619,0.91948,0.94406
2016,Lower Saxony,No migration background,No answer/ Do not wish to respond,0.05140,62,1619,0.04064,0.06216
2016,Lower Saxony,Direct migration background,Heterosexual,0.95953,469,469,0.94168,0.97738
2016,Lower Saxony,Indirect migration background,Heterosexual,0.96350,89,89,0.92432,1.00268
2016,Bremen,No migration background,Heterosexual,0.95037,101,101,0.90781,0.99294
2016,Bremen,Direct migration background,Heterosexual,0.97935,58,58,0.94243,1.01627
2016,North Rhine-Westphalia,No migration background,Heterosexual,0.93210,2848,2977,0.92306,0.94114
2016,North Rhine-Westphalia,No migration background,Homosexual,0.01988,31,2977,0.01486,0.02489
2016,North Rhine-Westphalia,No migration background,No answer/ Do not wish to respond,0.04357,98,2977,0.03624,0.05091
2016,North Rhine-Westphalia,Direct migration background,Heterosexual,0.93918,1140,1182,0.92555,0.95282
2016,North Rhine-Westphalia,Direct migration background,No answer/ Do not wish to respond,0.05808,42,1182,0.04474,0.07142
2016,North Rhine-Westphalia,Indirect migration background,Heterosexual,0.94657,362,362,0.92337,0.96977
2016,Hesse,No migration background,Heterosexual,0.90425,928,988,0.88589,0.92260
2016,Hesse,No migration background,No answer/ Do not wish to respond,0.07519,60,988,0.05874,0.09164
2016,Hesse,Direct migration background,Heterosexual,0.94341,365,365,0.91967,0.96715
2016,Hesse,Indirect migration background,Heterosexual,0.94941,104,104,0.90708,0.99173
2016,"Rhineland-Palatinate, Saarland",No migration background,Heterosexual,0.90309,781,835,0.88301,0.92317
2016,"Rhineland-Palatinate, Saarland",No migration background,No answer/ Do not wish to respond,0.07950,54,835,0.06114,0.09786
2016,"Rhineland-Palatinate, Saarland",Direct migration background,Heterosexual,0.91664,299,352,0.88772,0.94556
2016,"Rhineland-Palatinate, Saarland",Direct migration background,No answer/ Do not wish to respond,0.08280,53,352,0.05397,0.11163
2016,"Rhineland-Palatinate, Saarland",Indirect migration background,Heterosexual,0.92261,89,89,0.86678,0.97844
2016,Baden-Wuerttemberg,No migration background,Heterosexual,0.91241,1696,1785,0.89929,0.92552
2016,Baden-Wuerttemberg,No migration background,No answer/ Do not wish to respond,0.07347,89,1785,0.06136,0.08557
2016,Baden-Wuerttemberg,Direct migration background,Heterosexual,0.92987,663,663,0.91042,0.94932
2016,Baden-Wuerttemberg,Indirect migration background,Heterosexual,0.96053,236,236,0.93564,0.98543
2016,Bavaria,No migration background,Heterosexual,0.92143,2312,2455,0.91079,0.93208
2016,Bavaria,No migration background,No answer/ Do not wish to respond,0.06771,143,2455,0.05777,0.07766
2016,Bavaria,Direct migration background,Heterosexual,0.88256,706,758,0.85963,0.90549
2016,Bavaria,Direct migration background,No answer/ Do not wish to respond,0.11205,52,758,0.08958,0.13453
2016,Bavaria,Indirect migration background,Heterosexual,0.87812,189,189,0.83136,0.92489
2016,Berlin,No migration background,Heterosexual,0.91454,610,610,0.89234,0.93674
2016,Berlin,Direct migration background,Heterosexual,0.89198,149,149,0.84197,0.94199
2016,Berlin,Indirect migration background,Heterosexual,0.83828,40,40,0.72272,0.95384
2016,Brandenburg,No migration background,Heterosexual,0.87410,692,743,0.85023,0.89797
2016,Brandenburg,No migration background,No answer/ Do not wish to respond,0.12296,51,743,0.09933,0.14659
2016,Brandenburg,Direct migration background,Heterosexual,0.98031,86,86,0.95078,1.00985
2016,Mecklenburg-Western Pomerania,No migration background,Heterosexual,0.95882,406,406,0.93947,0.97818
2016,Saxony,No migration background,Heterosexual,0.92612,1134,1205,0.91135,0.94090
2016,Saxony,No migration background,No answer/ Do not wish to respond,0.06126,71,1205,0.04771,0.07480
2016,Saxony,Direct migration background,Heterosexual,0.94270,67,67,0.88662,0.99877
2016,Saxony-Anhalt,No migration background,Heterosexual,0.92359,651,701,0.90391,0.94327
2016,Saxony-Anhalt,No migration background,No answer/ Do not wish to respond,0.07030,50,701,0.05136,0.08924
2016,Thuringa,No migration background,Heterosexual,0.90656,656,688,0.88480,0.92832
2016,Thuringa,No migration background,No answer/ Do not wish to respond,0.06124,32,688,0.04331,0.07917
2016,Thuringa,Direct migration background,Heterosexual,0.98370,65,65,0.95268,1.01472
2019,Schleswig-Holstein,No migration background,Heterosexual,0.91882,714,748,0.89924,0.93841
2019,Schleswig-Holstein,No migration background,No answer/ Do not wish to respond,0.05537,34,748,0.03897,0.07177
2019,Schleswig-Holstein,Direct migration background,Heterosexual,0.75444,113,113,0.67473,0.83416
