year,migback,sex,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,No migration background,male,Heterosexual,0.93673,7066,7435,0.93120,0.94227
2016,No migration background,male,Homosexual,0.01181,62,7435,0.00935,0.01427
2016,No migration background,male,No answer/ Do not wish to respond,0.04853,307,7435,0.04364,0.05341
2016,No migration background,female,Heterosexual,0.90697,8136,8738,0.90087,0.91306
2016,No migration background,female,Homosexual,0.01328,70,8738,0.01088,0.01568
2016,No migration background,female,Bisexual,0.00892,77,8738,0.00695,0.01089
2016,No migration background,female,No answer/ Do not wish to respond,0.07084,455,8738,0.06546,0.07622
2016,Direct migration background,male,Heterosexual,0.93506,1941,2040,0.92437,0.94576
2016,Direct migration background,male,No answer/ Do not wish to respond,0.05406,99,2040,0.04425,0.06388
2016,Direct migration background,female,Heterosexual,0.91953,2406,2534,0.90894,0.93013
2016,Direct migration background,female,No answer/ Do not wish to respond,0.07121,128,2534,0.06119,0.08122
2016,Indirect migration background,male,Heterosexual,0.92834,598,631,0.90820,0.94848
2016,Indirect migration background,male,No answer/ Do not wish to respond,0.05745,33,631,0.03928,0.07562
2016,Indirect migration background,female,Heterosexual,0.93405,662,699,0.91563,0.95246
2016,Indirect migration background,female,No answer/ Do not wish to respond,0.04151,37,699,0.02671,0.05630
2019,No migration background,male,Heterosexual,0.92245,8933,9699,0.91712,0.92777
2019,No migration background,male,Homosexual,0.01910,256,9699,0.01637,0.02182
2019,No migration background,male,Bisexual,0.00889,117,9699,0.00702,0.01076
2019,No migration background,male,No answer/ Do not wish to respond,0.04957,393,9699,0.04525,0.05389
2019,No migration background,female,Heterosexual,0.90739,9455,10344,0.90180,0.91297
2019,No migration background,female,Homosexual,0.00815,131,10344,0.00642,0.00988
2019,No migration background,female,Bisexual,0.01851,277,10344,0.01591,0.02110
2019,No migration background,female,No answer/ Do not wish to respond,0.06596,481,10344,0.06117,0.07074
2019,Direct migration background,male,Heterosexual,0.91291,1658,1770,0.89977,0.92605
2019,Direct migration background,male,No answer/ Do not wish to respond,0.07193,112,1770,0.05989,0.08397
2019,Direct migration background,female,Heterosexual,0.92910,2055,2185,0.91834,0.93986
2019,Direct migration background,female,No answer/ Do not wish to respond,0.06213,130,2185,0.05201,0.07225
2019,Indirect migration background,male,Heterosexual,0.92454,680,680,0.90467,0.94441
2019,Indirect migration background,female,Heterosexual,0.92640,746,811,0.90842,0.94439
2019,Indirect migration background,female,Bisexual,0.02364,32,811,0.01318,0.03410
2019,Indirect migration background,female,No answer/ Do not wish to respond,0.04031,33,811,0.02677,0.05386
