year,bula_h,sex,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,male,Heterosexual,0.75253,336,336,0.70632,0.79874
2016,Schleswig-Holstein,female,Heterosexual,0.69606,379,379,0.64970,0.74243
2016,Hamburg,male,Heterosexual,0.75648,175,175,0.69271,0.82026
2016,Hamburg,female,Heterosexual,0.68224,214,214,0.61971,0.74477
2016,Lower Saxony,male,Heterosexual,0.71669,982,1021,0.68903,0.74434
2016,Lower Saxony,male,No answer/ Do not wish to respond,0.04395,39,1021,0.03137,0.05653
2016,Lower Saxony,female,Heterosexual,0.70662,1133,1168,0.68050,0.73274
2016,Lower Saxony,female,No answer/ Do not wish to respond,0.03041,35,1168,0.02056,0.04026
2016,Bremen,male,Heterosexual,0.75551,76,76,0.65824,0.85278
2016,Bremen,female,Heterosexual,0.71847,88,88,0.62396,0.81298
2016,North Rhine-Westphalia,male,Heterosexual,0.71282,2005,2072,0.69333,0.73230
2016,North Rhine-Westphalia,male,No answer/ Do not wish to respond,0.02715,67,2072,0.02015,0.03415
2016,North Rhine-Westphalia,female,Heterosexual,0.70140,2345,2434,0.68321,0.71958
2016,North Rhine-Westphalia,female,No answer/ Do not wish to respond,0.04264,89,2434,0.03461,0.05067
2016,Hesse,male,Heterosexual,0.72784,658,658,0.69381,0.76188
2016,Hesse,female,Heterosexual,0.65973,739,798,0.62684,0.69263
2016,Hesse,female,No answer/ Do not wish to respond,0.06675,59,798,0.04942,0.08408
2016,"Rhineland-Palatinate, Saarland",male,Heterosexual,0.66606,541,597,0.62820,0.70392
2016,"Rhineland-Palatinate, Saarland",male,No answer/ Do not wish to respond,0.04295,56,597,0.02667,0.05923
2016,"Rhineland-Palatinate, Saarland",female,Heterosexual,0.65328,628,686,0.61764,0.68892
2016,"Rhineland-Palatinate, Saarland",female,No answer/ Do not wish to respond,0.06522,58,686,0.04673,0.08371
2016,Baden-Wuerttemberg,male,Heterosexual,0.74215,1192,1233,0.71772,0.76658
2016,Baden-Wuerttemberg,male,No answer/ Do not wish to respond,0.03556,41,1233,0.02522,0.04590
2016,Baden-Wuerttemberg,female,Heterosexual,0.71784,1403,1479,0.69489,0.74078
2016,Baden-Wuerttemberg,female,No answer/ Do not wish to respond,0.06997,76,1479,0.05696,0.08297
2016,Bavaria,male,Heterosexual,0.67468,1483,1569,0.65149,0.69787
2016,Bavaria,male,No answer/ Do not wish to respond,0.05427,86,1569,0.04305,0.06548
