year,age_gr,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,17-29 y.,Heterosexual,0.93834,3343,3562,0.93044,0.94624
2016,17-29 y.,Homosexual,0.01413,36,3562,0.01026,0.01801
2016,17-29 y.,Bisexual,0.01631,61,3562,0.01215,0.02047
2016,17-29 y.,No answer/ Do not wish to respond,0.03121,122,3562,0.02550,0.03693
2016,30-45 y.,Heterosexual,0.94597,6375,6647,0.94054,0.95141
2016,30-45 y.,Homosexual,0.01675,55,6647,0.01366,0.01983
2016,30-45 y.,Bisexual,0.00591,33,6647,0.00407,0.00776
2016,30-45 y.,No answer/ Do not wish to respond,0.03137,184,6647,0.02718,0.03556
2016,46-65 y.,Heterosexual,0.92454,7389,7839,0.91869,0.93038
2016,46-65 y.,Homosexual,0.01168,53,7839,0.00930,0.01406
2016,46-65 y.,No answer/ Do not wish to respond,0.06092,397,7839,0.05563,0.06622
2016,66 and older,Heterosexual,0.88460,3702,4058,0.87477,0.89444
2016,66 and older,No answer/ Do not wish to respond,0.10908,356,4058,0.09949,0.11868
2019,17-29 y.,Heterosexual,0.91090,3399,3827,0.90188,0.91993
2019,17-29 y.,Homosexual,0.01851,87,3827,0.01424,0.02278
2019,17-29 y.,Bisexual,0.03360,183,3827,0.02789,0.03930
2019,17-29 y.,No answer/ Do not wish to respond,0.03699,158,3827,0.03101,0.04297
2019,30-45 y.,Heterosexual,0.93251,5796,6279,0.92630,0.93871
2019,30-45 y.,Homosexual,0.01625,141,6279,0.01313,0.01938
2019,30-45 y.,Bisexual,0.01899,152,6279,0.01561,0.02236
2019,30-45 y.,No answer/ Do not wish to respond,0.03225,190,6279,0.02788,0.03662
2019,46-65 y.,Heterosexual,0.93323,9689,10387,0.92843,0.93804
2019,46-65 y.,Homosexual,0.01146,182,10387,0.00941,0.01351
2019,46-65 y.,Bisexual,0.00646,114,10387,0.00492,0.00800
2019,46-65 y.,No answer/ Do not wish to respond,0.04885,402,10387,0.04470,0.05299
2019,66 and older,Heterosexual,0.87911,4643,5145,0.87020,0.88802
2019,66 and older,Homosexual,0.00505,39,5145,0.00311,0.00698
2019,66 and older,Bisexual,0.00465,39,5145,0.00279,0.00651
2019,66 and older,No answer/ Do not wish to respond,0.11119,424,5145,0.10260,0.11979
