year,age_gr,bula_h,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,17-29 y.,Schleswig-Holstein,Heterosexual,0.86067,114,114,0.79682,0.92452
2016,17-29 y.,Hamburg,Heterosexual,0.78724,59,59,0.68191,0.89257
2016,17-29 y.,Lower Saxony,Heterosexual,0.82191,393,393,0.78403,0.85978
2016,17-29 y.,Bremen,Heterosexual,0.83900,35,35,0.71545,0.96254
2016,17-29 y.,North Rhine-Westphalia,Heterosexual,0.75711,742,742,0.72623,0.78798
2016,17-29 y.,Hesse,Heterosexual,0.76506,221,221,0.70904,0.82108
2016,17-29 y.,"Rhineland-Palatinate, Saarland",Heterosexual,0.72310,189,189,0.65913,0.78706
2016,17-29 y.,Baden-Wuerttemberg,Heterosexual,0.84182,422,422,0.80696,0.87668
2016,17-29 y.,Bavaria,Heterosexual,0.78280,526,526,0.74753,0.81807
2016,17-29 y.,Berlin,Heterosexual,0.89299,125,125,0.83858,0.94740
2016,17-29 y.,Brandenburg,Heterosexual,0.75099,95,95,0.66356,0.83841
2016,17-29 y.,Mecklenburg-Western Pomerania,Heterosexual,0.85102,57,57,0.75776,0.94428
2016,17-29 y.,Saxony,Heterosexual,0.88420,172,172,0.83624,0.93216
2016,17-29 y.,Saxony-Anhalt,Heterosexual,0.78577,100,100,0.70495,0.86659
2016,17-29 y.,Thuringa,Heterosexual,0.80421,93,93,0.72313,0.88530
2016,30-45 y.,Schleswig-Holstein,Heterosexual,0.90813,242,242,0.87167,0.94460
2016,30-45 y.,Hamburg,Heterosexual,0.94751,128,128,0.90873,0.98630
2016,30-45 y.,Lower Saxony,Heterosexual,0.89154,600,600,0.86664,0.91644
2016,30-45 y.,Bremen,Heterosexual,0.94460,55,55,0.88359,1.00562
2016,30-45 y.,North Rhine-Westphalia,Heterosexual,0.89540,1372,1372,0.87920,0.91160
2016,30-45 y.,Hesse,Heterosexual,0.92363,427,427,0.89841,0.94885
2016,30-45 y.,"Rhineland-Palatinate, Saarland",Heterosexual,0.83148,325,325,0.79072,0.87224
2016,30-45 y.,Baden-Wuerttemberg,Heterosexual,0.91534,882,882,0.89696,0.93373
2016,30-45 y.,Bavaria,Heterosexual,0.84799,1005,1047,0.82623,0.86975
2016,30-45 y.,Bavaria,No answer/ Do not wish to respond,0.05454,42,1047,0.04078,0.06830
2016,30-45 y.,Berlin,Heterosexual,0.83797,240,240,0.79125,0.88468
2016,30-45 y.,Brandenburg,Heterosexual,0.83310,195,195,0.78063,0.88558
2016,30-45 y.,Mecklenburg-Western Pomerania,Heterosexual,0.77187,113,113,0.69415,0.84958
2016,30-45 y.,Saxony,Heterosexual,0.90060,357,357,0.86952,0.93168
2016,30-45 y.,Saxony-Anhalt,Heterosexual,0.90303,202,202,0.86212,0.94394
2016,30-45 y.,Thuringa,Heterosexual,0.87731,232,232,0.83500,0.91962
2016,46-65 y.,Schleswig-Holstein,Heterosexual,0.90267,233,233,0.86453,0.94081
2016,46-65 y.,Hamburg,Heterosexual,0.89442,127,127,0.84076,0.94808
2016,46-65 y.,Lower Saxony,Heterosexual,0.84256,741,741,0.81632,0.86880
2016,46-65 y.,Bremen,Heterosexual,0.90728,47,47,0.82347,0.99110
2016,46-65 y.,North Rhine-Westphalia,Heterosexual,0.84342,1532,1583,0.82551,0.86133
2016,46-65 y.,North Rhine-Westphalia,No answer/ Do not wish to respond,0.04374,51,1583,0.03366,0.05382
2016,46-65 y.,Hesse,Heterosexual,0.83803,547,587,0.80820,0.86786
2016,46-65 y.,Hesse,No answer/ Do not wish to respond,0.07928,40,587,0.05740,0.10115
2016,46-65 y.,"Rhineland-Palatinate, Saarland",Heterosexual,0.78469,428,473,0.74761,0.82177
2016,46-65 y.,"Rhineland-Palatinate, Saarland",No answer/ Do not wish to respond,0.05504,45,473,0.03447,0.07562
2016,46-65 y.,Baden-Wuerttemberg,Heterosexual,0.89795,864,900,0.87816,0.91774
2016,46-65 y.,Baden-Wuerttemberg,No answer/ Do not wish to respond,0.05389,36,900,0.03913,0.06865
2016,46-65 y.,Bavaria,Heterosexual,0.82349,1147,1221,0.80210,0.84488
2016,46-65 y.,Bavaria,No answer/ Do not wish to respond,0.05828,74,1221,0.04514,0.07143
2016,46-65 y.,Berlin,Heterosexual,0.81238,260,260,0.76483,0.85992
2016,46-65 y.,Brandenburg,Heterosexual,0.78544,325,325,0.74074,0.83014
2016,46-65 y.,Mecklenburg-Western Pomerania,Heterosexual,0.81936,168,168,0.76101,0.87771
2016,46-65 y.,Saxony,Heterosexual,0.83117,441,475,0.79745,0.86490
2016,46-65 y.,Saxony,No answer/ Do not wish to respond,0.07361,34,475,0.05010,0.09712
2016,46-65 y.,Saxony-Anhalt,Heterosexual,0.78048,259,259,0.72997,0.83099
2016,46-65 y.,Thuringa,Heterosexual,0.79446,270,270,0.74617,0.84275
2016,66 and older,Schleswig-Holstein,Heterosexual,0.74288,126,126,0.66626,0.81949
2016,66 and older,Hamburg,Heterosexual,0.73512,75,75,0.63458,0.83567
2016,66 and older,Lower Saxony,Heterosexual,0.75569,381,414,0.71425,0.79713
2016,66 and older,Lower Saxony,No answer/ Do not wish to respond,0.07452,33,414,0.04919,0.09985
2016,66 and older,North Rhine-Westphalia,Heterosexual,0.80699,704,754,0.77880,0.83517
2016,66 and older,North Rhine-Westphalia,No answer/ Do not wish to respond,0.06310,50,754,0.04574,0.08047
2016,66 and older,Hesse,Heterosexual,0.72339,202,202,0.66155,0.78523
2016,66 and older,"Rhineland-Palatinate, Saarland",Heterosexual,0.73256,227,227,0.67486,0.79027
2016,66 and older,Baden-Wuerttemberg,Heterosexual,0.78162,427,476,0.74446,0.81877
2016,66 and older,Baden-Wuerttemberg,No answer/ Do not wish to respond,0.14240,49,476,0.11097,0.17383
2016,66 and older,Bavaria,Heterosexual,0.71204,529,605,0.67593,0.74815
2016,66 and older,Bavaria,No answer/ Do not wish to respond,0.11538,76,605,0.08990,0.14086
2016,66 and older,Berlin,Heterosexual,0.85984,174,174,0.80811,0.91157
2016,66 and older,Brandenburg,Heterosexual,0.66676,181,181,0.59789,0.73562
2016,66 and older,Mecklenburg-Western Pomerania,Heterosexual,0.76294,96,96,0.67742,0.84846
2016,66 and older,Saxony,Heterosexual,0.74712,257,257,0.69388,0.80037
2016,66 and older,Saxony-Anhalt,Heterosexual,0.80633,157,157,0.74432,0.86834
2016,66 and older,Thuringa,Heterosexual,0.63192,139,139,0.55145,0.71238
2019,17-29 y.,Schleswig-Holstein,Heterosexual,0.73983,121,121,0.66134,0.81833
2019,17-29 y.,Hamburg,Heterosexual,0.79524,62,62,0.69398,0.89651
2019,17-29 y.,Lower Saxony,Heterosexual,0.86278,411,411,0.82947,0.89609
2019,17-29 y.,Bremen,Heterosexual,0.73877,45,45,0.60896,0.86858
2019,17-29 y.,North Rhine-Westphalia,Heterosexual,0.83087,838,917,0.80659,0.85515
2019,17-29 y.,North Rhine-Westphalia,Bisexual,0.01707,43,917,0.00868,0.02546
2019,17-29 y.,North Rhine-Westphalia,No answer/ Do not wish to respond,0.03961,36,917,0.02698,0.05224
2019,17-29 y.,Hesse,Heterosexual,0.81079,245,245,0.76165,0.85994
2019,17-29 y.,"Rhineland-Palatinate, Saarland",Heterosexual,0.80098,201,201,0.74564,0.85631
2019,17-29 y.,Baden-Wuerttemberg,Heterosexual,0.84603,361,361,0.80874,0.88331
2019,17-29 y.,Bavaria,Heterosexual,0.81993,498,498,0.78615,0.85371
2019,17-29 y.,Berlin,Heterosexual,0.80402,101,101,0.72622,0.88182
2019,17-29 y.,Brandenburg,Heterosexual,0.77193,115,115,0.69490,0.84895
2019,17-29 y.,Mecklenburg-Western Pomerania,Heterosexual,0.79757,64,64,0.69835,0.89680
2019,17-29 y.,Saxony,Heterosexual,0.76143,155,155,0.69412,0.82875
2019,17-29 y.,Saxony-Anhalt,Heterosexual,0.73308,94,94,0.64317,0.82298
2019,17-29 y.,Thuringa,Heterosexual,0.80486,88,88,0.72158,0.88814
2019,30-45 y.,Schleswig-Holstein,Heterosexual,0.88552,243,243,0.84541,0.92564
2019,30-45 y.,Hamburg,Heterosexual,0.93724,128,128,0.89506,0.97942
2019,30-45 y.,Lower Saxony,Heterosexual,0.92078,524,524,0.89764,0.94393
2019,30-45 y.,Bremen,Heterosexual,0.91411,38,38,0.82383,1.00440
2019,30-45 y.,North Rhine-Westphalia,Heterosexual,0.92619,1225,1225,0.91154,0.94083
2019,30-45 y.,Hesse,Heterosexual,0.88648,357,357,0.85353,0.91943
2019,30-45 y.,"Rhineland-Palatinate, Saarland",Heterosexual,0.90660,282,282,0.87258,0.94062
2019,30-45 y.,Baden-Wuerttemberg,Heterosexual,0.91606,679,679,0.89519,0.93693
2019,30-45 y.,Bavaria,Heterosexual,0.94450,937,937,0.92984,0.95917
2019,30-45 y.,Berlin,Heterosexual,0.82920,245,277,0.78480,0.87360
2019,30-45 y.,Berlin,Homosexual,0.06106,32,277,0.03281,0.08930
2019,30-45 y.,Brandenburg,Heterosexual,0.93109,209,209,0.89667,0.96551
2019,30-45 y.,Mecklenburg-Western Pomerania,Heterosexual,0.89948,126,126,0.84676,0.95219
