year,quintil_oecd,sex,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,male,Heterosexual,0.63851,1781,1888,0.61683,0.66019
2016,1st Quintile,male,No answer/ Do not wish to respond,0.04387,107,1888,0.03463,0.05311
2016,1st Quintile,female,Heterosexual,0.63449,2448,2588,0.61593,0.65305
2016,1st Quintile,female,No answer/ Do not wish to respond,0.05074,140,2588,0.04228,0.05920
2016,2nd Quintile,male,Heterosexual,0.65783,1885,1984,0.63695,0.67871
2016,2nd Quintile,male,No answer/ Do not wish to respond,0.04720,99,1984,0.03787,0.05654
2016,2nd Quintile,female,Heterosexual,0.66120,2373,2533,0.64277,0.67964
2016,2nd Quintile,female,No answer/ Do not wish to respond,0.06857,160,2533,0.05872,0.07841
2016,3rd Quintile,male,Heterosexual,0.70030,1814,1898,0.67969,0.72092
2016,3rd Quintile,male,No answer/ Do not wish to respond,0.03565,84,1898,0.02731,0.04400
2016,3rd Quintile,female,Heterosexual,0.70354,2152,2270,0.68475,0.72233
2016,3rd Quintile,female,No answer/ Do not wish to respond,0.05377,118,2270,0.04449,0.06305
2016,4th Quintile,male,Heterosexual,0.74930,1949,2035,0.73046,0.76814
2016,4th Quintile,male,No answer/ Do not wish to respond,0.03773,86,2035,0.02945,0.04601
2016,4th Quintile,female,Heterosexual,0.71621,2066,2178,0.69728,0.73515
2016,4th Quintile,female,No answer/ Do not wish to respond,0.05228,112,2178,0.04293,0.06163
2016,5th Quintile,male,Heterosexual,0.81388,2173,2235,0.79774,0.83002
2016,5th Quintile,male,No answer/ Do not wish to respond,0.02776,62,2235,0.02095,0.03457
2016,5th Quintile,female,Heterosexual,0.77793,2164,2253,0.76077,0.79510
2016,5th Quintile,female,No answer/ Do not wish to respond,0.03867,89,2253,0.03071,0.04664
2019,1st Quintile,male,Heterosexual,0.65772,1705,1833,0.63600,0.67945
2019,1st Quintile,male,No answer/ Do not wish to respond,0.05671,128,1833,0.04612,0.06730
2019,1st Quintile,female,Heterosexual,0.69362,2288,2547,0.67571,0.71153
2019,1st Quintile,female,Bisexual,0.01429,76,2547,0.00968,0.01891
2019,1st Quintile,female,No answer/ Do not wish to respond,0.06801,183,2547,0.05823,0.07779
2019,2nd Quintile,male,Heterosexual,0.73010,1948,2075,0.71099,0.74920
2019,2nd Quintile,male,No answer/ Do not wish to respond,0.05773,127,2075,0.04769,0.06777
2019,2nd Quintile,female,Heterosexual,0.73957,2411,2633,0.72280,0.75634
2019,2nd Quintile,female,Bisexual,0.00973,57,2633,0.00598,0.01348
2019,2nd Quintile,female,No answer/ Do not wish to respond,0.07249,165,2633,0.06258,0.08239
2019,3rd Quintile,male,Heterosexual,0.76521,1891,1982,0.74654,0.78387
2019,3rd Quintile,male,No answer/ Do not wish to respond,0.04277,91,1982,0.03386,0.05168
2019,3rd Quintile,female,Heterosexual,0.78911,2243,2390,0.77276,0.80547
2019,3rd Quintile,female,Bisexual,0.00856,34,2390,0.00486,0.01225
2019,3rd Quintile,female,No answer/ Do not wish to respond,0.05114,113,2390,0.04230,0.05997
2019,4th Quintile,male,Heterosexual,0.80434,1906,1983,0.78688,0.82181
2019,4th Quintile,male,No answer/ Do not wish to respond,0.03916,77,1983,0.03062,0.04770
2019,4th Quintile,female,Heterosexual,0.79472,2108,2194,0.77781,0.81162
2019,4th Quintile,female,No answer/ Do not wish to respond,0.04019,86,2194,0.03197,0.04841
2019,5th Quintile,male,Heterosexual,0.86119,2307,2403,0.84736,0.87502
2019,5th Quintile,male,Homosexual,0.00675,32,2403,0.00348,0.01003
2019,5th Quintile,male,No answer/ Do not wish to respond,0.02666,64,2403,0.02022,0.03311
2019,5th Quintile,female,Heterosexual,0.84950,2276,2340,0.83501,0.86399
2019,5th Quintile,female,No answer/ Do not wish to respond,0.03643,64,2340,0.02884,0.04402
