year,age_gr,regtyp,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,17-29 y.,Urban regions,Heterosexual,0.80381,2287,2412,0.78795,0.81966
2016,17-29 y.,Urban regions,Bisexual,0.01266,45,2412,0.00819,0.01712
2016,17-29 y.,Urban regions,No answer/ Do not wish to respond,0.02531,80,2412,0.01904,0.03158
2016,17-29 y.,Rural regions,Heterosexual,0.78415,1056,1098,0.75981,0.80850
2016,17-29 y.,Rural regions,No answer/ Do not wish to respond,0.02968,42,1098,0.01964,0.03972
2016,30-45 y.,Urban regions,Heterosexual,0.89632,4299,4443,0.88736,0.90529
2016,30-45 y.,Urban regions,Homosexual,0.01962,44,4443,0.01554,0.02370
2016,30-45 y.,Urban regions,No answer/ Do not wish to respond,0.02429,100,4443,0.01976,0.02881
2016,30-45 y.,Rural regions,Heterosexual,0.85594,2076,2160,0.84112,0.87075
2016,30-45 y.,Rural regions,No answer/ Do not wish to respond,0.04130,84,2160,0.03291,0.04969
2016,46-65 y.,Urban regions,Heterosexual,0.85211,4775,5039,0.84231,0.86191
2016,46-65 y.,Urban regions,Homosexual,0.01358,44,5039,0.01038,0.01677
2016,46-65 y.,Urban regions,No answer/ Do not wish to respond,0.04956,220,5039,0.04357,0.05556
2016,46-65 y.,Rural regions,Heterosexual,0.81406,2614,2791,0.79963,0.82850
2016,46-65 y.,Rural regions,No answer/ Do not wish to respond,0.06582,177,2791,0.05662,0.07502
2016,66 and older,Urban regions,Heterosexual,0.77624,2364,2581,0.76016,0.79232
2016,66 and older,Urban regions,No answer/ Do not wish to respond,0.08842,217,2581,0.07746,0.09937
2016,66 and older,Rural regions,Heterosexual,0.72415,1338,1477,0.70135,0.74695
2016,66 and older,Rural regions,No answer/ Do not wish to respond,0.10441,139,1477,0.08881,0.12001
2019,17-29 y.,Urban regions,Heterosexual,0.84313,2320,2563,0.82905,0.85721
2019,17-29 y.,Urban regions,Homosexual,0.01003,33,2563,0.00617,0.01389
2019,17-29 y.,Urban regions,Bisexual,0.02053,103,2563,0.01504,0.02602
2019,17-29 y.,Urban regions,No answer/ Do not wish to respond,0.03488,107,2563,0.02778,0.04199
2019,17-29 y.,Rural regions,Heterosexual,0.81351,1054,1140,0.79089,0.83613
2019,17-29 y.,Rural regions,Bisexual,0.01748,35,1140,0.00987,0.02509
2019,17-29 y.,Rural regions,No answer/ Do not wish to respond,0.03217,51,1140,0.02193,0.04242
2019,30-45 y.,Urban regions,Heterosexual,0.93084,3818,4062,0.92304,0.93864
2019,30-45 y.,Urban regions,Homosexual,0.01011,58,4062,0.00703,0.01318
2019,30-45 y.,Urban regions,Bisexual,0.00904,60,4062,0.00613,0.01196
2019,30-45 y.,Urban regions,No answer/ Do not wish to respond,0.03443,126,4062,0.02883,0.04004
2019,30-45 y.,Rural regions,Heterosexual,0.93924,1963,2024,0.92884,0.94965
2019,30-45 y.,Rural regions,No answer/ Do not wish to respond,0.02655,61,2024,0.01954,0.03355
2019,46-65 y.,Urban regions,Heterosexual,0.93484,6165,6513,0.92884,0.94083
2019,46-65 y.,Urban regions,Homosexual,0.00738,66,6513,0.00530,0.00946
2019,46-65 y.,Urban regions,Bisexual,0.00392,50,6513,0.00240,0.00544
2019,46-65 y.,Urban regions,No answer/ Do not wish to respond,0.04545,232,6513,0.04039,0.05050
2019,46-65 y.,Rural regions,Heterosexual,0.93361,3480,3646,0.92553,0.94170
2019,46-65 y.,Rural regions,No answer/ Do not wish to respond,0.05505,166,3646,0.04765,0.06246
2019,66 and older,Urban regions,Heterosexual,0.87261,2926,3175,0.86101,0.88421
2019,66 and older,Urban regions,No answer/ Do not wish to respond,0.11010,249,3175,0.09921,0.12099
2019,66 and older,Rural regions,Heterosexual,0.87105,1675,1850,0.85578,0.88633
2019,66 and older,Rural regions,No answer/ Do not wish to respond,0.11295,175,1850,0.09853,0.12738
