year,migback,sampreg,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,No migration background,West,Heterosexual,0.92255,11379,12107,0.91779,0.92731
2016,No migration background,West,Homosexual,0.01411,112,12107,0.01201,0.01621
2016,No migration background,West,Bisexual,0.00559,72,12107,0.00426,0.00691
2016,No migration background,West,No answer/ Do not wish to respond,0.05775,544,12107,0.05359,0.06190
2016,No migration background,East,Heterosexual,0.91809,3823,4041,0.90964,0.92655
2016,No migration background,East,No answer/ Do not wish to respond,0.06801,218,4041,0.06025,0.07577
2016,Direct migration background,West,Heterosexual,0.92576,4006,4224,0.91785,0.93367
2016,Direct migration background,West,No answer/ Do not wish to respond,0.06504,218,4224,0.05760,0.07248
2016,Direct migration background,East,Heterosexual,0.94879,341,341,0.92536,0.97222
2016,Indirect migration background,West,Heterosexual,0.92804,1167,1233,0.91361,0.94247
2016,Indirect migration background,West,No answer/ Do not wish to respond,0.05192,66,1233,0.03953,0.06431
2016,Indirect migration background,East,Heterosexual,0.98724,93,93,0.96430,1.01017
2019,No migration background,Does not apply,Homosexual,0.40515,31,31,0.22948,0.58083
2019,No migration background,West,Heterosexual,0.91726,13703,14881,0.91283,0.92169
2019,No migration background,West,Homosexual,0.01313,290,14881,0.01130,0.01496
2019,No migration background,West,Bisexual,0.01252,278,14881,0.01073,0.01431
2019,No migration background,West,No answer/ Do not wish to respond,0.05709,610,14881,0.05336,0.06081
2019,No migration background,East,Heterosexual,0.91037,4680,5101,0.90253,0.91821
2019,No migration background,East,Homosexual,0.01242,67,5101,0.00938,0.01546
2019,No migration background,East,Bisexual,0.01575,90,5101,0.01234,0.01917
2019,No migration background,East,No answer/ Do not wish to respond,0.06146,264,5101,0.05487,0.06806
2019,Direct migration background,West,Heterosexual,0.91933,3419,3684,0.91053,0.92812
2019,Direct migration background,West,Bisexual,0.00677,34,3684,0.00412,0.00942
2019,Direct migration background,West,No answer/ Do not wish to respond,0.06925,231,3684,0.06105,0.07745
2019,Direct migration background,East,Heterosexual,0.96889,294,294,0.94901,0.98877
2019,Indirect migration background,West,Heterosexual,0.92742,1324,1417,0.91391,0.94094
2019,Indirect migration background,West,Bisexual,0.01940,42,1417,0.01221,0.02658
2019,Indirect migration background,West,No answer/ Do not wish to respond,0.04274,51,1417,0.03220,0.05327
2019,Indirect migration background,East,Heterosexual,0.92308,102,102,0.87111,0.97505
