year,regtyp,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,Yes,0.02263,262,9358,0.01962,0.02564
2016,Urban regions,No,0.96896,9096,9358,0.96544,0.97247
2016,Rural regions,Yes,0.01385,93,4918,0.01058,0.01712
2016,Rural regions,No,0.97960,4825,4918,0.97564,0.98355
2017,Urban regions,Yes,0.02180,296,10227,0.01897,0.02463
2017,Urban regions,No,0.97013,9931,10227,0.96683,0.97343
2017,Rural regions,Yes,0.01562,117,5425,0.01232,0.01892
2017,Rural regions,No,0.97572,5308,5425,0.97162,0.97981
2018,Urban regions,Yes,0.02282,286,10166,0.01991,0.02572
2018,Urban regions,No,0.96807,9880,10166,0.96466,0.97149
2018,Rural regions,Yes,0.01522,120,5269,0.01191,0.01853
2018,Rural regions,No,0.97809,5149,5269,0.97414,0.98204
2019,Urban regions,Yes,0.02463,336,10300,0.02163,0.02762
2019,Urban regions,No,0.96548,9964,10300,0.96195,0.96900
2019,Rural regions,Yes,0.01213,114,5351,0.00920,0.01506
2019,Rural regions,No,0.97999,5237,5351,0.97624,0.98375
2020,Urban regions,Yes,0.02742,364,10990,0.02436,0.03047
2020,Urban regions,No,0.95834,10626,10990,0.95460,0.96208
2020,Rural regions,Yes,0.01712,116,5285,0.01362,0.02062
2020,Rural regions,No,0.96985,5169,5285,0.96524,0.97446
2021,Urban regions,Yes,0.02687,264,7417,0.02319,0.03055
2021,Urban regions,No,0.95789,7153,7417,0.95332,0.96247
2021,Rural regions,Yes,0.02203,108,3653,0.01727,0.02679
2021,Rural regions,No,0.96965,3545,3653,0.96408,0.97521
2022,Urban regions,Yes,0.02791,458,13111,0.02510,0.03073
2022,Urban regions,No,0.95531,12653,13111,0.95177,0.95885
2022,Rural regions,Yes,0.02096,158,6040,0.01735,0.02457
2022,Rural regions,No,0.96667,5882,6040,0.96214,0.97119
