year,quintil_oecd_hh,regtyp,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,Urban regions,No,0.95494,1958,1958,0.94575,0.96413
2016,1st Quintile,Rural regions,No,0.96796,1099,1099,0.95754,0.97838
2016,2nd Quintile,Urban regions,Yes,0.01640,40,1846,0.01060,0.02220
2016,2nd Quintile,Urban regions,No,0.98049,1806,1846,0.97418,0.98680
2016,2nd Quintile,Rural regions,No,0.98654,1172,1172,0.97994,0.99314
2016,3rd Quintile,Urban regions,Yes,0.02077,54,1724,0.01404,0.02751
2016,3rd Quintile,Urban regions,No,0.97901,1670,1724,0.97224,0.98578
2016,3rd Quintile,Rural regions,No,0.98630,998,998,0.97909,0.99352
2016,4th Quintile,Urban regions,Yes,0.01957,53,1755,0.01309,0.02606
2016,4th Quintile,Urban regions,No,0.97503,1702,1755,0.96773,0.98234
2016,4th Quintile,Rural regions,No,0.98066,874,874,0.97153,0.98980
2016,5th Quintile,Urban regions,Yes,0.04179,92,2048,0.03312,0.05046
2016,5th Quintile,Urban regions,No,0.95749,1956,2048,0.94875,0.96623
2016,5th Quintile,Rural regions,No,0.97467,682,682,0.96287,0.98647
2017,1st Quintile,Urban regions,No,0.95313,1990,1990,0.94384,0.96242
2017,1st Quintile,Rural regions,No,0.95815,1161,1161,0.94662,0.96967
2017,2nd Quintile,Urban regions,Yes,0.01942,42,1971,0.01332,0.02551
2017,2nd Quintile,Urban regions,No,0.97514,1929,1971,0.96827,0.98202
2017,2nd Quintile,Rural regions,No,0.98741,1241,1241,0.98120,0.99361
2017,3rd Quintile,Urban regions,Yes,0.01953,54,1902,0.01331,0.02575
2017,3rd Quintile,Urban regions,No,0.98036,1848,1902,0.97413,0.98660
2017,3rd Quintile,Rural regions,No,0.98847,1163,1163,0.98234,0.99461
2017,4th Quintile,Urban regions,Yes,0.02128,76,2013,0.01498,0.02759
2017,4th Quintile,Urban regions,No,0.97825,1937,2013,0.97187,0.98462
2017,4th Quintile,Rural regions,Yes,0.02926,32,1029,0.01896,0.03957
2017,4th Quintile,Rural regions,No,0.96756,997,1029,0.95673,0.97839
2017,5th Quintile,Urban regions,Yes,0.03174,93,2317,0.02460,0.03888
2017,5th Quintile,Urban regions,No,0.96699,2224,2317,0.95971,0.97427
2017,5th Quintile,Rural regions,No,0.97542,746,746,0.96430,0.98654
2018,1st Quintile,Urban regions,Yes,0.01914,43,2128,0.01332,0.02496
2018,1st Quintile,Urban regions,No,0.94718,2085,2128,0.93768,0.95669
2018,1st Quintile,Rural regions,No,0.96650,1167,1167,0.95617,0.97683
2018,2nd Quintile,Urban regions,Yes,0.01214,38,2028,0.00737,0.01690
2018,2nd Quintile,Urban regions,No,0.98066,1990,2028,0.97467,0.98666
2018,2nd Quintile,Rural regions,No,0.98620,1247,1247,0.97972,0.99268
2018,3rd Quintile,Urban regions,Yes,0.02648,55,1853,0.01917,0.03379
2018,3rd Quintile,Urban regions,No,0.97246,1798,1853,0.96501,0.97992
2018,3rd Quintile,Rural regions,Yes,0.01705,31,1089,0.00936,0.02474
2018,3rd Quintile,Rural regions,No,0.98252,1058,1089,0.97473,0.99031
2018,4th Quintile,Urban regions,Yes,0.02601,61,1916,0.01888,0.03314
2018,4th Quintile,Urban regions,No,0.97354,1855,1916,0.96636,0.98073
2018,4th Quintile,Rural regions,No,0.98152,933,933,0.97287,0.99017
2018,5th Quintile,Urban regions,Yes,0.02942,89,2238,0.02242,0.03642
2018,5th Quintile,Urban regions,No,0.96983,2149,2238,0.96274,0.97692
2018,5th Quintile,Rural regions,Yes,0.02583,31,773,0.01464,0.03703
2018,5th Quintile,Rural regions,No,0.97417,742,773,0.96297,0.98536
2019,1st Quintile,Urban regions,Yes,0.01458,46,1813,0.00906,0.02010
2019,1st Quintile,Urban regions,No,0.94257,1767,1813,0.93186,0.95328
2019,1st Quintile,Rural regions,No,0.95732,1006,1006,0.94482,0.96981
2019,2nd Quintile,Urban regions,Yes,0.02116,50,1777,0.01446,0.02785
2019,2nd Quintile,Urban regions,No,0.97601,1727,1777,0.96890,0.98313
2019,2nd Quintile,Rural regions,No,0.98495,1137,1137,0.97787,0.99203
2019,3rd Quintile,Urban regions,Yes,0.02691,59,1762,0.01936,0.03447
2019,3rd Quintile,Urban regions,No,0.97250,1703,1762,0.96486,0.98014
2019,3rd Quintile,Rural regions,No,0.98553,1012,1012,0.97817,0.99289
2019,4th Quintile,Urban regions,Yes,0.03269,71,1862,0.02461,0.04077
2019,4th Quintile,Urban regions,No,0.96712,1791,1862,0.95902,0.97522
2019,4th Quintile,Rural regions,No,0.98618,962,962,0.97880,0.99356
2019,5th Quintile,Urban regions,Yes,0.02750,110,3084,0.02173,0.03327
2019,5th Quintile,Urban regions,No,0.97067,2974,3084,0.96471,0.97662
2019,5th Quintile,Rural regions,Yes,0.01104,32,1151,0.00500,0.01708
2019,5th Quintile,Rural regions,No,0.98771,1119,1151,0.98134,0.99408
2020,1st Quintile,Urban regions,Yes,0.02564,52,2314,0.01920,0.03208
2020,1st Quintile,Urban regions,No,0.92357,2262,2314,0.91275,0.93440
2020,1st Quintile,Rural regions,No,0.94648,1107,1107,0.93322,0.95974
2020,2nd Quintile,Urban regions,Yes,0.01366,43,2090,0.00868,0.01864
2020,2nd Quintile,Urban regions,No,0.97677,2047,2090,0.97031,0.98323
2020,2nd Quintile,Rural regions,No,0.98323,1215,1215,0.97601,0.99046
2020,3rd Quintile,Urban regions,Yes,0.02889,69,1869,0.02130,0.03649
2020,3rd Quintile,Urban regions,No,0.96992,1800,1869,0.96218,0.97767
2020,3rd Quintile,Rural regions,No,0.98349,993,993,0.97555,0.99142
2020,4th Quintile,Urban regions,Yes,0.03222,79,1926,0.02433,0.04010
2020,4th Quintile,Urban regions,No,0.96399,1847,1926,0.95566,0.97231
2020,4th Quintile,Rural regions,No,0.97016,910,910,0.95909,0.98122
2020,5th Quintile,Urban regions,Yes,0.03490,120,2770,0.02807,0.04174
2020,5th Quintile,Urban regions,No,0.96239,2650,2770,0.95531,0.96948
2020,5th Quintile,Rural regions,Yes,0.03350,35,973,0.02218,0.04481
2020,5th Quintile,Rural regions,No,0.96137,938,973,0.94926,0.97349
2021,1st Quintile,Urban regions,Yes,0.03236,39,1349,0.02291,0.04181
2021,1st Quintile,Urban regions,No,0.91699,1310,1349,0.90226,0.93172
2021,1st Quintile,Rural regions,No,0.95199,677,677,0.93588,0.96811
2021,2nd Quintile,Urban regions,Yes,0.02252,33,1325,0.01453,0.03051
2021,2nd Quintile,Urban regions,No,0.96179,1292,1325,0.95146,0.97212
2021,2nd Quintile,Rural regions,No,0.98527,832,832,0.97708,0.99346
2021,3rd Quintile,Urban regions,Yes,0.03168,56,1307,0.02218,0.04118
