year,sampreg,plh0244,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,West,Optimistic,0.23844,3033,9817,0.23001,0.24687
1999,West,More optimistic than pessimistic,0.38483,4614,9817,0.37520,0.39445
1999,West,More pessimistic than optimistic,0.16231,1818,9817,0.15502,0.16961
1999,West,Pessimistic,0.03227,352,9817,0.02877,0.03577
1999,East,Optimistic,0.19271,845,3768,0.18011,0.20531
1999,East,More optimistic than pessimistic,0.40760,1876,3768,0.39191,0.42329
1999,East,More pessimistic than optimistic,0.20560,895,3768,0.19269,0.21851
1999,East,Pessimistic,0.03669,152,3768,0.03069,0.04269
2005,West,Optimistic,0.17188,3408,15556,0.16595,0.17781
2005,West,More optimistic than pessimistic,0.38675,7572,15556,0.37910,0.39441
2005,West,More pessimistic than optimistic,0.22136,3833,15556,0.21484,0.22789
2005,West,Pessimistic,0.04746,743,15556,0.04412,0.05080
2005,East,Optimistic,0.11956,751,5020,0.11059,0.12854
2005,East,More optimistic than pessimistic,0.37545,2236,5020,0.36205,0.38884
2005,East,More pessimistic than optimistic,0.29587,1629,5020,0.28324,0.30849
2005,East,Pessimistic,0.07819,404,5020,0.07076,0.08562
2009,West,Optimistic,0.15037,2378,13413,0.14432,0.15641
2009,West,More optimistic than pessimistic,0.39019,6558,13413,0.38193,0.39844
2009,West,More pessimistic than optimistic,0.24101,3717,13413,0.23377,0.24825
2009,West,Pessimistic,0.05039,760,13413,0.04669,0.05409
2009,East,Optimistic,0.11001,595,4537,0.10091,0.11912
2009,East,More optimistic than pessimistic,0.38655,2057,4537,0.37238,0.40073
2009,East,More pessimistic than optimistic,0.30570,1549,4537,0.29230,0.31911
2009,East,Pessimistic,0.06616,336,4537,0.05893,0.07340
2014,West,Optimistic,0.25500,6850,21344,0.24915,0.26084
2014,West,More optimistic than pessimistic,0.42794,10968,21344,0.42130,0.43458
2014,West,More pessimistic than optimistic,0.12855,3027,21344,0.12406,0.13304
2014,West,Pessimistic,0.02097,499,21344,0.01905,0.02290
2014,East,Optimistic,0.21253,1488,5553,0.20176,0.22329
2014,East,More optimistic than pessimistic,0.43159,2841,5553,0.41856,0.44462
2014,East,More pessimistic than optimistic,0.17243,1003,5553,0.16249,0.18237
2014,East,Pessimistic,0.03767,221,5553,0.03266,0.04267
2019,West,Optimistic,0.22527,5848,19921,0.21947,0.23108
2019,West,More optimistic than pessimistic,0.42962,10392,19921,0.42274,0.43649
2019,West,More pessimistic than optimistic,0.14198,3175,19921,0.13713,0.14683
2019,West,Pessimistic,0.02465,506,19921,0.02250,0.02680
2019,East,Optimistic,0.19156,1394,5500,0.18116,0.20196
2019,East,More optimistic than pessimistic,0.42208,2772,5500,0.40902,0.43513
2019,East,More pessimistic than optimistic,0.18642,1140,5500,0.17613,0.19672
2019,East,Pessimistic,0.03461,194,5500,0.02978,0.03944
