year,regtyp,sampreg,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,West,Yes,0.03659,169,3770,0.03060,0.04259
1996,Urban regions,West,No,0.96341,3601,3770,0.95741,0.96940
1996,Urban regions,East,Yes,0.06734,49,638,0.04788,0.08681
1996,Urban regions,East,No,0.93266,589,638,0.91319,0.95212
1996,Rural regions,West,Yes,0.04689,59,1023,0.03393,0.05985
1996,Rural regions,West,No,0.95311,964,1023,0.94015,0.96607
1996,Rural regions,East,Yes,0.05669,87,1200,0.04360,0.06977
1996,Rural regions,East,No,0.94331,1113,1200,0.93023,0.95640
2001,Urban regions,West,Yes,0.04755,373,6828,0.04250,0.05259
2001,Urban regions,West,No,0.95245,6455,6828,0.94741,0.95750
2001,Urban regions,East,Yes,0.06408,70,955,0.04854,0.07962
2001,Urban regions,East,No,0.93592,885,955,0.92038,0.95146
2001,Rural regions,West,Yes,0.05048,121,2009,0.04091,0.06006
2001,Rural regions,West,No,0.94952,1888,2009,0.93994,0.95909
2001,Rural regions,East,Yes,0.07670,168,1888,0.06469,0.08870
2001,Rural regions,East,No,0.92330,1720,1888,0.91130,0.93531
2006,Urban regions,West,Yes,0.04529,398,7176,0.04048,0.05010
2006,Urban regions,West,No,0.95471,6778,7176,0.94990,0.95952
2006,Urban regions,East,Yes,0.05398,62,992,0.03991,0.06805
2006,Urban regions,East,No,0.94602,930,992,0.93195,0.96009
2006,Rural regions,West,Yes,0.05847,142,2161,0.04858,0.06837
2006,Rural regions,West,No,0.94153,2019,2161,0.93163,0.95142
2006,Rural regions,East,Yes,0.09356,184,1936,0.08058,0.10653
2006,Rural regions,East,No,0.90644,1752,1936,0.89347,0.91942
2011,Urban regions,West,Yes,0.04235,377,6851,0.03758,0.04712
2011,Urban regions,West,No,0.88266,6474,6851,0.87504,0.89028
2011,Urban regions,East,Yes,0.04823,68,1022,0.03509,0.06137
2011,Urban regions,East,No,0.87393,954,1022,0.85357,0.89429
2011,Rural regions,West,Yes,0.04037,138,2341,0.03239,0.04834
2011,Rural regions,West,No,0.87354,2203,2341,0.86008,0.88701
2011,Rural regions,East,Yes,0.06411,142,1870,0.05301,0.07522
2011,Rural regions,East,No,0.86805,1728,1870,0.85270,0.88339
2016,Urban regions,West,Yes,0.02710,322,8255,0.02359,0.03060
2016,Urban regions,West,No,0.96749,7933,8255,0.96367,0.97132
2016,Urban regions,East,Yes,0.03630,60,1122,0.02535,0.04724
2016,Urban regions,East,No,0.95754,1062,1122,0.94573,0.96934
2016,Rural regions,West,Yes,0.04333,156,2973,0.03601,0.05065
2016,Rural regions,West,No,0.95183,2817,2973,0.94413,0.95953
2016,Rural regions,East,Yes,0.06714,149,1952,0.05603,0.07824
2016,Rural regions,East,No,0.92782,1803,1952,0.91634,0.93930
2021,Urban regions,West,Yes,0.02569,235,6511,0.02184,0.02953
2021,Urban regions,West,No,0.96215,6276,6511,0.95752,0.96679
2021,Urban regions,East,Yes,0.03185,34,898,0.02036,0.04334
2021,Urban regions,East,No,0.94917,864,898,0.93480,0.96355
2021,Rural regions,West,Yes,0.03965,91,2153,0.03140,0.04789
2021,Rural regions,West,No,0.95024,2062,2153,0.94106,0.95943
2021,Rural regions,East,Yes,0.05830,109,1493,0.04641,0.07019
2021,Rural regions,East,No,0.93714,1384,1493,0.92482,0.94945
