year,hhtyp,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,No,0.98762,1409,1409,0.98184,0.99340
1996,Couple without children,Yes,0.03722,78,1841,0.02857,0.04587
1996,Couple without children,No,0.96278,1763,1841,0.95413,0.97143
1996,Single parent,No,0.94109,362,362,0.91680,0.96538
1996,Couple with children,Yes,0.08086,222,2686,0.07055,0.09117
1996,Couple with children,No,0.91914,2464,2686,0.90883,0.92945
1996,Multi-generational household,No,0.94471,119,119,0.90348,0.98595
1996,Other Combinations,No,0.92626,150,150,0.88430,0.96823
2001,Single-person household,Yes,0.01673,56,2926,0.01208,0.02138
2001,Single-person household,No,0.98327,2870,2926,0.97862,0.98792
2001,Couple without children,Yes,0.04664,177,3589,0.03974,0.05354
2001,Couple without children,No,0.95336,3412,3589,0.94646,0.96026
2001,Single parent,Yes,0.04880,40,706,0.03289,0.06470
2001,Single parent,No,0.95120,666,706,0.93530,0.96711
2001,Couple with children,Yes,0.10901,443,4175,0.09956,0.11847
2001,Couple with children,No,0.89099,3732,4175,0.88153,0.90044
2001,Multi-generational household,No,0.92076,148,148,0.87709,0.96442
2001,Other Combinations,No,0.96255,120,120,0.92843,0.99666
2006,Single-person household,Yes,0.02070,85,3288,0.01583,0.02557
2006,Single-person household,No,0.97930,3203,3288,0.97443,0.98417
2006,Couple without children,Yes,0.05358,228,4158,0.04673,0.06042
2006,Couple without children,No,0.94642,3930,4158,0.93958,0.95327
2006,Single parent,Yes,0.04641,40,772,0.03156,0.06126
2006,Single parent,No,0.95359,732,772,0.93874,0.96844
2006,Couple with children,Yes,0.11207,420,3837,0.10209,0.12205
2006,Couple with children,No,0.88793,3417,3837,0.87795,0.89791
2006,Multi-generational household,No,0.96241,95,95,0.92396,1.00086
2006,Other Combinations,No,0.96524,102,102,0.92952,1.00096
2011,Single-person household,Yes,0.02239,82,3510,0.01749,0.02728
2011,Single-person household,No,0.97579,3428,3510,0.97071,0.98088
2011,Couple without children,Yes,0.04916,233,4371,0.04275,0.05557
2011,Couple without children,No,0.95055,4138,4371,0.94412,0.95698
2011,Single parent,Yes,0.02520,40,784,0.01422,0.03618
2011,Single parent,No,0.49965,744,784,0.46462,0.53467
2011,Couple with children,Yes,0.08518,363,3240,0.07557,0.09480
2011,Couple with children,No,0.70919,2877,3240,0.69355,0.72483
2011,Multi-generational household,No,0.84448,79,79,0.76405,0.92490
2011,Other Combinations,No,0.94395,93,93,0.89695,0.99095
2016,Single-person household,Yes,0.01386,43,3388,0.00992,0.01780
2016,Single-person household,No,0.97992,3345,3388,0.97520,0.98465
2016,Couple without children,Yes,0.03422,160,4097,0.02865,0.03979
2016,Couple without children,No,0.96501,3937,4097,0.95938,0.97063
2016,Single parent,Yes,0.03949,73,1524,0.02970,0.04927
2016,Single parent,No,0.95414,1451,1524,0.94364,0.96465
2016,Couple with children,Yes,0.07706,400,4990,0.06966,0.08446
2016,Couple with children,No,0.91537,4590,4990,0.90765,0.92309
2016,Multi-generational household,No,0.91754,102,102,0.86389,0.97118
2016,Other Combinations,No,0.93887,190,190,0.90472,0.97303
2021,Single-person household,Yes,0.01477,50,3188,0.01058,0.01896
2021,Single-person household,No,0.97481,3138,3188,0.96937,0.98025
2021,Couple without children,Yes,0.02855,122,3414,0.02296,0.03414
2021,Couple without children,No,0.96940,3292,3414,0.96362,0.97518
2021,Single parent,Yes,0.06286,57,896,0.04696,0.07876
2021,Single parent,No,0.92145,839,896,0.90383,0.93908
2021,Couple with children,Yes,0.06524,222,3162,0.05663,0.07385
2021,Couple with children,No,0.91191,2940,3162,0.90203,0.92179
2021,Multi-generational household,No,0.93268,71,71,0.87397,0.99138
2021,Other Combinations,No,0.95072,252,252,0.92395,0.97750
