year,quintil_oecd_hh,sampreg,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,1st Quintile,West,No,0.84840,1486,1539,0.83047,0.86632
2011,1st Quintile,East,Yes,0.04418,48,716,0.02912,0.05925
2011,1st Quintile,East,No,0.83638,668,716,0.80927,0.86350
2011,2nd Quintile,West,Yes,0.03298,73,1498,0.02393,0.04202
2011,2nd Quintile,West,No,0.85871,1425,1498,0.84106,0.87635
2011,2nd Quintile,East,Yes,0.04514,46,741,0.03018,0.06009
2011,2nd Quintile,East,No,0.88854,695,741,0.86587,0.91122
2011,3rd Quintile,West,Yes,0.04801,109,1721,0.03791,0.05811
2011,3rd Quintile,West,No,0.87977,1612,1721,0.86440,0.89514
2011,3rd Quintile,East,Yes,0.08007,56,654,0.05925,0.10089
2011,3rd Quintile,East,No,0.87396,598,654,0.84850,0.89942
2011,4th Quintile,West,Yes,0.05610,135,1980,0.04597,0.06624
2011,4th Quintile,West,No,0.89253,1845,1980,0.87889,0.90618
2011,4th Quintile,East,Yes,0.06781,36,456,0.04470,0.09091
2011,4th Quintile,East,No,0.88710,420,456,0.85802,0.91618
2011,5th Quintile,West,Yes,0.05283,145,2451,0.04397,0.06168
2011,5th Quintile,West,No,0.91289,2306,2451,0.90173,0.92406
2011,5th Quintile,East,No,0.88823,301,301,0.85257,0.92388
2016,1st Quintile,West,Yes,0.02123,79,2276,0.01531,0.02715
2016,1st Quintile,West,No,0.95038,2197,2276,0.94145,0.95930
2016,1st Quintile,East,Yes,0.04589,48,820,0.03156,0.06022
2016,1st Quintile,East,No,0.93421,772,820,0.91723,0.95119
2016,2nd Quintile,West,Yes,0.02520,91,2242,0.01871,0.03169
2016,2nd Quintile,West,No,0.97480,2151,2242,0.96831,0.98129
2016,2nd Quintile,East,Yes,0.05911,61,799,0.04275,0.07548
2016,2nd Quintile,East,No,0.94089,738,799,0.92452,0.95725
2016,3rd Quintile,West,Yes,0.03993,101,2071,0.03150,0.04836
2016,3rd Quintile,West,No,0.96007,1970,2071,0.95164,0.96850
2016,3rd Quintile,East,Yes,0.05959,47,672,0.04168,0.07751
2016,3rd Quintile,East,No,0.94041,625,672,0.92249,0.95832
2016,4th Quintile,West,Yes,0.03329,96,2205,0.02580,0.04078
2016,4th Quintile,West,No,0.96671,2109,2205,0.95922,0.97420
2016,4th Quintile,East,Yes,0.07648,36,457,0.05209,0.10087
2016,4th Quintile,East,No,0.92352,421,457,0.89913,0.94791
2016,5th Quintile,West,Yes,0.03462,111,2429,0.02735,0.04189
2016,5th Quintile,West,No,0.96538,2318,2429,0.95811,0.97265
2016,5th Quintile,East,No,0.96577,309,309,0.94546,0.98607
2021,1st Quintile,West,No,0.94684,1480,1480,0.93540,0.95827
2021,1st Quintile,East,No,0.94040,516,516,0.91995,0.96084
2021,2nd Quintile,West,Yes,0.03443,79,1617,0.02554,0.04332
2021,2nd Quintile,West,No,0.95831,1538,1617,0.94857,0.96806
2021,2nd Quintile,East,Yes,0.05185,45,567,0.03358,0.07011
2021,2nd Quintile,East,No,0.94347,522,567,0.92444,0.96249
2021,3rd Quintile,West,Yes,0.03438,48,1549,0.02530,0.04345
2021,3rd Quintile,West,No,0.96398,1501,1549,0.95469,0.97326
2021,3rd Quintile,East,Yes,0.08475,42,475,0.05968,0.10982
2021,3rd Quintile,East,No,0.91322,433,475,0.88787,0.93856
2021,4th Quintile,West,Yes,0.03187,70,1688,0.02349,0.04026
2021,4th Quintile,West,No,0.96730,1618,1688,0.95882,0.97579
2021,4th Quintile,East,No,0.96618,373,373,0.94782,0.98455
2021,5th Quintile,West,Yes,0.03474,101,2288,0.02723,0.04224
2021,5th Quintile,West,No,0.96066,2187,2288,0.95269,0.96862
2021,5th Quintile,East,No,0.96097,401,401,0.94199,0.97995
