year,hhtyp,regtyp,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,Urban regions,No,0.98718,994,994,0.98018,0.99418
1996,Single-person household,Rural regions,No,0.98882,415,415,0.97869,0.99895
1996,Couple without children,Urban regions,Yes,0.03297,47,1234,0.02300,0.04293
1996,Couple without children,Urban regions,No,0.96703,1187,1234,0.95707,0.97700
1996,Couple without children,Rural regions,Yes,0.04743,31,607,0.03051,0.06436
1996,Couple without children,Rural regions,No,0.95257,576,607,0.93564,0.96949
1996,Single parent,Urban regions,No,0.94670,244,244,0.91845,0.97494
1996,Single parent,Rural regions,No,0.92822,118,118,0.88144,0.97499
1996,Couple with children,Urban regions,Yes,0.07682,130,1732,0.06428,0.08937
1996,Couple with children,Urban regions,No,0.92318,1602,1732,0.91063,0.93572
1996,Couple with children,Rural regions,Yes,0.08917,92,954,0.07108,0.10727
1996,Couple with children,Rural regions,No,0.91083,862,954,0.89273,0.92892
1996,Multi-generational household,Urban regions,No,0.95341,74,74,0.90506,1.00176
1996,Multi-generational household,Rural regions,No,0.93369,45,45,0.86016,1.00721
1996,Other Combinations,Urban regions,No,0.91241,89,89,0.85334,0.97148
1996,Other Combinations,Rural regions,No,0.94559,61,61,0.88819,1.00298
2001,Single-person household,Urban regions,Yes,0.01799,41,2062,0.01225,0.02373
2001,Single-person household,Urban regions,No,0.98201,2021,2062,0.97627,0.98775
2001,Single-person household,Rural regions,No,0.98660,849,849,0.97886,0.99434
2001,Couple without children,Urban regions,Yes,0.04681,115,2377,0.03832,0.05531
2001,Couple without children,Urban regions,No,0.95319,2262,2377,0.94469,0.96168
2001,Couple without children,Rural regions,Yes,0.04625,62,1212,0.03443,0.05808
2001,Couple without children,Rural regions,No,0.95375,1150,1212,0.94192,0.96557
2001,Single parent,Urban regions,No,0.95497,443,443,0.93564,0.97431
2001,Single parent,Rural regions,No,0.94281,223,223,0.91226,0.97335
2001,Couple with children,Urban regions,Yes,0.09955,255,2689,0.08823,0.11087
2001,Couple with children,Urban regions,No,0.90045,2434,2689,0.88913,0.91177
2001,Couple with children,Rural regions,Yes,0.12817,188,1486,0.11116,0.14517
2001,Couple with children,Rural regions,No,0.87183,1298,1486,0.85483,0.88884
2001,Multi-generational household,Urban regions,No,0.95387,100,100,0.91254,0.99519
2001,Multi-generational household,Rural regions,No,0.86602,48,48,0.76863,0.96340
2001,Other Combinations,Urban regions,No,0.97555,80,80,0.94150,1.00961
2001,Other Combinations,Rural regions,No,0.93124,40,40,0.85182,1.01066
2006,Single-person household,Urban regions,Yes,0.01482,42,2260,0.00984,0.01980
2006,Single-person household,Urban regions,No,0.98518,2218,2260,0.98020,0.99016
2006,Single-person household,Rural regions,Yes,0.03540,43,1028,0.02410,0.04670
2006,Single-person household,Rural regions,No,0.96460,985,1028,0.95330,0.97590
2006,Couple without children,Urban regions,Yes,0.05019,149,2787,0.04209,0.05830
2006,Couple without children,Urban regions,No,0.94981,2638,2787,0.94170,0.95791
2006,Couple without children,Rural regions,Yes,0.06073,79,1371,0.04808,0.07337
2006,Couple without children,Rural regions,No,0.93927,1292,1371,0.92663,0.95192
2006,Single parent,Urban regions,No,0.96834,477,477,0.95262,0.98407
2006,Single parent,Rural regions,No,0.92457,255,255,0.89210,0.95705
2006,Couple with children,Urban regions,Yes,0.09991,246,2499,0.08815,0.11167
2006,Couple with children,Urban regions,No,0.90009,2253,2499,0.88833,0.91185
2006,Couple with children,Rural regions,Yes,0.13680,174,1338,0.11838,0.15522
2006,Couple with children,Rural regions,No,0.86320,1164,1338,0.84478,0.88162
2006,Multi-generational household,Urban regions,No,0.96961,56,56,0.92425,1.01498
2006,Multi-generational household,Rural regions,No,0.95370,39,39,0.88690,1.02051
2006,Other Combinations,Rural regions,No,0.90626,36,36,0.80970,1.00282
