year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,n
1984,,,,,,,,,
1985,,,,,,,,,
1986,,,,,,,,,
1987,,,,,,,,,
1988,,,,,,,,,
1989,,,,,,,,,
1990,,,,,,,,,
1991,,,,,,,,,
1992,,,,,,,,,
1993,,,,,,,,,
1994,,,,,,,,,
1995,,,,,,,,,
1996,,,,,,,,,
1997,,,,,,,,,
1998,,,,,,,,,
1999,,,,,,,,,
2000,,,,,,,,,
2001,,,,,,,,,
2002,,,,,,,,,
2003,,,,,,,,,
2004,,,,,,,,,
2005,,,,,,,,,
2006,,,,,,,,,
2007,,,,,,,,,
2008,7.99042,7.96992,8.01092,7.00000,8.00000,9.00000,4.00000,12.00000,19195.00000
2009,7.90204,7.88104,7.92304,7.00000,8.00000,9.00000,4.00000,12.00000,17880.00000
2010,7.87033,7.85156,7.88910,7.00000,8.00000,9.00000,4.00000,12.00000,23844.00000
2011,7.79155,7.77437,7.80872,7.00000,8.00000,9.00000,4.00000,12.00000,28181.00000
2012,7.82997,7.81253,7.84742,7.00000,8.00000,9.00000,4.00000,12.00000,27394.00000
2013,7.72941,7.71158,7.74725,7.00000,8.00000,9.00000,4.00000,12.00000,25516.00000
2014,,,,,,,,,
2015,7.70067,7.68274,7.71860,7.00000,8.00000,8.00000,5.50000,9.50000,24857.00000
2016,,,,,,,,,
2017,7.63361,7.61618,7.65105,7.00000,8.00000,8.00000,5.50000,9.50000,26431.00000
2018,,,,,,,,,
2019,7.56969,7.55175,7.58763,7.00000,8.00000,8.00000,5.50000,9.50000,25629.00000
2020,7.71105,7.69443,7.72766,7.00000,8.00000,9.00000,4.00000,12.00000,28258.00000
2021,7.60221,7.58284,7.62158,7.00000,8.00000,8.00000,5.50000,9.50000,19250.00000
2022,7.61938,7.60294,7.63582,7.00000,8.00000,8.00000,5.50000,9.50000,27813.00000
