"year","quintil","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","1 Einkommensschwächstes Quintil","85.29","79.5","7105","48","60","103","130","200","84.49","86.09","10","300","78","80"
"1995","2","91.55","84.5","4950","50","64","115","140","200","90.58","92.52","12","280","80","85"
"1995","3","99.61","89.5","3017","56","70","120","150","240","98.14","101.08","12","350","90","92"
"1995","4","","","","","","","","","","","","","",""
"1995","5 Einkommensstärkstes Quintil","124.41","119","845","70","90","150","200","300","120.91","127.91","10","400","118","123"
"1996","1 Einkommensschwächstes Quintil","85.08","79.5","6374","48","60","103","130","190","84.25","85.91","10","400","80","80"
"1996","2","93.4","85.5","4936","52","65","117","145","210","92.37","94.43","12","280","82","85"
"1996","3","98.35","91.5","3156","55","70","120","150","200","97.03","99.67","12","260","90","92"
"1996","4","","","","","","","","","","","","","",""
"1996","5 Einkommensstärkstes Quintil","120.78","111.5","972","65","85","150","190","300","117.51","124.05","18","350","110","120"
"1997","1 Einkommensschwächstes Quintil","86.36","79.5","5987","50","60","104","130","200","85.47","87.25","10","400","80","80"
"1997","2","93.29","87.5","4827","51","65","120","143","200","92.26","94.32","14","280","85","88"
"1997","3","99.62","89.5","3291","56","70","120","156","210","98.24","101","10","365","89","90"
"1997","4","","","","","","","","","","","","","",""
"1997","5 Einkommensstärkstes Quintil","121.7","114","967","70","88","145","180","300","118.52","124.88","12","350","110","120"
"1998","1 Einkommensschwächstes Quintil","89.64","79.5","6439","50","63","110","140","210","88.78","90.5","10","300","80","82"
"1998","2","95.25","89.5","5174","55","68","120","144","202","94.24","96.26","8","300","88","90"
"1998","3","99.62","93.5","3597","56","70","120","150","220","98.34","100.9","15","310","91","98"
"1998","4","","","","","","","","","","","","","",""
"1998","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"1999","1 Einkommensschwächstes Quintil","88.58","79.5","5258","50","63","107","140","210","87.61","89.55","10","350","80","82"
"1999","2","94.86","88.5","5303","54","67","118","148","200","93.83","95.89","8","385","87","90"
"1999","3","102.08","97.5","3663","59","72","125","150","220","100.84","103.32","15","260","95","100"
"1999","4","","","","","","","","","","","","","",""
"1999","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2000","1 Einkommensschwächstes Quintil","87.36","79.5","8689","49","62","105","130","200","86.6","88.12","10","300","80","83"
"2000","2","97.08","89.5","8714","55","69","120","150","220","96.25","97.91","8","400","94","96"
"2000","3","102.36","95.5","6738","58","72","125","153","220","101.4","103.32","15","397","100","100"
"2000","4","108.06","99.5","4752","60","75","133","160","250","106.79","109.33","16","450","105","110"
"2000","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2001","1 Einkommensschwächstes Quintil","88.06","79.5","7277","50","62","107","140","200","87.2","88.92","10","280","83","85"
"2001","2","97.62","89.5","7647","56","70","120","150","220","96.71","98.53","8","450","92","95"
"2001","3","102.4","95.5","6305","58","71","124","154","240","101.39","103.41","20","400","100","100"
"2001","4","107.72","99","4636","60","75","130","160","240","106.47","108.97","18","397","105","110"
"2001","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2002","1 Einkommensschwächstes Quintil","87.72","79.5","6246","50","63","105","140","200","86.78","88.66","10","385","81","84"
"2002","2","96.69","89.5","6580","55","69","120","145","200","95.76","97.62","9","320","90","93"
"2002","3","100.23","94.5","5965","58","71","120","150","215","99.22","101.24","15","350","98","100"
"2002","4","106.26","99.5","5859","60","75","130","156","250","105.1","107.42","25","320","110","115"
"2002","5 Einkommensstärkstes Quintil","125.75","119.5","5466","65","86","150","200","320","124.25","127.25","20","450","130","133"
"2003","1 Einkommensschwächstes Quintil","86.63","79.5","5780","49","61","106","135","200","85.68","87.58","12","350","80","82"
"2003","2","95.58","89.5","6126","55","69","120","140","220","94.57","96.59","10","345","90","94"
"2003","3","100.89","94.5","6132","57","71","120","150","220","99.85","101.93","11","450","100","100"
"2003","4","104.72","99.5","5838","60","74","126","150","250","103.53","105.91","18","450","108","110"
"2003","5 Einkommensstärkstes Quintil","125.4","119.5","4916","70","87","150","190","360","123.91","126.89","20","450","130","130"
"2004","1 Einkommensschwächstes Quintil","88.2","79.5","5565","50","62","107","140","200","87.09","89.31","12","450","80","84"
"2004","2","96.71","89.5","5923","55","69","120","145","210","95.7","97.72","10","300","90","95"
"2004","3","100.32","94.5","5887","58","70","120","150","210","99.31","101.33","14","340","100","100"
"2004","4","105.4","99.5","5687","60","75","128","150","250","104.22","106.58","14","400","110","110"
"2004","5 Einkommensstärkstes Quintil","125.85","119.5","4869","70","87","150","190","320","124.29","127.41","20","450","130","130"
"2005","1 Einkommensschwächstes Quintil","86.93","79.5","5387","50","61","103","130","200","85.86","88","12","450","80","84"
"2005","2","97.52","90.5","5494","57","70","120","147","215","96.5","98.54","10","340","93","98"
"2005","3","101.17","92.5","5539","58","70","123","150","240","100.09","102.25","10","356","95","100"
"2005","4","106.9","99.5","5455","60","75","130","160","250","105.69","108.11","15","420","110","113"
"2005","5 Einkommensstärkstes Quintil","123.53","119.5","4831","70","85","150","187","300","121.96","125.1","8","450","128","130"
"2006","1 Einkommensschwächstes Quintil","84.52","76.5","5718","48","60","100","130","200","83.53","85.51","12","450","80","81"
"2006","2","98.25","89.5","5929","56","70","120","150","240","97.13","99.37","9","400","90","95"
"2006","3","100.74","94.5","5914","58","71","120","150","200","99.7","101.78","12","340","100","100"
"2006","4","106.1","99.5","6058","60","75","130","160","240","104.92","107.28","16","650","110","110"
"2006","5 Einkommensstärkstes Quintil","126.42","119","5049","70","90","150","190","330","124.82","128.02","25","838","130","130"
"2007","1 Einkommensschwächstes Quintil","87.11","79.5","4896","49","61","100","135","230","85.9","88.32","10","400","80","82"
"2007","2","96.62","89.5","5413","55","68","120","145","220","95.56","97.68","10","400","92","95"
"2007","3","103.03","96.5","5605","60","70","125","156","240","101.88","104.18","18","390","100","100"
"2007","4","106.39","99.5","5736","60","75","130","160","240","105.26","107.52","9","420","109","110"
"2007","5 Einkommensstärkstes Quintil","127.49","119.5","4965","70","90","150","185","350","125.84","129.14","25","838","130","130"
"2008","1 Einkommensschwächstes Quintil","86.95","79.5","4284","48","61","100","130","240","85.72","88.18","12","350","80","81"
"2008","2","96.27","86.5","4676","54","67","120","146","210","95.06","97.48","10","350","90","93"
