"year","hhtyp","quintil","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1995","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","75.6","69.5","892","73.82","77.38"
"1995","(Ehe-)Paar ohne Kind(er)","2","80.25","75.5","876","78.37","82.13"
"1995","(Ehe-)Paar ohne Kind(er)","3","85.67","79.5","836","83.59","87.75"
"1995","(Ehe-)Paar ohne Kind(er)","4","91.9","84.5","704","89.23","94.57"
"1995","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","122.24","119","346","117.43","127.05"
"1995","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","58.86","53.5","509","56.43","61.29"
"1995","1-Pers.- Haushalt","2","61.52","57.5","423","59","64.04"
"1995","1-Pers.- Haushalt","3","66.4","62.5","224","63.26","69.54"
"1995","1-Pers.- Haushalt","4","74.4","69","144","69.18","79.62"
"1995","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","89.5","81","104","82.22","96.78"
"1995","Alleinerziehende","1 Einkommensschwächstes Quintil","79.2","69.5","543","76.73","81.67"
"1995","Alleinerziehende","2","90.07","84.5","203","86.1","94.04"
"1995","Alleinerziehende","3","104.75","97","114","98.99","110.51"
"1995","Alleinerziehende","4","126.27","111.5","58","112.65","139.89"
"1995","Alleinerziehende","5 Einkommensstärkstes Quintil","","","","",""
"1995","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","95.53","89.5","4668","94.58","96.48"
"1995","Paar mit Kind(ern)","2","104.58","99.5","3113","103.39","105.77"
"1995","Paar mit Kind(ern)","3","114.61","109","1623","112.56","116.66"
"1995","Paar mit Kind(ern)","4","127.24","117.5","783","124.13","130.35"
"1995","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","147.07","139","336","141.82","152.32"
"1995","Sonstige","1 Einkommensschwächstes Quintil","95.68","87.5","493","91.83","99.53"
"1995","Sonstige","2","109.72","103","335","105.51","113.93"
"1995","Sonstige","3","122.78","119.5","220","117.37","128.19"
"1995","Sonstige","4","117.2","110","106","110.35","124.05"
"1995","Sonstige","5 Einkommensstärkstes Quintil","150.08","122.5","35","118.84","181.32"
"1996","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","77.32","72.5","866","75.54","79.1"
"1996","(Ehe-)Paar ohne Kind(er)","2","80.83","71.5","864","78.69","82.97"
"1996","(Ehe-)Paar ohne Kind(er)","3","86.31","79.5","832","84.31","88.31"
"1996","(Ehe-)Paar ohne Kind(er)","4","97.76","88.5","730","95.03","100.49"
"1996","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","114.61","104.5","390","110.06","119.16"
"1996","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","61.04","55.5","510","58.57","63.51"
"1996","1-Pers.- Haushalt","2","61.99","58.5","412","59.6","64.38"
"1996","1-Pers.- Haushalt","3","64.88","59.5","238","61.65","68.11"
"1996","1-Pers.- Haushalt","4","74.7","69","156","69.97","79.43"
"1996","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","87.69","79","117","80.69","94.69"
"1996","Alleinerziehende","1 Einkommensschwächstes Quintil","80.85","74","551","78.32","83.38"
"1996","Alleinerziehende","2","86.64","79","188","82.06","91.22"
"1996","Alleinerziehende","3","95.21","82.5","125","88.08","102.34"
"1996","Alleinerziehende","4","117.75","116","71","110.78","124.72"
"1996","Alleinerziehende","5 Einkommensstärkstes Quintil","","","","",""
"1996","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","95.21","89.5","3960","94.18","96.24"
"1996","Paar mit Kind(ern)","2","106.36","99.5","3203","105.13","107.59"
"1996","Paar mit Kind(ern)","3","111.98","109","1759","110.27","113.69"
"1996","Paar mit Kind(ern)","4","130.58","129","836","127.18","133.98"
"1996","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","147.82","133.5","399","142.78","152.86"
"1996","Sonstige","1 Einkommensschwächstes Quintil","98.52","94","487","95.02","102.02"
"1996","Sonstige","2","107.67","103","269","102.26","113.08"
"1996","Sonstige","3","127.89","129","202","122.02","133.76"
"1996","Sonstige","4","121.69","125","108","115.45","127.93"
"1996","Sonstige","5 Einkommensstärkstes Quintil","130.14","105","42","109.71","150.57"
"1997","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","79.55","74.5","776","77.61","81.49"
"1997","(Ehe-)Paar ohne Kind(er)","2","80.81","74.5","908","78.86","82.76"
"1997","(Ehe-)Paar ohne Kind(er)","3","87.12","79.5","932","85.09","89.15"
"1997","(Ehe-)Paar ohne Kind(er)","4","96","89.5","744","93.57","98.43"
"1997","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","116.54","108.5","398","112.31","120.77"
"1997","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","60.56","55.5","466","58.27","62.85"
"1997","1-Pers.- Haushalt","2","62.85","57.5","412","60.21","65.49"
"1997","1-Pers.- Haushalt","3","64.78","59.5","253","61.91","67.65"
"1997","1-Pers.- Haushalt","4","74.96","69","162","70.01","79.91"
"1997","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","89.13","83.5","109","82.13","96.13"
"1997","Alleinerziehende","1 Einkommensschwächstes Quintil","81.06","74","508","78.5","83.62"
"1997","Alleinerziehende","2","83.08","73.5","210","79.02","87.14"
"1997","Alleinerziehende","3","93.39","79","138","88.6","98.18"
"1997","Alleinerziehende","4","124.61","115","78","115.03","134.19"
"1997","Alleinerziehende","5 Einkommensstärkstes Quintil","104.36","92.5","33","91.12","117.6"
"1997","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","96.5","89.5","3808","95.39","97.61"
"1997","Paar mit Kind(ern)","2","107.6","99.5","3010","106.35","108.85"
"1997","Paar mit Kind(ern)","3","117.1","109","1746","115.16","119.04"
"1997","Paar mit Kind(ern)","4","127.88","129","847","125.12","130.64"
"1997","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","149.62","135.5","395","144.29","154.95"
"1997","Sonstige","1 Einkommensschwächstes Quintil","97.17","88.5","429","93","101.34"
"1997","Sonstige","2","107.68","108.5","287","103.1","112.26"
"1997","Sonstige","3","115.7","108.5","222","109.75","121.65"
