"year","quintil","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"1995","1 Einkommensschwächstes Quintil","Staedtischer Raum","83.5","77.5","4287","48","60","100","125","200","82.55","84.45","12","300","76","78"
"1995","2","Laendlicher Raum","","","","","","","","","","","","","",""
"1995","2","Staedtischer Raum","89.49","83.5","3185","50","64","110","140","180","88.36","90.62","15","220","80","84"
"1995","3","Laendlicher Raum","101.69","94","983","57","72","126","150","240","99.03","104.35","25","350","90","98"
"1995","3","Staedtischer Raum","","","","","","","","","","","","","",""
"1995","4","Laendlicher Raum","113.92","98","478","60","80","130","172","254","109.88","117.96","20","300","100","100"
"1995","4","Staedtischer Raum","","","","","","","","","","","","","",""
"1995","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"1995","5 Einkommensstärkstes Quintil","Staedtischer Raum","118.85","114.5","685","70","85","145","170","270","115.43","122.27","29","300","112","120"
"1996","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"1996","1 Einkommensschwächstes Quintil","Staedtischer Raum","82.98","77.5","3899","48","60","100","130","180","82.03","83.93","10","250","76","80"
"1996","2","Laendlicher Raum","","","","","","","","","","","","","",""
"1996","2","Staedtischer Raum","91.6","84.5","3081","52","65","110","140","200","90.36","92.84","16","270","80","84"
"1996","3","Laendlicher Raum","","","","","","","","","","","","","",""
"1996","3","Staedtischer Raum","","","","","","","","","","","","","",""
"1996","4","Laendlicher Raum","121.57","116","490","64","90","140","190","300","116.47","126.67","10","400","100","112"
"1996","4","Staedtischer Raum","","","","","","","","","","","","","",""
"1996","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"1996","5 Einkommensstärkstes Quintil","Staedtischer Raum","116.13","107","759","65","82","140","174","300","112.6","119.66","18","320","105","115"
"1997","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"1997","1 Einkommensschwächstes Quintil","Staedtischer Raum","84.01","78.5","3651","50","60","100","125","180","83.01","85.01","12","270","77","80"
"1997","2","Laendlicher Raum","","","","","","","","","","","","","",""
"1997","2","Staedtischer Raum","","","","","","","","","","","","","",""
"1997","3","Laendlicher Raum","","","","","","","","","","","","","",""
"1997","3","Staedtischer Raum","","","","","","","","","","","","","",""
"1997","4","Laendlicher Raum","116.22","117.5","550","64","89","145","167","230","112.68","119.76","30","240","100","115"
"1997","4","Staedtischer Raum","","","","","","","","","","","","","",""
"1997","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"1997","5 Einkommensstärkstes Quintil","Staedtischer Raum","117.19","109.5","781","67","85","140","174","300","113.93","120.45","12","320","107","116"
"1998","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"1998","1 Einkommensschwächstes Quintil","Staedtischer Raum","86.71","79.5","3857","49","62","102","130","220","85.64","87.78","10","300","78","80"
"1998","2","Laendlicher Raum","","","","","","","","","","","","","",""
"1998","2","Staedtischer Raum","91.36","84.5","3269","54","65","110","140","200","90.2","92.52","12","270","84","86"
"1998","3","Laendlicher Raum","","","","","","","","","","","","","",""
"1998","3","Staedtischer Raum","","","","","","","","","","","","","",""
"1998","4","Laendlicher Raum","121.98","118","639","64","86","150","180","320","118.02","125.94","30","350","108","120"
"1998","4","Staedtischer Raum","","","","","","","","","","","","","",""
"1998","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"1998","5 Einkommensstärkstes Quintil","Staedtischer Raum","119.64","109.5","896","68","85","142","170","350","116.47","122.81","30","420","110","120"
