year,hhtyp,regtyp,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,Urban regions,No,0.98832,2300,2300,0.98392,0.99271
2016,Single-person household,Rural regions,No,0.97767,1052,1052,0.96874,0.98660
2016,Couple without children,Urban regions,Yes,0.01763,49,2568,0.01254,0.02272
2016,Couple without children,Urban regions,No,0.98146,2519,2568,0.97624,0.98668
2016,Couple without children,Rural regions,Yes,0.04412,56,1529,0.03382,0.05442
2016,Couple without children,Rural regions,No,0.95535,1473,1529,0.94500,0.96571
2016,Single parent,Urban regions,Yes,0.05853,59,992,0.04391,0.07314
2016,Single parent,Urban regions,No,0.93466,933,992,0.91927,0.95004
2016,Single parent,Rural regions,Yes,0.05529,33,532,0.03585,0.07473
2016,Single parent,Rural regions,No,0.93915,499,532,0.91882,0.95948
2016,Couple with children,Urban regions,Yes,0.07134,260,3297,0.06255,0.08013
2016,Couple with children,Urban regions,No,0.92111,3037,3297,0.91191,0.93032
2016,Couple with children,Rural regions,Yes,0.11554,203,1693,0.10031,0.13078
2016,Couple with children,Rural regions,No,0.87683,1490,1693,0.86117,0.89249
2016,Multi-generational household,Urban regions,No,0.93380,61,61,0.87089,0.99671
2016,Multi-generational household,Rural regions,No,0.87631,38,38,0.77023,0.98240
2016,Other Combinations,Urban regions,No,0.94956,135,135,0.91251,0.98662
2016,Other Combinations,Rural regions,No,0.92098,56,56,0.84968,0.99227
2021,Single-person household,Urban regions,No,0.98552,2241,2241,0.98057,0.99047
2021,Single-person household,Rural regions,No,0.98306,926,926,0.97475,0.99138
2021,Couple without children,Urban regions,No,0.98335,2196,2196,0.97800,0.98870
2021,Couple without children,Rural regions,Yes,0.03279,36,1197,0.02269,0.04288
2021,Couple without children,Rural regions,No,0.96527,1161,1197,0.95489,0.97565
2021,Single parent,Urban regions,No,0.93052,546,546,0.90918,0.95187
2021,Single parent,Rural regions,No,0.91026,301,301,0.87792,0.94261
2021,Couple with children,Urban regions,Yes,0.06011,124,2101,0.04994,0.07028
2021,Couple with children,Urban regions,No,0.91621,1977,2101,0.90436,0.92806
2021,Couple with children,Rural regions,Yes,0.06926,113,1061,0.05397,0.08454
2021,Couple with children,Rural regions,No,0.90968,948,1061,0.89242,0.92693
2021,Multi-generational household,Urban regions,No,0.95156,45,45,0.88813,1.01500
2021,Other Combinations,Urban regions,No,0.96737,185,185,0.94170,0.99304
2021,Other Combinations,Rural regions,No,0.94876,73,73,0.89783,0.99969
