year,bula_h,hhtyp,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Single-person household,No,0.98698,127,127,0.96719,1.00677
2016,Schleswig-Holstein,Couple without children,No,0.98480,129,129,0.96361,1.00600
2016,Schleswig-Holstein,Single parent,No,0.96950,57,57,0.92447,1.01454
2016,Schleswig-Holstein,Couple with children,No,0.92117,159,159,0.87915,0.96319
2016,Hamburg,Single-person household,No,0.99315,71,71,0.97382,1.01247
2016,Hamburg,Couple without children,No,0.99901,68,68,0.99147,1.00654
2016,Hamburg,Couple with children,No,0.97916,88,88,0.94915,1.00918
2016,Lower Saxony,Single-person household,No,0.98440,284,284,0.96996,0.99884
2016,Lower Saxony,Couple without children,No,0.98729,387,387,0.97612,0.99847
2016,Lower Saxony,Single parent,No,0.98015,149,149,0.95768,1.00262
2016,Lower Saxony,Couple with children,Yes,0.07760,45,478,0.05359,0.10161
2016,Lower Saxony,Couple with children,No,0.91304,433,478,0.88775,0.93832
2016,Bremen,Couple with children,No,0.94959,34,34,0.87494,1.02424
2016,North Rhine-Westphalia,Single-person household,No,0.98781,605,605,0.97906,0.99656
2016,North Rhine-Westphalia,Couple without children,No,0.98064,774,774,0.97093,0.99035
2016,North Rhine-Westphalia,Single parent,No,0.93596,293,293,0.90787,0.96404
2016,North Rhine-Westphalia,Couple with children,Yes,0.06244,81,1139,0.04838,0.07650
2016,North Rhine-Westphalia,Couple with children,No,0.92908,1058,1139,0.91417,0.94400
2016,North Rhine-Westphalia,Other Combinations,No,0.95856,44,44,0.89899,1.01813
2016,Hesse,Single-person household,No,0.99497,209,209,0.98536,1.00458
2016,Hesse,Couple without children,No,0.96725,271,271,0.94602,0.98848
2016,Hesse,Single parent,No,0.95726,102,102,0.91781,0.99671
2016,Hesse,Couple with children,No,0.91631,320,320,0.88592,0.94670
2016,"Rhineland-Palatinate, Saarland",Single-person household,No,0.99098,205,205,0.97801,1.00395
2016,"Rhineland-Palatinate, Saarland",Couple without children,No,0.98521,234,234,0.96971,1.00071
2016,"Rhineland-Palatinate, Saarland",Single parent,No,0.91541,74,74,0.85158,0.97925
2016,"Rhineland-Palatinate, Saarland",Couple with children,Yes,0.12222,34,296,0.08484,0.15960
2016,"Rhineland-Palatinate, Saarland",Couple with children,No,0.86686,262,296,0.82810,0.90563
2016,Baden-Wuerttemberg,Single-person household,No,0.98149,342,342,0.96718,0.99580
2016,Baden-Wuerttemberg,Couple without children,No,0.97590,421,421,0.96124,0.99057
