year,quintil_oecd_hh,regtyp,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,Urban regions,Yes,0.01883,66,1987,0.01285,0.02481
2016,1st Quintile,Urban regions,No,0.95340,1921,1987,0.94413,0.96267
2016,1st Quintile,Rural regions,Yes,0.04708,69,1109,0.03461,0.05955
2016,1st Quintile,Rural regions,No,0.92957,1040,1109,0.91451,0.94464
2016,2nd Quintile,Urban regions,Yes,0.02907,87,1849,0.02141,0.03673
2016,2nd Quintile,Urban regions,No,0.97093,1762,1849,0.96327,0.97859
2016,2nd Quintile,Rural regions,Yes,0.06863,102,1192,0.05427,0.08299
2016,2nd Quintile,Rural regions,No,0.93137,1090,1192,0.91701,0.94573
2016,3rd Quintile,Urban regions,Yes,0.03757,99,1725,0.02859,0.04655
2016,3rd Quintile,Urban regions,No,0.96243,1626,1725,0.95345,0.97141
2016,3rd Quintile,Rural regions,Yes,0.05302,65,1018,0.03925,0.06679
2016,3rd Quintile,Rural regions,No,0.94698,953,1018,0.93321,0.96075
2016,4th Quintile,Urban regions,Yes,0.02595,75,1761,0.01852,0.03338
2016,4th Quintile,Urban regions,No,0.97405,1686,1761,0.96662,0.98148
2016,4th Quintile,Rural regions,Yes,0.03739,44,901,0.02500,0.04979
2016,4th Quintile,Rural regions,No,0.96261,857,901,0.95021,0.97500
2016,5th Quintile,Urban regions,Yes,0.02292,65,2050,0.01644,0.02940
2016,5th Quintile,Urban regions,No,0.97708,1985,2050,0.97060,0.98356
2016,5th Quintile,Rural regions,Yes,0.03659,37,705,0.02272,0.05046
2016,5th Quintile,Rural regions,No,0.96341,668,705,0.94954,0.97728
2021,1st Quintile,Urban regions,No,0.93895,1323,1323,0.92605,0.95186
2021,1st Quintile,Rural regions,No,0.95082,666,666,0.93438,0.96726
2021,2nd Quintile,Urban regions,Yes,0.02708,40,1332,0.01836,0.03580
2021,2nd Quintile,Urban regions,No,0.96417,1292,1332,0.95418,0.97416
2021,2nd Quintile,Rural regions,Yes,0.04430,51,852,0.03047,0.05812
2021,2nd Quintile,Rural regions,No,0.95245,801,852,0.93815,0.96675
2021,3rd Quintile,Urban regions,Yes,0.02439,44,1299,0.01600,0.03279
2021,3rd Quintile,Urban regions,No,0.97359,1255,1299,0.96486,0.98231
2021,3rd Quintile,Rural regions,Yes,0.03988,42,725,0.02563,0.05414
2021,3rd Quintile,Rural regions,No,0.95899,683,725,0.94454,0.97344
2021,4th Quintile,Urban regions,Yes,0.02393,37,1396,0.01591,0.03195
2021,4th Quintile,Urban regions,No,0.97497,1359,1396,0.96677,0.98317
2021,4th Quintile,Rural regions,Yes,0.04276,43,682,0.02756,0.05795
2021,4th Quintile,Rural regions,No,0.95684,639,682,0.94157,0.97210
2021,5th Quintile,Urban regions,Yes,0.01364,36,2018,0.00858,0.01870
2021,5th Quintile,Urban regions,No,0.98356,1982,2018,0.97801,0.98911
2021,5th Quintile,Rural regions,Yes,0.02313,33,691,0.01192,0.03435
2021,5th Quintile,Rural regions,No,0.96844,658,691,0.95539,0.98148
