year,pgisced97,regtyp,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Pre-primary Level,Urban regions,(0) No qualification (yet),0.99739,150,150,0.98919,1.00558
1985,Primary Level,Urban regions,(1a) Inadequately completed,0.90455,708,708,0.88289,0.92621
1985,Primary Level,Rural regions,(1a) Inadequately completed,0.76446,97,97,0.67957,0.84934
1985,Lower Secondary Level,Urban regions,(1b) General Elementary School,0.81546,1958,2320,0.79967,0.83125
1985,Lower Secondary Level,Urban regions,(2) Intermediate General/Vocational Qualification,0.18454,362,2320,0.16875,0.20033
1985,Lower Secondary Level,Rural regions,(1b) General Elementary School,0.84900,629,741,0.82320,0.87480
1985,Lower Secondary Level,Rural regions,(2) Intermediate General/Vocational Qualification,0.15081,112,741,0.12503,0.17660
1985,Upper Secondary Level,Urban regions,(1a) Inadequately completed,0.00537,82,4019,0.00311,0.00762
1985,Upper Secondary Level,Urban regions,(1c) Basic Vocational Qualification,0.67836,2700,4019,0.66392,0.69281
1985,Upper Secondary Level,Urban regions,(2) Intermediate General/Vocational Qualification,0.24698,897,4019,0.23364,0.26031
1985,Upper Secondary Level,Urban regions,(2c_gen) General Maturity Certificate,0.06665,340,4019,0.05893,0.07436
1985,Upper Secondary Level,Rural regions,(1c) Basic Vocational Qualification,0.74142,844,1126,0.71583,0.76700
1985,Upper Secondary Level,Rural regions,(2) Intermediate General/Vocational Qualification,0.22671,245,1126,0.20225,0.25118
1985,Upper Secondary Level,Rural regions,(2c_gen) General Maturity Certificate,0.02716,37,1126,0.01767,0.03666
1985,First Stage of Tertiary Education,Urban regions,(1c) Basic Vocational Qualification,0.44519,216,481,0.40073,0.48965
1985,First Stage of Tertiary Education,Urban regions,(2) Intermediate General/Vocational Qualification,0.31763,154,481,0.27598,0.35928
1985,First Stage of Tertiary Education,Urban regions,(2c_voc) Vocational Maturity Certificate,0.23314,111,481,0.19531,0.27097
1985,First Stage of Tertiary Education,Rural regions,(1c) Basic Vocational Qualification,0.49581,65,110,0.40194,0.58967
1985,First Stage of Tertiary Education,Rural regions,(2) Intermediate General/Vocational Qualification,0.30794,45,110,0.22128,0.39461
