"pgcasmin","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"(0) in school","1985","66 und älter","","","",""
"(1a) inadequately completed","1985","16-34 Jahre alt","251","0.0280760196717545","0.0230214841804382","0.0331305551630709"
"(1a) inadequately completed","1985","35-65 Jahre alt","649","0.0259167323511707","0.0218017055989504","0.030031759103391"
"(1a) inadequately completed","1985","66 und älter","","","",""
"(1b) general elementary school","1985","16-34 Jahre alt","798","0.144190691972344","0.133442028932512","0.154939355012175"
"(1b) general elementary school","1985","35-65 Jahre alt","1436","0.24877356512541","0.237577329093486","0.259969801157333"
"(1b) general elementary school","1985","66 und älter","399","0.363822963773902","0.335596917987486","0.392049009560319"
"(1c) basic vocational qualification","1985","16-34 Jahre alt","1129","0.292702448791993","0.278780129560419","0.306624768023568"
"(1c) basic vocational qualification","1985","35-65 Jahre alt","2276","0.451447333167971","0.438558986451196","0.464335679884747"
"(1c) basic vocational qualification","1985","66 und älter","433","0.38390688567626","0.355373577830753","0.412440193521767"
"(2b) intermediate general qualification","1985","16-34 Jahre alt","370","0.107345190118969","0.0978734362943004","0.116816943943637"
"(2b) intermediate general qualification","1985","35-65 Jahre alt","77","0.0169521821514181","0.0136088107264626","0.0202955535763737"
"(2b) intermediate general qualification","1985","66 und älter","","","",""
"(2a) intermediate vocational","1985","16-34 Jahre alt","603","0.17653906036348","0.16487259651413","0.18820552421283"
"(2a) intermediate vocational","1985","35-65 Jahre alt","602","0.131202123184519","0.122458039477424","0.139946206891614"
"(2a) intermediate vocational","1985","66 und älter","139","0.126560405726423","0.107053815514972","0.146066995937873"
"(2c_gen) general maturity certificate","1985","16-34 Jahre alt","321","0.0771881580886552","0.0690217843677025","0.0853545318096079"
"(2c_gen) general maturity certificate","1985","35-65 Jahre alt","50","0.00520309661335111","0.0033397971585343","0.00706639606816792"
"(2c_gen) general maturity certificate","1985","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","1985","16-34 Jahre alt","203","0.0551797123854549","0.0481931803655188","0.0621662444053909"
"(2c_voc) vocational maturity certificate","1985","35-65 Jahre alt","175","0.0287853060101318","0.0244549106671291","0.0331157013531344"
"(2c_voc) vocational maturity certificate","1985","66 und älter","37","0.0306607101246854","0.0205461964376318","0.0407752238117389"
"(3a) lower tertiary education","1985","16-34 Jahre alt","63","0.0175780516592421","0.0135570733623366","0.0215990299561476"
"(3a) lower tertiary education","1985","35-65 Jahre alt","161","0.0349472069236297","0.0301909394328208","0.0397034744144387"
"(3a) lower tertiary education","1985","66 und älter","","","",""
"(3b) higher tertiary education","1985","16-34 Jahre alt","177","0.0477613439224659","0.0412359233820673","0.0542867644628645"
"(3b) higher tertiary education","1985","35-65 Jahre alt","301","0.0567724544723985","0.0507792158111396","0.0627656931336574"
"(3b) higher tertiary education","1985","66 und älter","32","0.0288186254544812","0.0190033430978654","0.038633907811097"
"(0) in school","1986","16-34 Jahre alt","189","0.0449553580318818","0.0385516779881761","0.0513590380755874"
"(0) in school","1986","35-65 Jahre alt","","","",""
"(0) in school","1986","66 und älter","","","",""
"(1a) inadequately completed","1986","16-34 Jahre alt","233","0.0273684693978209","0.0223261948962962","0.0324107438993456"
"(1a) inadequately completed","1986","35-65 Jahre alt","599","0.0264357737775897","0.0221726596605492","0.0306988878946303"
"(1a) inadequately completed","1986","66 und älter","","","",""
"(1b) general elementary school","1986","16-34 Jahre alt","788","0.143084330112905","0.132262713655968","0.153905946569843"
"(1b) general elementary school","1986","35-65 Jahre alt","1329","0.236505295394935","0.225213263651083","0.247797327138787"
"(1b) general elementary school","1986","66 und älter","370","0.351147558319457","0.322234598792741","0.380060517846172"
"(1c) basic vocational qualification","1986","16-34 Jahre alt","1065","0.28474689500072","0.27079971415145","0.29869407584999"
"(1c) basic vocational qualification","1986","35-65 Jahre alt","2173","0.454223007634267","0.440992064059005","0.467453951209528"
"(1c) basic vocational qualification","1986","66 und älter","394","0.38068759901259","0.35127631376302","0.41009888426216"
"(2b) intermediate general qualification","1986","16-34 Jahre alt","367","0.106545357983459","0.0970101410254155","0.116080574941503"
"(2b) intermediate general qualification","1986","35-65 Jahre alt","71","0.0167446525499126","0.0133349234983817","0.0201543816014434"
"(2b) intermediate general qualification","1986","66 und älter","30","0.0332554954701406","0.0223946829351052","0.0441163080051761"
"(2a) intermediate vocational","1986","16-34 Jahre alt","592","0.178432299842454","0.166599555729936","0.190265043954972"
"(2a) intermediate vocational","1986","35-65 Jahre alt","586","0.136923971659334","0.127788879936647","0.146059063382021"
"(2a) intermediate vocational","1986","66 und älter","133","0.131992286984206","0.111489598211944","0.152494975756467"
"(2c_gen) general maturity certificate","1986","16-34 Jahre alt","348","0.0915794451647675","0.0826655086209802","0.100493381708555"
"(2c_gen) general maturity certificate","1986","35-65 Jahre alt","50","0.0052951951671341","0.00336661926932012","0.00722377106494809"
"(2c_gen) general maturity certificate","1986","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","1986","16-34 Jahre alt","211","0.0577874813461701","0.050576101428997","0.0649988612633432"
"(2c_voc) vocational maturity certificate","1986","35-65 Jahre alt","163","0.0281240925256936","0.0237307677629345","0.0325174172884527"
"(2c_voc) vocational maturity certificate","1986","66 und älter","39","0.0347308549142279","0.0236402125970518","0.045821497231404"
"(3a) lower tertiary education","1986","16-34 Jahre alt","65","0.0193387548157416","0.0150827626692207","0.0235947469622625"
"(3a) lower tertiary education","1986","35-65 Jahre alt","158","0.0359472046525038","0.0310003219543456","0.040894087350662"
"(3a) lower tertiary education","1986","66 und älter","","","",""
"(3b) higher tertiary education","1986","16-34 Jahre alt","164","0.0461616083040789","0.0396766838224226","0.0526465327857353"
"(3b) higher tertiary education","1986","35-65 Jahre alt","311","0.0598008066386307","0.05349976862975","0.0661018446475114"
"(3b) higher tertiary education","1986","66 und älter","","","",""
"(0) in school","1987","16-34 Jahre alt","193","0.0420932756675065","0.0358296255301675","0.0483569258048455"
"(0) in school","1987","35-65 Jahre alt","","","",""
"(0) in school","1987","66 und älter","","","",""
"(1a) inadequately completed","1987","16-34 Jahre alt","206","0.0246067839954004","0.0197742289138266","0.0294393390769742"
"(1a) inadequately completed","1987","35-65 Jahre alt","598","0.02859662998272","0.024121738976324","0.0330715209891159"
"(1a) inadequately completed","1987","66 und älter","","","",""
"(1b) general elementary school","1987","16-34 Jahre alt","787","0.139498644098613","0.128691267341993","0.150306020855232"
"(1b) general elementary school","1987","35-65 Jahre alt","1282","0.229462606740693","0.218173019809201","0.240752193672185"
"(1b) general elementary school","1987","66 und älter","385","0.350177272191545","0.321780114309622","0.378574430073467"
"(1c) basic vocational qualification","1987","16-34 Jahre alt","1040","0.28621313236995","0.272114123813434","0.300312140926466"
"(1c) basic vocational qualification","1987","35-65 Jahre alt","2142","0.459468304564826","0.446088074148441","0.472848534981211"
"(1c) basic vocational qualification","1987","66 und älter","411","0.384208961233361","0.355253273978492","0.413164648488229"
"(2b) intermediate general qualification","1987","16-34 Jahre alt","333","0.0887200214845568","0.0798505804157597","0.0975894625533539"
"(2b) intermediate general qualification","1987","35-65 Jahre alt","71","0.0169388505617838","0.0134742157419446","0.020403485381623"
"(2b) intermediate general qualification","1987","66 und älter","","","",""
"(2a) intermediate vocational","1987","16-34 Jahre alt","633","0.200774630109234","0.188279276038109","0.21326998418036"
"(2a) intermediate vocational","1987","35-65 Jahre alt","562","0.132957527550343","0.123841578647565","0.142073476453122"
"(2a) intermediate vocational","1987","66 und älter","137","0.135882173164337","0.115483535006945","0.156280811321728"
"(2c_gen) general maturity certificate","1987","16-34 Jahre alt","325","0.0880677383640436","0.079227800123933","0.0969076766041543"
"(2c_gen) general maturity certificate","1987","35-65 Jahre alt","50","0.00598543476599945","0.00391448551809641","0.00805638401390248"
"(2c_gen) general maturity certificate","1987","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","1987","16-34 Jahre alt","212","0.0635625049671653","0.0559522462995113","0.0711727636348193"
"(2c_voc) vocational maturity certificate","1987","35-65 Jahre alt","157","0.0275838241934445","0.0231866005317538","0.0319810478551351"
"(2c_voc) vocational maturity certificate","1987","66 und älter","37","0.0308675360042933","0.0205713589411106","0.0411637130674759"
"(3a) lower tertiary education","1987","16-34 Jahre alt","70","0.0223821776280353","0.0177679900762485","0.026996365179822"
"(3a) lower tertiary education","1987","35-65 Jahre alt","151","0.0350962659560867","0.0301554613333356","0.0400370705788379"
"(3a) lower tertiary education","1987","66 und älter","","","",""
"(3b) higher tertiary education","1987","16-34 Jahre alt","149","0.0440810913154948","0.0376779038902112","0.0504842787407784"
"(3b) higher tertiary education","1987","35-65 Jahre alt","316","0.0639105556841032","0.0573435075167628","0.0704776038514437"
"(3b) higher tertiary education","1987","66 und älter","30","0.0268175119140491","0.0172005070932338","0.0364345167348645"
"(0) in school","1988","16-34 Jahre alt","164","0.0437944365030171","0.0372298979911812","0.0503589750148529"
"(0) in school","1988","35-65 Jahre alt","","","",""
"(0) in school","1988","66 und älter","","","",""
"(1a) inadequately completed","1988","16-34 Jahre alt","188","0.0236852698548264","0.0188071419256006","0.0285633977840523"
"(1a) inadequately completed","1988","35-65 Jahre alt","548","0.0262322853401303","0.0218272706228056","0.0306373000574551"
"(1a) inadequately completed","1988","66 und älter","","","",""
"(1b) general elementary school","1988","16-34 Jahre alt","770","0.137174110753973","0.126137982048322","0.148210239459623"
"(1b) general elementary school","1988","35-65 Jahre alt","1211","0.224700047486942","0.213196333512274","0.236203761461609"
"(1b) general elementary school","1988","66 und älter","361","0.342406060196605","0.313759174975457","0.371052945417753"
"(1c) basic vocational qualification","1988","16-34 Jahre alt","989","0.288309169780075","0.273778219763025","0.302840119797125"
"(1c) basic vocational qualification","1988","35-65 Jahre alt","2033","0.460547917933516","0.446810172556661","0.474285663310371"
"(1c) basic vocational qualification","1988","66 und älter","412","0.393857740525064","0.364360271082067","0.423355209968062"
"(2b) intermediate general qualification","1988","16-34 Jahre alt","329","0.0867033274539179","0.0776763383924709","0.0957303165153648"
"(2b) intermediate general qualification","1988","35-65 Jahre alt","68","0.016784480308563","0.0132438553520627","0.0203251052650634"
"(2b) intermediate general qualification","1988","66 und älter","","","",""
"(2a) intermediate vocational","1988","16-34 Jahre alt","591","0.198926528681091","0.18612087881879","0.211732178543392"
"(2a) intermediate vocational","1988","35-65 Jahre alt","555","0.137478708997738","0.127987877805126","0.14696954019035"
"(2a) intermediate vocational","1988","66 und älter","132","0.134404840297178","0.113813119083568","0.154996561510788"
"(2c_gen) general maturity certificate","1988","16-34 Jahre alt","298","0.0883767700907568","0.0792714367353494","0.0974821034461641"
"(2c_gen) general maturity certificate","1988","35-65 Jahre alt","45","0.00555946372039781","0.00351015459471974","0.00760877284607589"
"(2c_gen) general maturity certificate","1988","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","1988","16-34 Jahre alt","200","0.0655118450881714","0.0575746708874777","0.0734490192888651"
"(2c_voc) vocational maturity certificate","1988","35-65 Jahre alt","155","0.0287743446190939","0.0241668545530991","0.0333818346850887"
"(2c_voc) vocational maturity certificate","1988","66 und älter","37","0.0323285087888402","0.0216506396282381","0.0430063779494423"
"(3a) lower tertiary education","1988","16-34 Jahre alt","69","0.0229429010400809","0.0181400044699645","0.0277457976101973"
"(3a) lower tertiary education","1988","35-65 Jahre alt","136","0.0333678852144874","0.0284179836153515","0.0383177868136233"
"(3a) lower tertiary education","1988","66 und älter","","","",""
"(3b) higher tertiary education","1988","16-34 Jahre alt","135","0.0445756407540912","0.0379555179113441","0.0511957635968383"
"(3b) higher tertiary education","1988","35-65 Jahre alt","306","0.0665548663791313","0.0596851956699387","0.0734245370883239"
"(3b) higher tertiary education","1988","66 und älter","","","",""
"(0) in school","1989","16-34 Jahre alt","176","0.0517824190425662","0.0445947620500148","0.0589700760351177"
"(0) in school","1989","35-65 Jahre alt","","","",""
"(0) in school","1989","66 und älter","","","",""
"(1a) inadequately completed","1989","16-34 Jahre alt","175","0.0234266517920809","0.0185204012781482","0.0283329023060135"
"(1a) inadequately completed","1989","35-65 Jahre alt","531","0.0280862448041454","0.0234388006835629","0.0327336889247278"
"(1a) inadequately completed","1989","66 und älter","","","",""
"(1b) general elementary school","1989","16-34 Jahre alt","725","0.134303727122242","0.123243374302195","0.14536407994229"
"(1b) general elementary school","1989","35-65 Jahre alt","1138","0.21586084247611","0.204288081624282","0.227433603327938"
"(1b) general elementary school","1989","66 und älter","360","0.347541874881178","0.31841842889071","0.376665320871646"
"(1c) basic vocational qualification","1989","16-34 Jahre alt","960","0.281213756207774","0.266630304303183","0.295797208112364"
"(1c) basic vocational qualification","1989","35-65 Jahre alt","1953","0.459361539608051","0.445343597628352","0.47337948158775"
"(1c) basic vocational qualification","1989","66 und älter","390","0.383513117603659","0.353774902341049","0.413251332866268"
"(2b) intermediate general qualification","1989","16-34 Jahre alt","301","0.0826484982987808","0.0737169336490923","0.0915800629484693"
"(2b) intermediate general qualification","1989","35-65 Jahre alt","64","0.0167737231463261","0.0131613305166922","0.02038611577596"
"(2b) intermediate general qualification","1989","66 und älter","","","",""
"(2a) intermediate vocational","1989","16-34 Jahre alt","597","0.197066597040066","0.184163663929378","0.209969530150754"
"(2a) intermediate vocational","1989","35-65 Jahre alt","533","0.138723290522385","0.129000307746875","0.148446273297895"
"(2a) intermediate vocational","1989","66 und älter","131","0.139157007768863","0.117989126821262","0.160324888716463"
"(2c_gen) general maturity certificate","1989","16-34 Jahre alt","300","0.0887738340089986","0.0795481674492651","0.097999500568732"
"(2c_gen) general maturity certificate","1989","35-65 Jahre alt","47","0.00635535548490518","0.00412003938664401","0.00859067158316635"
"(2c_gen) general maturity certificate","1989","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","1989","16-34 Jahre alt","211","0.0697034095114348","0.0614434123103951","0.0779634067124746"
"(2c_voc) vocational maturity certificate","1989","35-65 Jahre alt","152","0.0297479940260847","0.0249691309054074","0.0345268571467619"
"(2c_voc) vocational maturity certificate","1989","66 und älter","41","0.0344696571951676","0.023312223500765","0.0456270908895701"
"(3a) lower tertiary education","1989","16-34 Jahre alt","71","0.0244275624457234","0.0194201657136732","0.0294349591777736"
"(3a) lower tertiary education","1989","35-65 Jahre alt","135","0.0350164697361241","0.0298457666026451","0.040187172869603"
"(3a) lower tertiary education","1989","66 und älter","","","",""
"(3b) higher tertiary education","1989","16-34 Jahre alt","135","0.0466535445303334","0.0398126975626168","0.0534943914980499"
"(3b) higher tertiary education","1989","35-65 Jahre alt","302","0.0700745401958683","0.0628939908458048","0.0772550895459318"
"(3b) higher tertiary education","1989","66 und älter","","","",""
"(0) in school","1990","16-34 Jahre alt","163","0.0366871237854606","0.0315873213180081","0.0417869262529132"
"(0) in school","1990","35-65 Jahre alt","","","",""
"(0) in school","1990","66 und älter","","","",""
"(1a) inadequately completed","1990","16-34 Jahre alt","193","0.0229712925042911","0.018907240863684","0.0270353441448982"
"(1a) inadequately completed","1990","35-65 Jahre alt","519","0.0245848359165231","0.0209692859834473","0.0282003858495988"
"(1a) inadequately completed","1990","66 und älter","","","",""
"(1b) general elementary school","1990","16-34 Jahre alt","713","0.109481362738688","0.101010952524792","0.117951772952584"
"(1b) general elementary school","1990","35-65 Jahre alt","1285","0.185608069520215","0.17653067704999","0.19468546199044"
"(1b) general elementary school","1990","66 und älter","495","0.329936130409185","0.306101932924386","0.353770327893984"
"(1c) basic vocational qualification","1990","16-34 Jahre alt","1084","0.233891566139225","0.22240830497327","0.245374827305179"
"(1c) basic vocational qualification","1990","35-65 Jahre alt","2871","0.45321769706992","0.441595008259437","0.464840385880404"
"(1c) basic vocational qualification","1990","66 und älter","625","0.415213239293436","0.390234997979461","0.440191480607411"
"(2b) intermediate general qualification","1990","16-34 Jahre alt","440","0.0855912352535375","0.0780020059194362","0.0931804645876387"
"(2b) intermediate general qualification","1990","35-65 Jahre alt","70","0.0137118679500929","0.0109967033044707","0.0164270325957151"
"(2b) intermediate general qualification","1990","66 und älter","35","0.0280583848089309","0.0196873544495724","0.0364294151682893"
"(2a) intermediate vocational","1990","16-34 Jahre alt","1500","0.272977705571754","0.260892604316129","0.28506280682738"
"(2a) intermediate vocational","1990","35-65 Jahre alt","1001","0.150750025619019","0.142396064997068","0.159103986240971"
"(2a) intermediate vocational","1990","66 und älter","161","0.124264755040683","0.107542767593553","0.140986742487813"
"(2c_gen) general maturity certificate","1990","16-34 Jahre alt","336","0.0792314805472609","0.0719042989287767","0.0865586621657451"
"(2c_gen) general maturity certificate","1990","35-65 Jahre alt","47","0.00493164265437271","0.00329607612891227","0.00656720917983316"
"(2c_gen) general maturity certificate","1990","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","1990","16-34 Jahre alt","270","0.066351983940409","0.0596000002383165","0.0731039676425015"
"(2c_voc) vocational maturity certificate","1990","35-65 Jahre alt","186","0.0274906150504786","0.023673061972651","0.0313081681283063"
"(2c_voc) vocational maturity certificate","1990","66 und älter","41","0.0269992334837338","0.0187832453530405","0.0352152216144272"
"(3a) lower tertiary education","1990","16-34 Jahre alt","295","0.0445977486003011","0.0389980785573931","0.0501974186432091"
"(3a) lower tertiary education","1990","35-65 Jahre alt","535","0.0623811228932753","0.0567345398385434","0.0680277059480072"
"(3a) lower tertiary education","1990","66 und älter","63","0.0305614030215199","0.021836225094023","0.0392865809490168"
"(3b) higher tertiary education","1990","16-34 Jahre alt","226","0.0482185009190727","0.0424069998637641","0.0540300019743813"
"(3b) higher tertiary education","1990","35-65 Jahre alt","533","0.0773241233261033","0.0710878083661372","0.0835604382860693"
"(3b) higher tertiary education","1990","66 und älter","46","0.029497736523781","0.0209210385441559","0.0380744345034062"
"(0) in school","1991","16-34 Jahre alt","153","0.0354949600785806","0.0303730159659516","0.0406169041912097"
"(0) in school","1991","35-65 Jahre alt","","","",""
"(0) in school","1991","66 und älter","","","",""
"(1a) inadequately completed","1991","16-34 Jahre alt","206","0.0256880764170897","0.0213086822086993","0.03006747062548"
"(1a) inadequately completed","1991","35-65 Jahre alt","501","0.0256426566071988","0.0219248749999328","0.0293604382144649"
"(1a) inadequately completed","1991","66 und älter","","","",""
"(1b) general elementary school","1991","16-34 Jahre alt","666","0.105346459930776","0.0968480699951727","0.11384484986638"
"(1b) general elementary school","1991","35-65 Jahre alt","1234","0.17511168585812","0.166172491599204","0.184050880117036"
"(1b) general elementary school","1991","66 und älter","474","0.325317681298313","0.301425195206358","0.349210167390267"
"(1c) basic vocational qualification","1991","16-34 Jahre alt","1043","0.226532386522721","0.214945001022744","0.238119772022699"
"(1c) basic vocational qualification","1991","35-65 Jahre alt","2765","0.440853770884203","0.429176181100194","0.452531360668213"
"(1c) basic vocational qualification","1991","66 und älter","628","0.422155160768552","0.39696682266402","0.447343498873083"
"(2b) intermediate general qualification","1991","16-34 Jahre alt","430","0.0825078631294294","0.0748914922493078","0.0901242340095509"
"(2b) intermediate general qualification","1991","35-65 Jahre alt","72","0.0140999509478272","0.011326832116816","0.0168730697788385"
"(2b) intermediate general qualification","1991","66 und älter","34","0.0271288011512028","0.0188436427148937","0.0354139595875118"
"(2a) intermediate vocational","1991","16-34 Jahre alt","1428","0.282437042787423","0.269974976068444","0.294899109506403"
"(2a) intermediate vocational","1991","35-65 Jahre alt","1038","0.157745914240549","0.149172696423175","0.166319132057924"
"(2a) intermediate vocational","1991","66 und älter","157","0.122050221296449","0.105356161459755","0.138744281133143"
"(2c_gen) general maturity certificate","1991","16-34 Jahre alt","335","0.0768995159230287","0.0695241167367928","0.0842749151092646"
"(2c_gen) general maturity certificate","1991","35-65 Jahre alt","48","0.00559988283665901","0.00384473667503403","0.00735502899828398"
"(2c_gen) general maturity certificate","1991","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","1991","16-34 Jahre alt","275","0.068861903984024","0.061852262602792","0.075871545365256"
"(2c_voc) vocational maturity certificate","1991","35-65 Jahre alt","192","0.0296579944891366","0.0256679609976766","0.0336480279805967"
"(2c_voc) vocational maturity certificate","1991","66 und älter","40","0.0262185300739245","0.0180697468225271","0.0343673133253219"
"(3a) lower tertiary education","1991","16-34 Jahre alt","273","0.0478530824254169","0.0419441886798534","0.0537619761709804"
"(3a) lower tertiary education","1991","35-65 Jahre alt","554","0.0679051181266827","0.0619878050050196","0.0738224312483459"
"(3a) lower tertiary education","1991","66 und älter","63","0.0315851059725678","0.0226658271055925","0.040504384839543"
"(3b) higher tertiary education","1991","16-34 Jahre alt","204","0.0483787088015097","0.0424390916812975","0.0543183259217219"
"(3b) higher tertiary education","1991","35-65 Jahre alt","540","0.0833830260096231","0.0768805911754876","0.0898854608437586"
"(3b) higher tertiary education","1991","66 und älter","50","0.0335936748918237","0.0244047123173027","0.0427826374663446"
"(0) in school","1992","16-34 Jahre alt","151","0.0343119754041437","0.0291811039330534","0.0394428468752341"
"(0) in school","1992","35-65 Jahre alt","","","",""
"(0) in school","1992","66 und älter","","","",""
"(1a) inadequately completed","1992","16-34 Jahre alt","213","0.0268940104576098","0.0223340853552024","0.0314539355600173"
"(1a) inadequately completed","1992","35-65 Jahre alt","488","0.0276402647757589","0.0237551431157096","0.0315253864358082"
"(1a) inadequately completed","1992","66 und älter","","","",""
"(1b) general elementary school","1992","16-34 Jahre alt","657","0.108234313090791","0.0994772654323676","0.116991360749214"
"(1b) general elementary school","1992","35-65 Jahre alt","1176","0.167716022563935","0.158861949848646","0.176570095279225"
"(1b) general elementary school","1992","66 und älter","458","0.312706559959576","0.289031760281128","0.336381359638023"
"(1c) basic vocational qualification","1992","16-34 Jahre alt","983","0.215916677381318","0.204318919064687","0.227514435697948"
"(1c) basic vocational qualification","1992","35-65 Jahre alt","2678","0.437087519258166","0.425332463812841","0.44884257470349"
"(1c) basic vocational qualification","1992","66 und älter","634","0.424184122422222","0.398945494577097","0.449422750267348"
"(2b) intermediate general qualification","1992","16-34 Jahre alt","439","0.0843091776573655","0.0764773754797198","0.0921409798350111"
"(2b) intermediate general qualification","1992","35-65 Jahre alt","72","0.0147550359868149","0.0118976935682809","0.0176123784053489"
"(2b) intermediate general qualification","1992","66 und älter","34","0.0267471963214648","0.0185077376056269","0.0349866550373027"
"(2a) intermediate vocational","1992","16-34 Jahre alt","1338","0.28244868682649","0.269759139974693","0.295138233678287"
"(2a) intermediate vocational","1992","35-65 Jahre alt","1071","0.159888347826973","0.151202805286341","0.168573890367605"
"(2a) intermediate vocational","1992","66 und älter","162","0.130691075789382","0.113478068483931","0.147904083094833"
"(2c_gen) general maturity certificate","1992","16-34 Jahre alt","327","0.0805128673770658","0.0728435744343411","0.0881821603197905"
"(2c_gen) general maturity certificate","1992","35-65 Jahre alt","49","0.00642475892997713","0.00453133073936242","0.00831818712059183"
"(2c_gen) general maturity certificate","1992","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","1992","16-34 Jahre alt","281","0.0711122800442226","0.0638678576521128","0.0783567024363325"
"(2c_voc) vocational maturity certificate","1992","35-65 Jahre alt","201","0.0321847645065521","0.0280022116759196","0.0363673173371847"
"(2c_voc) vocational maturity certificate","1992","66 und älter","40","0.0274166994471326","0.0190776277583506","0.0357557711359146"
"(3a) lower tertiary education","1992","16-34 Jahre alt","251","0.0464572463231118","0.0405246244458004","0.0523898682004233"
"(3a) lower tertiary education","1992","35-65 Jahre alt","556","0.0679542960928702","0.0619901660577944","0.0739184261279459"
"(3a) lower tertiary education","1992","66 und älter","64","0.033101769878372","0.0239656306811785","0.0422379090755655"
"(3b) higher tertiary education","1992","16-34 Jahre alt","195","0.049802765437882","0.0436710292384653","0.0559345016372987"
"(3b) higher tertiary education","1992","35-65 Jahre alt","549","0.0863489900589527","0.079692598814469","0.0930053813034365"
"(3b) higher tertiary education","1992","66 und älter","45","0.0288254474647229","0.0202810116148292","0.0373698833146165"
"(0) in school","1993","16-34 Jahre alt","129","0.0321492804513026","0.0271233608118115","0.0371752000907936"
"(0) in school","1993","35-65 Jahre alt","","","",""
"(0) in school","1993","66 und älter","","","",""
"(1a) inadequately completed","1993","16-34 Jahre alt","230","0.032027055854779","0.0270103823072967","0.0370437294022613"
"(1a) inadequately completed","1993","35-65 Jahre alt","470","0.0295991416553898","0.0255385878513225","0.0336596954594571"
"(1a) inadequately completed","1993","66 und älter","","","",""
"(1b) general elementary school","1993","16-34 Jahre alt","627","0.103157283412051","0.094490981510498","0.111823585313604"
"(1b) general elementary school","1993","35-65 Jahre alt","1110","0.160964866656977","0.152159939948724","0.16976979336523"
"(1b) general elementary school","1993","66 und älter","470","0.318399588004614","0.294769281335753","0.342029894673475"
