year,bula_h,migback,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No migration background,(1b) General Elementary School,0.15917,61,289,0.11692,0.20143
1984,Schleswig-Holstein,No migration background,(1c) Basic Vocational Qualification,0.35007,143,289,0.29498,0.40516
1984,Schleswig-Holstein,No migration background,(2) Intermediate General/Vocational Qualification,0.19602,85,289,0.15017,0.24187
1984,Hamburg,No migration background,(1b) General Elementary School,0.16096,34,174,0.10620,0.21572
1984,Hamburg,No migration background,(1c) Basic Vocational Qualification,0.37568,86,174,0.30351,0.44785
1984,Hamburg,No migration background,(2) Intermediate General/Vocational Qualification,0.21555,54,174,0.15428,0.27683
1984,Lower Saxony,No migration background,(1b) General Elementary School,0.21813,249,916,0.19137,0.24489
1984,Lower Saxony,No migration background,(1c) Basic Vocational Qualification,0.31701,395,916,0.28686,0.34716
1984,Lower Saxony,No migration background,(2) Intermediate General/Vocational Qualification,0.17550,218,916,0.15085,0.20015
1984,Lower Saxony,No migration background,(3b) Higher Tertiary Education,0.04105,54,916,0.02820,0.05391
1984,Lower Saxony,Direct migration background,(1a) Inadequately completed,0.14832,59,160,0.09308,0.20357
1984,Lower Saxony,Direct migration background,(1b) General Elementary School,0.23089,55,160,0.16539,0.29639
1984,Lower Saxony,Direct migration background,(1c) Basic Vocational Qualification,0.27526,46,160,0.20583,0.34468
1984,Bremen,No migration background,(1c) Basic Vocational Qualification,0.41262,42,42,0.26192,0.56331
1984,North Rhine-Westphalia,No migration background,(0) No qualification (yet),0.01678,48,2238,0.01145,0.02210
1984,North Rhine-Westphalia,No migration background,(1b) General Elementary School,0.17710,443,2238,0.16128,0.19292
1984,North Rhine-Westphalia,No migration background,(1c) Basic Vocational Qualification,0.35269,956,2238,0.33289,0.37249
1984,North Rhine-Westphalia,No migration background,(2) Intermediate General/Vocational Qualification,0.14732,419,2238,0.13263,0.16201
1984,North Rhine-Westphalia,No migration background,(2c_gen) General Maturity Certificate,0.03109,90,2238,0.02389,0.03828
1984,North Rhine-Westphalia,No migration background,(2c_voc) Vocational Maturity Certificate,0.03179,90,2238,0.02452,0.03906
1984,North Rhine-Westphalia,No migration background,(3a) Lower Tertiary Education,0.02559,71,2238,0.01905,0.03214
1984,North Rhine-Westphalia,No migration background,(3b) Higher Tertiary Education,0.04249,121,2238,0.03413,0.05084
1984,North Rhine-Westphalia,Direct migration background,(1a) Inadequately completed,0.19263,317,882,0.16658,0.21867
1984,North Rhine-Westphalia,Direct migration background,(1b) General Elementary School,0.22521,284,882,0.19762,0.25279
1984,North Rhine-Westphalia,Direct migration background,(1c) Basic Vocational Qualification,0.22112,167,882,0.19371,0.24852
1984,North Rhine-Westphalia,Direct migration background,(2) Intermediate General/Vocational Qualification,0.07582,35,882,0.05834,0.09330
1984,North Rhine-Westphalia,Direct migration background,(2c_gen) General Maturity Certificate,0.02744,40,882,0.01665,0.03823
1984,North Rhine-Westphalia,Direct migration background,(2c_voc) Vocational Maturity Certificate,0.05456,39,882,0.03956,0.06955
1984,Hesse,No migration background,(1b) General Elementary School,0.18956,160,696,0.16042,0.21870
1984,Hesse,No migration background,(1c) Basic Vocational Qualification,0.31890,280,696,0.28425,0.35355
1984,Hesse,No migration background,(2) Intermediate General/Vocational Qualification,0.18472,170,696,0.15587,0.21357
1984,Hesse,No migration background,(2c_gen) General Maturity Certificate,0.04027,37,696,0.02565,0.05489
1984,Hesse,No migration background,(3b) Higher Tertiary Education,0.05537,49,696,0.03837,0.07238
1984,Hesse,Direct migration background,(1a) Inadequately completed,0.13952,123,381,0.10469,0.17436
1984,Hesse,Direct migration background,(1b) General Elementary School,0.26619,150,381,0.22175,0.31063
1984,Hesse,Direct migration background,(1c) Basic Vocational Qualification,0.26425,108,381,0.21991,0.30858
1984,"Rhineland-Palatinate, Saarland",No migration background,(1b) General Elementary School,0.29068,224,617,0.25482,0.32654
1984,"Rhineland-Palatinate, Saarland",No migration background,(1c) Basic Vocational Qualification,0.35802,289,617,0.32016,0.39588
1984,"Rhineland-Palatinate, Saarland",No migration background,(2) Intermediate General/Vocational Qualification,0.12826,104,617,0.10185,0.15466
1984,"Rhineland-Palatinate, Saarland",Direct migration background,(1a) Inadequately completed,0.25875,62,138,0.18542,0.33209
1984,"Rhineland-Palatinate, Saarland",Direct migration background,(1b) General Elementary School,0.21381,41,138,0.14515,0.28246
1984,"Rhineland-Palatinate, Saarland",Direct migration background,(1c) Basic Vocational Qualification,0.28316,35,138,0.20772,0.35860
1984,Baden-Wuerttemberg,No migration background,(1b) General Elementary School,0.22343,344,1313,0.20089,0.24597
1984,Baden-Wuerttemberg,No migration background,(1c) Basic Vocational Qualification,0.31883,539,1313,0.29361,0.34405
1984,Baden-Wuerttemberg,No migration background,(2) Intermediate General/Vocational Qualification,0.14795,246,1313,0.12874,0.16716
1984,Baden-Wuerttemberg,No migration background,(2c_gen) General Maturity Certificate,0.02222,36,1313,0.01425,0.03020
1984,Baden-Wuerttemberg,No migration background,(2c_voc) Vocational Maturity Certificate,0.02816,48,1313,0.01921,0.03711
1984,Baden-Wuerttemberg,No migration background,(3a) Lower Tertiary Education,0.02310,38,1313,0.01497,0.03122
1984,Baden-Wuerttemberg,No migration background,(3b) Higher Tertiary Education,0.03365,62,1313,0.02389,0.04341
1984,Baden-Wuerttemberg,Direct migration background,(1a) Inadequately completed,0.16169,291,776,0.13577,0.18761
1984,Baden-Wuerttemberg,Direct migration background,(1b) General Elementary School,0.29066,267,776,0.25870,0.32263
1984,Baden-Wuerttemberg,Direct migration background,(1c) Basic Vocational Qualification,0.24367,187,776,0.21344,0.27389
1984,Baden-Wuerttemberg,Direct migration background,(2) Intermediate General/Vocational Qualification,0.07824,31,776,0.05933,0.09715
1984,Bavaria,No migration background,(1b) General Elementary School,0.19263,347,1586,0.17322,0.21205
1984,Bavaria,No migration background,(1c) Basic Vocational Qualification,0.35224,677,1586,0.32872,0.37575
1984,Bavaria,No migration background,(2) Intermediate General/Vocational Qualification,0.16686,333,1586,0.14851,0.18522
1984,Bavaria,No migration background,(2c_gen) General Maturity Certificate,0.02009,45,1586,0.01318,0.02700
