year,quintil_oecd,sex,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,male,(1a) Inadequately completed,0.04759,151,1017,0.03450,0.06068
1984,1st Quintile,male,(1b) General Elementary School,0.22081,283,1017,0.19531,0.24632
1984,1st Quintile,male,(1c) Basic Vocational Qualification,0.48406,407,1017,0.45333,0.51479
1984,1st Quintile,male,(2) Intermediate General/Vocational Qualification,0.07302,57,1017,0.05702,0.08902
1984,1st Quintile,male,(2c_gen) General Maturity Certificate,0.06761,72,1017,0.05217,0.08305
1984,1st Quintile,male,(2c_voc) Vocational Maturity Certificate,0.03564,47,1017,0.02424,0.04704
1984,1st Quintile,female,(1a) Inadequately completed,0.04722,227,1322,0.03578,0.05865
1984,1st Quintile,female,(1b) General Elementary School,0.47728,585,1322,0.45034,0.50421
1984,1st Quintile,female,(1c) Basic Vocational Qualification,0.26606,297,1322,0.24223,0.28989
1984,1st Quintile,female,(2) Intermediate General/Vocational Qualification,0.11035,120,1322,0.09345,0.12724
1984,1st Quintile,female,(2c_gen) General Maturity Certificate,0.03793,59,1322,0.02763,0.04823
1984,1st Quintile,female,(2c_voc) Vocational Maturity Certificate,0.02328,34,1322,0.01515,0.03141
1984,2nd Quintile,male,(1a) Inadequately completed,0.02644,105,1065,0.01680,0.03608
1984,2nd Quintile,male,(1b) General Elementary School,0.18757,249,1065,0.16411,0.21103
1984,2nd Quintile,male,(1c) Basic Vocational Qualification,0.55783,525,1065,0.52799,0.58768
1984,2nd Quintile,male,(2) Intermediate General/Vocational Qualification,0.12012,107,1065,0.10058,0.13965
1984,2nd Quintile,male,(2c_gen) General Maturity Certificate,0.03838,46,1065,0.02684,0.04993
1984,2nd Quintile,male,(2c_voc) Vocational Maturity Certificate,0.02274,33,1065,0.01378,0.03170
1984,2nd Quintile,female,(1a) Inadequately completed,0.03377,163,1198,0.02354,0.04400
1984,2nd Quintile,female,(1b) General Elementary School,0.42713,488,1198,0.39911,0.45516
1984,2nd Quintile,female,(1c) Basic Vocational Qualification,0.31157,344,1198,0.28533,0.33780
1984,2nd Quintile,female,(2) Intermediate General/Vocational Qualification,0.15318,163,1198,0.13278,0.17359
1984,2nd Quintile,female,(2c_gen) General Maturity Certificate,0.02299,40,1198,0.01450,0.03149
1984,3rd Quintile,male,(1a) Inadequately completed,0.02079,84,1167,0.01260,0.02898
1984,3rd Quintile,male,(1b) General Elementary School,0.13035,194,1167,0.11102,0.14967
1984,3rd Quintile,male,(1c) Basic Vocational Qualification,0.54275,560,1167,0.51415,0.57134
1984,3rd Quintile,male,(2) Intermediate General/Vocational Qualification,0.14769,156,1167,0.12733,0.16806
1984,3rd Quintile,male,(2c_gen) General Maturity Certificate,0.02901,40,1167,0.01937,0.03864
1984,3rd Quintile,male,(2c_voc) Vocational Maturity Certificate,0.04043,49,1167,0.02913,0.05174
1984,3rd Quintile,male,(3a) Lower Tertiary Education,0.03481,35,1167,0.02429,0.04533
1984,3rd Quintile,male,(3b) Higher Tertiary Education,0.04094,49,1167,0.02957,0.05232
1984,3rd Quintile,female,(1a) Inadequately completed,0.01726,90,1059,0.00941,0.02511
1984,3rd Quintile,female,(1b) General Elementary School,0.36135,406,1059,0.33240,0.39030
1984,3rd Quintile,female,(1c) Basic Vocational Qualification,0.31850,347,1059,0.29042,0.34657
1984,3rd Quintile,female,(2) Intermediate General/Vocational Qualification,0.22062,216,1059,0.19564,0.24561
1984,4th Quintile,male,(1a) Inadequately completed,0.02054,86,1237,0.01263,0.02844
1984,4th Quintile,male,(1b) General Elementary School,0.09348,161,1237,0.07725,0.10971
