"pgcasmin","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"(0) in school","1984","(noch) kein Abschluss","maennlich","100","0.423964998088509","0.384290229750336","0.463639766426682"
"(0) in school","1984","(noch) kein Abschluss","weiblich","96","0.380714307004267","0.34514816958905","0.416280444419483"
"(0) in school","1984","Hauptschulabschluss","maennlich","","","",""
"(0) in school","1984","Hauptschulabschluss","weiblich","","","",""
"(0) in school","1984","Realschulabschluss","maennlich","","","",""
"(0) in school","1984","Realschulabschluss","weiblich","","","",""
"(0) in school","1984","(Fach-)Abitur","maennlich","","","",""
"(0) in school","1984","(Fach-)Abitur","weiblich","","","",""
"(0) in school","1984","AkademikerInnen","maennlich","","","",""
"(0) in school","1984","AkademikerInnen","weiblich","","","",""
"(1a) inadequately completed","1984","(noch) kein Abschluss","maennlich","496","0.576035001911491","0.536360233573318","0.615709770249664"
"(1a) inadequately completed","1984","(noch) kein Abschluss","weiblich","620","0.619285692995733","0.583719555580517","0.65485183041095"
"(1a) inadequately completed","1984","Hauptschulabschluss","maennlich","","","",""
"(1a) inadequately completed","1984","Hauptschulabschluss","weiblich","","","",""
"(1a) inadequately completed","1984","Realschulabschluss","maennlich","","","",""
"(1a) inadequately completed","1984","Realschulabschluss","weiblich","","","",""
"(1a) inadequately completed","1984","(Fach-)Abitur","maennlich","","","",""
"(1a) inadequately completed","1984","(Fach-)Abitur","weiblich","","","",""
"(1a) inadequately completed","1984","AkademikerInnen","maennlich","","","",""
"(1a) inadequately completed","1984","AkademikerInnen","weiblich","","","",""
"(1b) general elementary school","1984","(noch) kein Abschluss","maennlich","","","",""
"(1b) general elementary school","1984","(noch) kein Abschluss","weiblich","","","",""
"(1b) general elementary school","1984","Hauptschulabschluss","maennlich","990","0.209700812258765","0.196258078614719","0.223143545902811"
"(1b) general elementary school","1984","Hauptschulabschluss","weiblich","2030","0.526184949779007","0.510237855200592","0.542132044357421"
"(1b) general elementary school","1984","Realschulabschluss","maennlich","","","",""
"(1b) general elementary school","1984","Realschulabschluss","weiblich","","","",""
"(1b) general elementary school","1984","(Fach-)Abitur","maennlich","","","",""
"(1b) general elementary school","1984","(Fach-)Abitur","weiblich","","","",""
"(1b) general elementary school","1984","AkademikerInnen","maennlich","","","",""
"(1b) general elementary school","1984","AkademikerInnen","weiblich","","","",""
"(1c) basic vocational qualification","1984","(noch) kein Abschluss","maennlich","","","",""
"(1c) basic vocational qualification","1984","(noch) kein Abschluss","weiblich","","","",""
"(1c) basic vocational qualification","1984","Hauptschulabschluss","maennlich","2533","0.790299187741235","0.776856454097189","0.803741921385281"
"(1c) basic vocational qualification","1984","Hauptschulabschluss","weiblich","1736","0.473815050220993","0.457867955642579","0.489762144799408"
"(1c) basic vocational qualification","1984","Realschulabschluss","maennlich","","","",""
"(1c) basic vocational qualification","1984","Realschulabschluss","weiblich","","","",""
"(1c) basic vocational qualification","1984","(Fach-)Abitur","maennlich","","","",""
"(1c) basic vocational qualification","1984","(Fach-)Abitur","weiblich","","","",""
"(1c) basic vocational qualification","1984","AkademikerInnen","maennlich","","","",""
"(1c) basic vocational qualification","1984","AkademikerInnen","weiblich","","","",""
"(2b) intermediate general qualification","1984","(noch) kein Abschluss","maennlich","","","",""
"(2b) intermediate general qualification","1984","(noch) kein Abschluss","weiblich","","","",""
"(2b) intermediate general qualification","1984","Hauptschulabschluss","maennlich","","","",""
"(2b) intermediate general qualification","1984","Hauptschulabschluss","weiblich","","","",""
"(2b) intermediate general qualification","1984","Realschulabschluss","maennlich","180","0.205138855847","0.17694499314415","0.23333271854985"
"(2b) intermediate general qualification","1984","Realschulabschluss","weiblich","297","0.267894990092317","0.241723965001843","0.294066015182792"
"(2b) intermediate general qualification","1984","(Fach-)Abitur","maennlich","","","",""
"(2b) intermediate general qualification","1984","(Fach-)Abitur","weiblich","","","",""
"(2b) intermediate general qualification","1984","AkademikerInnen","maennlich","","","",""
"(2b) intermediate general qualification","1984","AkademikerInnen","weiblich","","","",""
"(2a) intermediate vocational","1984","(noch) kein Abschluss","maennlich","","","",""
"(2a) intermediate vocational","1984","(noch) kein Abschluss","weiblich","","","",""
"(2a) intermediate vocational","1984","Hauptschulabschluss","maennlich","","","",""
"(2a) intermediate vocational","1984","Hauptschulabschluss","weiblich","","","",""
"(2a) intermediate vocational","1984","Realschulabschluss","maennlich","608","0.794861144153","0.76666728145015","0.82305500685585"
"(2a) intermediate vocational","1984","Realschulabschluss","weiblich","803","0.732105009907683","0.705933984817208","0.758276034998157"
"(2a) intermediate vocational","1984","(Fach-)Abitur","maennlich","","","",""
"(2a) intermediate vocational","1984","(Fach-)Abitur","weiblich","","","",""
"(2a) intermediate vocational","1984","AkademikerInnen","maennlich","","","",""
"(2a) intermediate vocational","1984","AkademikerInnen","weiblich","","","",""
"(2c_gen) general maturity certificate","1984","(noch) kein Abschluss","maennlich","","","",""
"(2c_gen) general maturity certificate","1984","(noch) kein Abschluss","weiblich","","","",""
"(2c_gen) general maturity certificate","1984","Hauptschulabschluss","maennlich","","","",""
"(2c_gen) general maturity certificate","1984","Hauptschulabschluss","weiblich","","","",""
"(2c_gen) general maturity certificate","1984","Realschulabschluss","maennlich","","","",""
"(2c_gen) general maturity certificate","1984","Realschulabschluss","weiblich","","","",""
"(2c_gen) general maturity certificate","1984","(Fach-)Abitur","maennlich","238","0.444806367428008","0.402052820735386","0.487559914120629"
"(2c_gen) general maturity certificate","1984","(Fach-)Abitur","weiblich","177","0.474646350800698","0.422480330138565","0.52681237146283"
"(2c_gen) general maturity certificate","1984","AkademikerInnen","maennlich","","","",""
"(2c_gen) general maturity certificate","1984","AkademikerInnen","weiblich","","","",""
"(2c_voc) vocational maturity certificate","1984","(noch) kein Abschluss","maennlich","","","",""
"(2c_voc) vocational maturity certificate","1984","(noch) kein Abschluss","weiblich","","","",""
"(2c_voc) vocational maturity certificate","1984","Hauptschulabschluss","maennlich","","","",""
"(2c_voc) vocational maturity certificate","1984","Hauptschulabschluss","weiblich","","","",""
"(2c_voc) vocational maturity certificate","1984","Realschulabschluss","maennlich","","","",""
"(2c_voc) vocational maturity certificate","1984","Realschulabschluss","weiblich","","","",""
"(2c_voc) vocational maturity certificate","1984","(Fach-)Abitur","maennlich","281","0.555193632571993","0.512440085879371","0.597947179264614"
"(2c_voc) vocational maturity certificate","1984","(Fach-)Abitur","weiblich","175","0.525353649199302","0.47318762853717","0.577519669861435"
"(2c_voc) vocational maturity certificate","1984","AkademikerInnen","maennlich","","","",""
"(2c_voc) vocational maturity certificate","1984","AkademikerInnen","weiblich","","","",""
"(3a) lower tertiary education","1984","(noch) kein Abschluss","maennlich","","","",""
"(3a) lower tertiary education","1984","(noch) kein Abschluss","weiblich","","","",""
"(3a) lower tertiary education","1984","Hauptschulabschluss","maennlich","","","",""
"(3a) lower tertiary education","1984","Hauptschulabschluss","weiblich","","","",""
"(3a) lower tertiary education","1984","Realschulabschluss","maennlich","","","",""
"(3a) lower tertiary education","1984","Realschulabschluss","weiblich","","","",""
"(3a) lower tertiary education","1984","(Fach-)Abitur","maennlich","","","",""
"(3a) lower tertiary education","1984","(Fach-)Abitur","weiblich","","","",""
"(3a) lower tertiary education","1984","AkademikerInnen","maennlich","192","0.391932696651683","0.350642921137703","0.433222472165664"
"(3a) lower tertiary education","1984","AkademikerInnen","weiblich","74","0.299226299945608","0.243132238385057","0.35532036150616"
"(3b) higher tertiary education","1984","(noch) kein Abschluss","maennlich","","","",""
"(3b) higher tertiary education","1984","(noch) kein Abschluss","weiblich","","","",""
"(3b) higher tertiary education","1984","Hauptschulabschluss","maennlich","","","",""
"(3b) higher tertiary education","1984","Hauptschulabschluss","weiblich","","","",""
"(3b) higher tertiary education","1984","Realschulabschluss","maennlich","","","",""
"(3b) higher tertiary education","1984","Realschulabschluss","weiblich","","","",""
"(3b) higher tertiary education","1984","(Fach-)Abitur","maennlich","","","",""
"(3b) higher tertiary education","1984","(Fach-)Abitur","weiblich","","","",""
"(3b) higher tertiary education","1984","AkademikerInnen","maennlich","345","0.608067303348317","0.566777527834336","0.649357078862298"
"(3b) higher tertiary education","1984","AkademikerInnen","weiblich","182","0.700773700054392","0.644679638493841","0.756867761614943"
"(0) in school","1985","(noch) kein Abschluss","maennlich","113","0.487466068062582","0.444296472188015","0.530635663937149"
"(0) in school","1985","(noch) kein Abschluss","weiblich","75","0.354546443869031","0.315946102006099","0.393146785731963"
"(0) in school","1985","Hauptschulabschluss","maennlich","","","",""
"(0) in school","1985","Hauptschulabschluss","weiblich","","","",""
"(0) in school","1985","Realschulabschluss","maennlich","","","",""
"(0) in school","1985","Realschulabschluss","weiblich","","","",""
"(0) in school","1985","(Fach-)Abitur","maennlich","","","",""
"(0) in school","1985","(Fach-)Abitur","weiblich","","","",""
"(0) in school","1985","AkademikerInnen","maennlich","","","",""
"(0) in school","1985","AkademikerInnen","weiblich","","","",""
"(1a) inadequately completed","1985","(noch) kein Abschluss","maennlich","402","0.512533931937418","0.469364336062851","0.555703527811985"
"(1a) inadequately completed","1985","(noch) kein Abschluss","weiblich","515","0.645453556130969","0.606853214268037","0.684053897993901"
"(1a) inadequately completed","1985","Hauptschulabschluss","maennlich","","","",""
"(1a) inadequately completed","1985","Hauptschulabschluss","weiblich","","","",""
"(1a) inadequately completed","1985","Realschulabschluss","maennlich","","","",""
"(1a) inadequately completed","1985","Realschulabschluss","weiblich","","","",""
"(1a) inadequately completed","1985","(Fach-)Abitur","maennlich","","","",""
"(1a) inadequately completed","1985","(Fach-)Abitur","weiblich","","","",""
"(1a) inadequately completed","1985","AkademikerInnen","maennlich","","","",""
"(1a) inadequately completed","1985","AkademikerInnen","weiblich","","","",""
"(1b) general elementary school","1985","(noch) kein Abschluss","maennlich","","","",""
"(1b) general elementary school","1985","(noch) kein Abschluss","weiblich","","","",""
"(1b) general elementary school","1985","Hauptschulabschluss","maennlich","877","0.207327203586749","0.193165814633816","0.221488592539681"
"(1b) general elementary school","1985","Hauptschulabschluss","weiblich","1757","0.518434148911789","0.501448105684066","0.535420192139511"
"(1b) general elementary school","1985","Realschulabschluss","maennlich","","","",""
"(1b) general elementary school","1985","Realschulabschluss","weiblich","","","",""
"(1b) general elementary school","1985","(Fach-)Abitur","maennlich","","","",""
"(1b) general elementary school","1985","(Fach-)Abitur","weiblich","","","",""
"(1b) general elementary school","1985","AkademikerInnen","maennlich","","","",""
"(1b) general elementary school","1985","AkademikerInnen","weiblich","","","",""
"(1c) basic vocational qualification","1985","(noch) kein Abschluss","maennlich","","","",""
"(1c) basic vocational qualification","1985","(noch) kein Abschluss","weiblich","","","",""
"(1c) basic vocational qualification","1985","Hauptschulabschluss","maennlich","2271","0.792672796413251","0.778511407460319","0.806834185366184"
"(1c) basic vocational qualification","1985","Hauptschulabschluss","weiblich","1567","0.481565851088212","0.464579807860489","0.498551894315934"
"(1c) basic vocational qualification","1985","Realschulabschluss","maennlich","","","",""
"(1c) basic vocational qualification","1985","Realschulabschluss","weiblich","","","",""
"(1c) basic vocational qualification","1985","(Fach-)Abitur","maennlich","","","",""
"(1c) basic vocational qualification","1985","(Fach-)Abitur","weiblich","","","",""
"(1c) basic vocational qualification","1985","AkademikerInnen","maennlich","","","",""
"(1c) basic vocational qualification","1985","AkademikerInnen","weiblich","","","",""
"(2b) intermediate general qualification","1985","(noch) kein Abschluss","maennlich","","","",""
"(2b) intermediate general qualification","1985","(noch) kein Abschluss","weiblich","","","",""
"(2b) intermediate general qualification","1985","Hauptschulabschluss","maennlich","","","",""
"(2b) intermediate general qualification","1985","Hauptschulabschluss","weiblich","","","",""
"(2b) intermediate general qualification","1985","Realschulabschluss","maennlich","179","0.213314581127126","0.184113561585151","0.242515600669102"
"(2b) intermediate general qualification","1985","Realschulabschluss","weiblich","296","0.277940385245757","0.25100992262185","0.304870847869665"
"(2b) intermediate general qualification","1985","(Fach-)Abitur","maennlich","","","",""
"(2b) intermediate general qualification","1985","(Fach-)Abitur","weiblich","","","",""
"(2b) intermediate general qualification","1985","AkademikerInnen","maennlich","","","",""
"(2b) intermediate general qualification","1985","AkademikerInnen","weiblich","","","",""
"(2a) intermediate vocational","1985","(noch) kein Abschluss","maennlich","","","",""
"(2a) intermediate vocational","1985","(noch) kein Abschluss","weiblich","","","",""
