year,bula_h,regtyp,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Urban regions,(1b) General Elementary School,0.13484,32,134,0.07679,0.19289
1985,Schleswig-Holstein,Urban regions,(1c) Basic Vocational Qualification,0.33494,61,134,0.25472,0.41515
1985,Schleswig-Holstein,Urban regions,(2) Intermediate General/Vocational Qualification,0.20056,41,134,0.13250,0.26861
1985,Schleswig-Holstein,Rural regions,(1b) General Elementary School,0.20048,39,160,0.13825,0.26271
1985,Schleswig-Holstein,Rural regions,(1c) Basic Vocational Qualification,0.34964,82,160,0.27552,0.42376
1985,Schleswig-Holstein,Rural regions,(2) Intermediate General/Vocational Qualification,0.17373,39,160,0.11484,0.23262
1985,Hamburg,Urban regions,(1b) General Elementary School,0.14649,46,200,0.09736,0.19562
1985,Hamburg,Urban regions,(1c) Basic Vocational Qualification,0.36599,97,200,0.29906,0.43292
1985,Hamburg,Urban regions,(2) Intermediate General/Vocational Qualification,0.21906,57,200,0.16159,0.27653
1985,Lower Saxony,Urban regions,(1b) General Elementary School,0.16603,99,410,0.12996,0.20209
1985,Lower Saxony,Urban regions,(1c) Basic Vocational Qualification,0.30881,176,410,0.26404,0.35359
1985,Lower Saxony,Urban regions,(2) Intermediate General/Vocational Qualification,0.19799,103,410,0.15937,0.23661
1985,Lower Saxony,Urban regions,(3b) Higher Tertiary Education,0.05343,32,410,0.03164,0.07523
1985,Lower Saxony,Rural regions,(1b) General Elementary School,0.23908,159,493,0.20139,0.27676
1985,Lower Saxony,Rural regions,(1c) Basic Vocational Qualification,0.30926,217,493,0.26842,0.35010
1985,Lower Saxony,Rural regions,(2) Intermediate General/Vocational Qualification,0.17025,117,493,0.13704,0.20346
1985,Bremen,Urban regions,(1c) Basic Vocational Qualification,0.40962,52,52,0.27465,0.54458
1985,North Rhine-Westphalia,Urban regions,(0) No qualification (yet),0.01902,61,2846,0.01400,0.02404
1985,North Rhine-Westphalia,Urban regions,(1a) Inadequately completed,0.02495,277,2846,0.01922,0.03068
1985,North Rhine-Westphalia,Urban regions,(1b) General Elementary School,0.16935,617,2846,0.15557,0.18314
1985,North Rhine-Westphalia,Urban regions,(1c) Basic Vocational Qualification,0.32505,988,2846,0.30784,0.34226
1985,North Rhine-Westphalia,Urban regions,(2) Intermediate General/Vocational Qualification,0.14465,433,2846,0.13173,0.15758
1985,North Rhine-Westphalia,Urban regions,(2c_gen) General Maturity Certificate,0.03105,126,2846,0.02468,0.03743
1985,North Rhine-Westphalia,Urban regions,(2c_voc) Vocational Maturity Certificate,0.03576,124,2846,0.02893,0.04258
1985,North Rhine-Westphalia,Urban regions,(3a) Lower Tertiary Education,0.02295,66,2846,0.01745,0.02846
1985,North Rhine-Westphalia,Urban regions,(3b) Higher Tertiary Education,0.04777,154,2846,0.03994,0.05561
1985,North Rhine-Westphalia,Rural regions,(1c) Basic Vocational Qualification,0.40140,35,35,0.23663,0.56617
1985,Hesse,Urban regions,(1a) Inadequately completed,0.02081,97,929,0.01162,0.02999
1985,Hesse,Urban regions,(1b) General Elementary School,0.18622,248,929,0.16117,0.21126
1985,Hesse,Urban regions,(1c) Basic Vocational Qualification,0.30799,298,929,0.27829,0.33770
1985,Hesse,Urban regions,(2) Intermediate General/Vocational Qualification,0.17070,147,929,0.14649,0.19491
1985,Hesse,Urban regions,(2c_gen) General Maturity Certificate,0.03578,44,929,0.02383,0.04773
1985,Hesse,Urban regions,(2c_voc) Vocational Maturity Certificate,0.02833,37,929,0.01766,0.03901
1985,Hesse,Urban regions,(3b) Higher Tertiary Education,0.06200,58,929,0.04649,0.07752
1985,Hesse,Rural regions,(1b) General Elementary School,0.24259,41,123,0.16653,0.31866
1985,Hesse,Rural regions,(1c) Basic Vocational Qualification,0.28009,50,123,0.20041,0.35977
1985,Hesse,Rural regions,(2) Intermediate General/Vocational Qualification,0.20705,32,123,0.13515,0.27895
1985,"Rhineland-Palatinate, Saarland",Urban regions,(1a) Inadequately completed,0.02801,58,564,0.01438,0.04164
1985,"Rhineland-Palatinate, Saarland",Urban regions,(1b) General Elementary School,0.25591,185,564,0.21986,0.29195
1985,"Rhineland-Palatinate, Saarland",Urban regions,(1c) Basic Vocational Qualification,0.34566,234,564,0.30637,0.38494
1985,"Rhineland-Palatinate, Saarland",Urban regions,(2) Intermediate General/Vocational Qualification,0.13573,87,564,0.10744,0.16403
1985,"Rhineland-Palatinate, Saarland",Rural regions,(1b) General Elementary School,0.33105,52,108,0.24189,0.42022
1985,"Rhineland-Palatinate, Saarland",Rural regions,(1c) Basic Vocational Qualification,0.34442,56,108,0.25438,0.43446
1985,Baden-Wuerttemberg,Urban regions,(0) No qualification (yet),0.01987,37,1718,0.01327,0.02648
1985,Baden-Wuerttemberg,Urban regions,(1a) Inadequately completed,0.02355,227,1718,0.01638,0.03072
1985,Baden-Wuerttemberg,Urban regions,(1b) General Elementary School,0.20731,447,1718,0.18813,0.22648
1985,Baden-Wuerttemberg,Urban regions,(1c) Basic Vocational Qualification,0.30573,566,1718,0.28394,0.32752
1985,Baden-Wuerttemberg,Urban regions,(2) Intermediate General/Vocational Qualification,0.15466,239,1718,0.13756,0.17177
1985,Baden-Wuerttemberg,Urban regions,(2c_gen) General Maturity Certificate,0.01937,47,1718,0.01285,0.02589
1985,Baden-Wuerttemberg,Urban regions,(2c_voc) Vocational Maturity Certificate,0.02806,56,1718,0.02025,0.03587
1985,Baden-Wuerttemberg,Urban regions,(3a) Lower Tertiary Education,0.02707,41,1718,0.01939,0.03475
1985,Baden-Wuerttemberg,Urban regions,(3b) Higher Tertiary Education,0.02986,58,1718,0.02181,0.03791
1985,Baden-Wuerttemberg,Rural regions,(1b) General Elementary School,0.23205,87,227,0.17701,0.28708
1985,Baden-Wuerttemberg,Rural regions,(1c) Basic Vocational Qualification,0.30383,106,227,0.24387,0.36380
1985,Baden-Wuerttemberg,Rural regions,(2) Intermediate General/Vocational Qualification,0.10909,34,227,0.06845,0.14974
1985,Bavaria,Urban regions,(1a) Inadequately completed,0.00759,42,983,0.00216,0.01302
1985,Bavaria,Urban regions,(1b) General Elementary School,0.16439,200,983,0.14121,0.18757
