year,pgisced97,sex,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,male,(0) No qualification (yet),0.96586,95,95,0.92915,1.00257
1984,Pre-primary Level,female,(0) No qualification (yet),0.96278,92,92,0.92389,1.00168
1984,Primary Level,male,(1a) Inadequately completed,0.87501,397,397,0.84244,0.90758
1984,Primary Level,female,(1a) Inadequately completed,0.91830,578,578,0.89595,0.94065
1984,Lower Secondary Level,male,(1b) General Elementary School,0.79306,963,1143,0.76956,0.81656
1984,Lower Secondary Level,male,(2) Intermediate General/Vocational Qualification,0.20559,180,1143,0.18215,0.22903
1984,Lower Secondary Level,female,(1b) General Elementary School,0.85930,2008,2305,0.84511,0.87350
1984,Lower Secondary Level,female,(2) Intermediate General/Vocational Qualification,0.13964,297,2305,0.12549,0.15379
1984,Upper Secondary Level,male,(1a) Inadequately completed,0.00703,80,3150,0.00411,0.00995
1984,Upper Secondary Level,male,(1c) Basic Vocational Qualification,0.74503,2312,3150,0.72980,0.76025
1984,Upper Secondary Level,male,(2) Intermediate General/Vocational Qualification,0.18288,520,3150,0.16938,0.19638
1984,Upper Secondary Level,male,(2c_gen) General Maturity Certificate,0.06353,238,3150,0.05501,0.07205
1984,Upper Secondary Level,female,(1a) Inadequately completed,0.00277,35,2532,0.00072,0.00482
1984,Upper Secondary Level,female,(1c) Basic Vocational Qualification,0.65376,1642,2532,0.63522,0.67230
1984,Upper Secondary Level,female,(2) Intermediate General/Vocational Qualification,0.28658,678,2532,0.26896,0.30419
1984,Upper Secondary Level,female,(2c_gen) General Maturity Certificate,0.05480,177,2532,0.04593,0.06367
1984,First Stage of Tertiary Education,male,(1c) Basic Vocational Qualification,0.55650,211,382,0.50662,0.60639
1984,First Stage of Tertiary Education,male,(2) Intermediate General/Vocational Qualification,0.21615,85,382,0.17482,0.25748
1984,First Stage of Tertiary Education,male,(2c_voc) Vocational Maturity Certificate,0.22672,86,382,0.18467,0.26876
1984,First Stage of Tertiary Education,female,(1c) Basic Vocational Qualification,0.33385,89,272,0.27771,0.39000
1984,First Stage of Tertiary Education,female,(2) Intermediate General/Vocational Qualification,0.44836,125,272,0.38915,0.50758
1984,First Stage of Tertiary Education,female,(2c_voc) Vocational Maturity Certificate,0.20653,58,272,0.15833,0.25473
1984,Second Stage of Tertiary Education,male,(3a) Lower Tertiary Education,0.39279,192,535,0.35137,0.43421
1984,Second Stage of Tertiary Education,male,(3b) Higher Tertiary Education,0.60721,343,535,0.56579,0.64863
1984,Second Stage of Tertiary Education,female,(3a) Lower Tertiary Education,0.29987,74,255,0.24352,0.35622
1984,Second Stage of Tertiary Education,female,(3b) Higher Tertiary Education,0.70013,181,255,0.64378,0.75648
1985,Pre-primary Level,male,(0) No qualification (yet),0.99667,112,112,0.98596,1.00739
1985,Primary Level,male,(1a) Inadequately completed,0.82341,327,327,0.78201,0.86480
1985,Primary Level,female,(1a) Inadequately completed,0.91751,478,478,0.89282,0.94220
1985,Lower Secondary Level,male,(1b) General Elementary School,0.77213,847,1026,0.74645,0.79781
1985,Lower Secondary Level,male,(2) Intermediate General/Vocational Qualification,0.22766,179,1026,0.20199,0.25334
1985,Lower Secondary Level,female,(1b) General Elementary School,0.84360,1740,2035,0.82781,0.85938
1985,Lower Secondary Level,female,(2) Intermediate General/Vocational Qualification,0.15640,295,2035,0.14062,0.17219
1985,Upper Secondary Level,male,(1a) Inadequately completed,0.00680,60,2831,0.00377,0.00983
1985,Upper Secondary Level,male,(1c) Basic Vocational Qualification,0.73951,2067,2831,0.72334,0.75569
1985,Upper Secondary Level,male,(2) Intermediate General/Vocational Qualification,0.19139,489,2831,0.17690,0.20589
1985,Upper Secondary Level,male,(2c_gen) General Maturity Certificate,0.06067,215,2831,0.05188,0.06947
1985,Upper Secondary Level,female,(1a) Inadequately completed,0.00283,32,2324,0.00067,0.00500
1985,Upper Secondary Level,female,(1c) Basic Vocational Qualification,0.64087,1477,2324,0.62136,0.66038
1985,Upper Secondary Level,female,(2) Intermediate General/Vocational Qualification,0.29989,653,2324,0.28126,0.31852
1985,Upper Secondary Level,female,(2c_gen) General Maturity Certificate,0.05337,162,2324,0.04423,0.06251
1985,First Stage of Tertiary Education,male,(1c) Basic Vocational Qualification,0.55120,195,359,0.49968,0.60273
1985,First Stage of Tertiary Education,male,(2) Intermediate General/Vocational Qualification,0.22649,86,359,0.18314,0.26985
1985,First Stage of Tertiary Education,male,(2c_voc) Vocational Maturity Certificate,0.22213,78,359,0.17907,0.26519
1985,First Stage of Tertiary Education,female,(1c) Basic Vocational Qualification,0.32815,86,256,0.27052,0.38578
1985,First Stage of Tertiary Education,female,(2) Intermediate General/Vocational Qualification,0.43684,113,256,0.37596,0.49772
1985,First Stage of Tertiary Education,female,(2c_voc) Vocational Maturity Certificate,0.22134,57,256,0.17038,0.27229
1985,Second Stage of Tertiary Education,male,(3a) Lower Tertiary Education,0.37896,177,509,0.33677,0.42114
1985,Second Stage of Tertiary Education,male,(3b) Higher Tertiary Education,0.62104,332,509,0.57886,0.66323
1985,Second Stage of Tertiary Education,female,(3a) Lower Tertiary Education,0.29830,71,246,0.24101,0.35559
1985,Second Stage of Tertiary Education,female,(3b) Higher Tertiary Education,0.70170,175,246,0.64441,0.75899
1986,Primary Level,male,(1a) Inadequately completed,0.82399,306,306,0.78125,0.86673
1986,Primary Level,female,(1a) Inadequately completed,0.90753,444,444,0.88055,0.93450
1986,Lower Secondary Level,male,(1b) General Elementary School,0.76324,831,1008,0.73698,0.78949
1986,Lower Secondary Level,male,(2) Intermediate General/Vocational Qualification,0.23646,177,1008,0.21021,0.26270
1986,Lower Secondary Level,female,(1b) General Elementary School,0.83892,1611,1899,0.82238,0.85546
1986,Lower Secondary Level,female,(2) Intermediate General/Vocational Qualification,0.16051,288,1899,0.14400,0.17703
1986,Upper Secondary Level,male,(1a) Inadequately completed,0.00717,58,2723,0.00400,0.01034
