"pgcasmin","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"(0) in school","1984","(noch) kein Abschluss","kein Migrationshintergrund","164","0.690496066495297","0.631009652470915","0.749982480519679"
"(0) in school","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"(0) in school","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"(0) in school","1984","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"(0) in school","1984","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"(0) in school","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"(0) in school","1984","Realschulabschluss","kein Migrationshintergrund","","","",""
"(0) in school","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"(0) in school","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"(0) in school","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"(0) in school","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"(0) in school","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"(0) in school","1984","AkademikerInnen","kein Migrationshintergrund","","","",""
"(0) in school","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"(0) in school","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"(1a) inadequately completed","1984","(noch) kein Abschluss","kein Migrationshintergrund","68","0.309503933504703","0.250017519480321","0.368990347529085"
"(1a) inadequately completed","1984","(noch) kein Abschluss","direkter Migrationshintergrund","1042","0.970876747006635","0.960782556892959","0.980970937120311"
"(1a) inadequately completed","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"(1a) inadequately completed","1984","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"(1a) inadequately completed","1984","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"(1a) inadequately completed","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"(1a) inadequately completed","1984","Realschulabschluss","kein Migrationshintergrund","","","",""
"(1a) inadequately completed","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"(1a) inadequately completed","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"(1a) inadequately completed","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"(1a) inadequately completed","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"(1a) inadequately completed","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"(1a) inadequately completed","1984","AkademikerInnen","kein Migrationshintergrund","","","",""
"(1a) inadequately completed","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"(1a) inadequately completed","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"(1b) general elementary school","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"(1b) general elementary school","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"(1b) general elementary school","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"(1b) general elementary school","1984","Hauptschulabschluss","kein Migrationshintergrund","1956","0.372558345437458","0.359739856598259","0.385376834276656"
"(1b) general elementary school","1984","Hauptschulabschluss","direkter Migrationshintergrund","1027","0.50142520770807","0.477992556599292","0.524857858816849"
"(1b) general elementary school","1984","Hauptschulabschluss","indirekter Migrationshintergrund","37","0.347397387684898","0.239637994415934","0.455156780953862"
"(1b) general elementary school","1984","Realschulabschluss","kein Migrationshintergrund","","","",""
"(1b) general elementary school","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"(1b) general elementary school","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"(1b) general elementary school","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"(1b) general elementary school","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"(1b) general elementary school","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"(1b) general elementary school","1984","AkademikerInnen","kein Migrationshintergrund","","","",""
"(1b) general elementary school","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"(1b) general elementary school","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1984","Hauptschulabschluss","kein Migrationshintergrund","3509","0.627441654562542","0.614623165723344","0.640260143401741"
"(1c) basic vocational qualification","1984","Hauptschulabschluss","direkter Migrationshintergrund","722","0.49857479229193","0.475142141183151","0.522007443400708"
"(1c) basic vocational qualification","1984","Hauptschulabschluss","indirekter Migrationshintergrund","38","0.652602612315102","0.544843219046139","0.760362005584066"
"(1c) basic vocational qualification","1984","Realschulabschluss","kein Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1984","AkademikerInnen","kein Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1984","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1984","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1984","Realschulabschluss","kein Migrationshintergrund","409","0.239594409174108","0.219422599672736","0.259766218675481"
"(2b) intermediate general qualification","1984","Realschulabschluss","direkter Migrationshintergrund","52","0.285846095811326","0.211003970291566","0.360688221331087"
"(2b) intermediate general qualification","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1984","AkademikerInnen","kein Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"(2a) intermediate vocational","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1984","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"(2a) intermediate vocational","1984","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1984","Realschulabschluss","kein Migrationshintergrund","1311","0.760405590825891","0.740233781324519","0.780577400327264"
"(2a) intermediate vocational","1984","Realschulabschluss","direkter Migrationshintergrund","88","0.714153904188674","0.639311778668914","0.788996029708434"
"(2a) intermediate vocational","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"(2a) intermediate vocational","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1984","AkademikerInnen","kein Migrationshintergrund","","","",""
"(2a) intermediate vocational","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1984","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1984","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
