year,migback,sex,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,male,(0) No qualification (yet),0.01849,83,4109,0.01437,0.02261
1984,No migration background,male,(1a) Inadequately completed,0.00818,33,4109,0.00542,0.01093
1984,No migration background,male,(1b) General Elementary School,0.11949,479,4109,0.10957,0.12941
1984,No migration background,male,(1c) Basic Vocational Qualification,0.50038,2011,4109,0.48509,0.51567
1984,No migration background,male,(2) Intermediate General/Vocational Qualification,0.16543,704,4109,0.15407,0.17679
1984,No migration background,male,(2c_gen) General Maturity Certificate,0.03722,161,4109,0.03143,0.04300
1984,No migration background,male,(2c_voc) Vocational Maturity Certificate,0.04466,183,4109,0.03835,0.05098
1984,No migration background,male,(3a) Lower Tertiary Education,0.04217,176,4109,0.03602,0.04831
1984,No migration background,male,(3b) Higher Tertiary Education,0.06399,279,4109,0.05650,0.07147
1984,No migration background,female,(0) No qualification (yet),0.01564,76,4540,0.01203,0.01925
1984,No migration background,female,(1a) Inadequately completed,0.00753,35,4540,0.00502,0.01005
1984,No migration background,female,(1b) General Elementary School,0.34533,1468,4540,0.33149,0.35916
1984,No migration background,female,(1c) Basic Vocational Qualification,0.32206,1491,4540,0.30846,0.33565
1984,No migration background,female,(2) Intermediate General/Vocational Qualification,0.21674,1015,4540,0.20475,0.22873
1984,No migration background,female,(2c_gen) General Maturity Certificate,0.02327,118,4540,0.01888,0.02765
1984,No migration background,female,(2c_voc) Vocational Maturity Certificate,0.02583,126,4540,0.02121,0.03044
1984,No migration background,female,(3a) Lower Tertiary Education,0.01338,67,4540,0.01004,0.01673
1984,No migration background,female,(3b) Higher Tertiary Education,0.03022,144,4540,0.02524,0.03520
1984,Direct migration background,male,(1a) Inadequately completed,0.15860,444,1716,0.14131,0.17589
1984,Direct migration background,male,(1b) General Elementary School,0.20340,479,1716,0.18435,0.22245
1984,Direct migration background,male,(1c) Basic Vocational Qualification,0.35311,498,1716,0.33049,0.37573
1984,Direct migration background,male,(2) Intermediate General/Vocational Qualification,0.09031,64,1716,0.07674,0.10387
1984,Direct migration background,male,(2c_gen) General Maturity Certificate,0.03961,72,1716,0.03038,0.04884
1984,Direct migration background,male,(2c_voc) Vocational Maturity Certificate,0.06584,96,1716,0.05410,0.07758
1984,Direct migration background,male,(3b) Higher Tertiary Education,0.05370,63,1716,0.04303,0.06437
1984,Direct migration background,female,(1a) Inadequately completed,0.20667,575,1540,0.18644,0.22690
1984,Direct migration background,female,(1b) General Elementary School,0.34890,532,1540,0.32509,0.37271
1984,Direct migration background,female,(1c) Basic Vocational Qualification,0.19338,218,1540,0.17365,0.21311
1984,Direct migration background,female,(2) Intermediate General/Vocational Qualification,0.11160,75,1540,0.09586,0.12733
1984,Direct migration background,female,(2c_gen) General Maturity Certificate,0.03975,57,1540,0.02999,0.04951
1984,Direct migration background,female,(2c_voc) Vocational Maturity Certificate,0.04287,47,1540,0.03275,0.05300
1984,Direct migration background,female,(3b) Higher Tertiary Education,0.04252,36,1540,0.03244,0.05260
1985,No migration background,male,(0) No qualification (yet),0.02432,96,3789,0.01941,0.02923
1985,No migration background,male,(1a) Inadequately completed,0.01028,38,3789,0.00707,0.01349
1985,No migration background,male,(1b) General Elementary School,0.11445,421,3789,0.10432,0.12459
1985,No migration background,male,(1c) Basic Vocational Qualification,0.48804,1802,3789,0.47212,0.50396
1985,No migration background,male,(2) Intermediate General/Vocational Qualification,0.17232,674,3789,0.16029,0.18434
1985,No migration background,male,(2c_gen) General Maturity Certificate,0.03469,147,3789,0.02886,0.04051
1985,No migration background,male,(2c_voc) Vocational Maturity Certificate,0.04629,172,3789,0.03960,0.05298
1985,No migration background,male,(3a) Lower Tertiary Education,0.04182,161,3789,0.03544,0.04819
