year,pgisced97,sampreg,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,West,(0) No qualification (yet),0.96435,187,187,0.93770,0.99099
1984,Primary Level,West,(1a) Inadequately completed,0.89941,975,975,0.88052,0.91830
1984,Lower Secondary Level,West,(1b) General Elementary School,0.84206,2971,3448,0.82989,0.85424
1984,Lower Secondary Level,West,(2) Intermediate General/Vocational Qualification,0.15680,477,3448,0.14467,0.16894
1984,Upper Secondary Level,West,(1a) Inadequately completed,0.00506,115,5682,0.00322,0.00691
1984,Upper Secondary Level,West,(1c) Basic Vocational Qualification,0.70285,3954,5682,0.69097,0.71474
1984,Upper Secondary Level,West,(2) Intermediate General/Vocational Qualification,0.23080,1198,5682,0.21984,0.24176
1984,Upper Secondary Level,West,(2c_gen) General Maturity Certificate,0.05949,415,5682,0.05334,0.06565
1984,First Stage of Tertiary Education,West,(1c) Basic Vocational Qualification,0.46324,300,654,0.42500,0.50149
1984,First Stage of Tertiary Education,West,(2) Intermediate General/Vocational Qualification,0.31341,210,654,0.27783,0.34899
1984,First Stage of Tertiary Education,West,(2c_voc) Vocational Maturity Certificate,0.21826,144,654,0.18658,0.24994
1984,Second Stage of Tertiary Education,West,(3a) Lower Tertiary Education,0.36229,266,790,0.32875,0.39583
1984,Second Stage of Tertiary Education,West,(3b) Higher Tertiary Education,0.63771,524,790,0.60417,0.67125
1985,Pre-primary Level,West,(0) No qualification (yet),0.99798,187,187,0.99152,1.00443
1985,Primary Level,West,(1a) Inadequately completed,0.87383,805,805,0.85088,0.89678
1985,Lower Secondary Level,West,(1b) General Elementary School,0.82500,2587,3061,0.81153,0.83846
1985,Lower Secondary Level,West,(2) Intermediate General/Vocational Qualification,0.17495,474,3061,0.16149,0.18841
1985,Upper Secondary Level,West,(1a) Inadequately completed,0.00494,92,5155,0.00303,0.00686
1985,Upper Secondary Level,West,(1c) Basic Vocational Qualification,0.69336,3544,5155,0.68077,0.70595
