year,regtyp,sampreg,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,West,(0) No qualification (yet),0.01520,150,8563,0.01261,0.01779
1985,Urban regions,West,(1a) Inadequately completed,0.02107,792,8563,0.01803,0.02411
1985,Urban regions,West,(1b) General Elementary School,0.18298,1977,8563,0.17479,0.19117
1985,Urban regions,West,(1c) Basic Vocational Qualification,0.31930,2916,8563,0.30943,0.32918
1985,Urban regions,West,(2) Intermediate General/Vocational Qualification,0.16616,1413,8563,0.15828,0.17405
1985,Urban regions,West,(2c_gen) General Maturity Certificate,0.02885,340,8563,0.02531,0.03240
1985,Urban regions,West,(2c_voc) Vocational Maturity Certificate,0.03394,342,8563,0.03010,0.03777
1985,Urban regions,West,(3a) Lower Tertiary Education,0.02448,210,8563,0.02121,0.02776
1985,Urban regions,West,(3b) Higher Tertiary Education,0.04416,423,8563,0.03981,0.04851
1985,Rural regions,West,(0) No qualification (yet),0.01348,37,2322,0.00879,0.01817
1985,Rural regions,West,(1a) Inadequately completed,0.01556,108,2322,0.01053,0.02060
1985,Rural regions,West,(1b) General Elementary School,0.23232,639,2322,0.21514,0.24951
1985,Rural regions,West,(1c) Basic Vocational Qualification,0.33127,909,2322,0.31212,0.35042
1985,Rural regions,West,(2) Intermediate General/Vocational Qualification,0.15012,402,2322,0.13558,0.16465
1985,Rural regions,West,(2c_gen) General Maturity Certificate,0.01117,37,2322,0.00690,0.01545
1985,Rural regions,West,(2c_voc) Vocational Maturity Certificate,0.02300,68,2322,0.01690,0.02909
1985,Rural regions,West,(3a) Lower Tertiary Education,0.01491,38,2322,0.00998,0.01984
1985,Rural regions,West,(3b) Higher Tertiary Education,0.03010,84,2322,0.02315,0.03705
1986,Urban regions,West,(0) No qualification (yet),0.01412,166,8236,0.01157,0.01666
1986,Urban regions,West,(1a) Inadequately completed,0.02121,734,8236,0.01810,0.02432
1986,Urban regions,West,(1b) General Elementary School,0.17726,1866,8236,0.16901,0.18551
1986,Urban regions,West,(1c) Basic Vocational Qualification,0.31680,2769,8236,0.30676,0.32685
1986,Urban regions,West,(2) Intermediate General/Vocational Qualification,0.16887,1386,8236,0.16078,0.17696
1986,Urban regions,West,(2c_gen) General Maturity Certificate,0.03221,349,8236,0.02840,0.03603
1986,Urban regions,West,(2c_voc) Vocational Maturity Certificate,0.03508,342,8236,0.03111,0.03906
1986,Urban regions,West,(3a) Lower Tertiary Education,0.02568,206,8236,0.02226,0.02909
1986,Urban regions,West,(3b) Higher Tertiary Education,0.04415,418,8236,0.03971,0.04859
1986,Rural regions,West,(1a) Inadequately completed,0.01628,105,2188,0.01097,0.02158
1986,Rural regions,West,(1b) General Elementary School,0.22203,604,2188,0.20461,0.23945
1986,Rural regions,West,(1c) Basic Vocational Qualification,0.32798,851,2188,0.30831,0.34766
1986,Rural regions,West,(2) Intermediate General/Vocational Qualification,0.15551,386,2188,0.14032,0.17070
1986,Rural regions,West,(2c_gen) General Maturity Certificate,0.01669,50,2188,0.01132,0.02206
1986,Rural regions,West,(2c_voc) Vocational Maturity Certificate,0.02382,67,2188,0.01743,0.03022
1986,Rural regions,West,(3a) Lower Tertiary Education,0.01583,41,2188,0.01060,0.02107
1986,Rural regions,West,(3b) Higher Tertiary Education,0.03159,84,2188,0.02426,0.03892
1987,Urban regions,West,(0) No qualification (yet),0.01284,166,8116,0.01039,0.01529
1987,Urban regions,West,(1a) Inadequately completed,0.02156,713,8116,0.01840,0.02472
1987,Urban regions,West,(1b) General Elementary School,0.17472,1848,8116,0.16645,0.18298
1987,Urban regions,West,(1c) Basic Vocational Qualification,0.31908,2734,8116,0.30894,0.32922
1987,Urban regions,West,(2) Intermediate General/Vocational Qualification,0.16588,1364,8116,0.15779,0.17398
1987,Urban regions,West,(2c_gen) General Maturity Certificate,0.03061,329,8116,0.02686,0.03436
1987,Urban regions,West,(2c_voc) Vocational Maturity Certificate,0.03692,344,8116,0.03281,0.04102
1987,Urban regions,West,(3a) Lower Tertiary Education,0.02646,205,8116,0.02297,0.02995
1987,Urban regions,West,(3b) Higher Tertiary Education,0.04533,413,8116,0.04080,0.04985
1987,Rural regions,West,(1a) Inadequately completed,0.01289,98,2158,0.00813,0.01765
1987,Rural regions,West,(1b) General Elementary School,0.21518,587,2158,0.19784,0.23253
1987,Rural regions,West,(1c) Basic Vocational Qualification,0.32894,847,2158,0.30911,0.34877
1987,Rural regions,West,(2) Intermediate General/Vocational Qualification,0.15841,395,2158,0.14300,0.17382
1987,Rural regions,West,(2c_gen) General Maturity Certificate,0.01753,50,2158,0.01199,0.02307
1987,Rural regions,West,(2c_voc) Vocational Maturity Certificate,0.02052,57,2158,0.01454,0.02650
1987,Rural regions,West,(3a) Lower Tertiary Education,0.01722,44,2158,0.01173,0.02271
1987,Rural regions,West,(3b) Higher Tertiary Education,0.03144,80,2158,0.02407,0.03880
1988,Urban regions,West,(0) No qualification (yet),0.01225,134,7751,0.00980,0.01469
1988,Urban regions,West,(1a) Inadequately completed,0.01958,651,7751,0.01650,0.02267
1988,Urban regions,West,(1b) General Elementary School,0.17070,1787,7751,0.16233,0.17908
1988,Urban regions,West,(1c) Basic Vocational Qualification,0.31879,2618,7751,0.30842,0.32917
1988,Urban regions,West,(2) Intermediate General/Vocational Qualification,0.16751,1329,7751,0.15920,0.17583
1988,Urban regions,West,(2c_gen) General Maturity Certificate,0.03030,306,7751,0.02648,0.03411
1988,Urban regions,West,(2c_voc) Vocational Maturity Certificate,0.03829,336,7751,0.03402,0.04257
1988,Urban regions,West,(3a) Lower Tertiary Education,0.02549,189,7751,0.02198,0.02900
1988,Urban regions,West,(3b) Higher Tertiary Education,0.04796,401,7751,0.04320,0.05272
1988,Rural regions,West,(1a) Inadequately completed,0.01339,94,2012,0.00836,0.01841
1988,Rural regions,West,(1b) General Elementary School,0.21064,536,2012,0.19282,0.22846
1988,Rural regions,West,(1c) Basic Vocational Qualification,0.33757,803,2012,0.31690,0.35823
1988,Rural regions,West,(2) Intermediate General/Vocational Qualification,0.15537,372,2012,0.13953,0.17120
1988,Rural regions,West,(2c_gen) General Maturity Certificate,0.01728,43,2012,0.01158,0.02297
1988,Rural regions,West,(2c_voc) Vocational Maturity Certificate,0.02068,52,2012,0.01446,0.02690
1988,Rural regions,West,(3a) Lower Tertiary Education,0.01793,44,2012,0.01213,0.02373
1988,Rural regions,West,(3b) Higher Tertiary Education,0.02732,68,2012,0.02019,0.03444
1989,Urban regions,West,(0) No qualification (yet),0.01453,149,7552,0.01183,0.01723
1989,Urban regions,West,(1a) Inadequately completed,0.02018,626,7552,0.01701,0.02335
1989,Urban regions,West,(1b) General Elementary School,0.16838,1707,7552,0.15994,0.17682
1989,Urban regions,West,(1c) Basic Vocational Qualification,0.31273,2522,7552,0.30228,0.32319
1989,Urban regions,West,(2) Intermediate General/Vocational Qualification,0.16826,1299,7552,0.15982,0.17670
1989,Urban regions,West,(2c_gen) General Maturity Certificate,0.03082,311,7552,0.02692,0.03472
1989,Urban regions,West,(2c_voc) Vocational Maturity Certificate,0.04075,348,7552,0.03629,0.04521
1989,Urban regions,West,(3a) Lower Tertiary Education,0.02636,191,7552,0.02275,0.02998
1989,Urban regions,West,(3b) Higher Tertiary Education,0.04961,399,7552,0.04471,0.05451
1989,Rural regions,West,(1a) Inadequately completed,0.01379,86,1906,0.00856,0.01903
1989,Rural regions,West,(1b) General Elementary School,0.20384,497,1906,0.18575,0.22193
1989,Rural regions,West,(1c) Basic Vocational Qualification,0.34052,768,1906,0.31924,0.36180
1989,Rural regions,West,(2) Intermediate General/Vocational Qualification,0.15103,352,1906,0.13495,0.16711
1989,Rural regions,West,(2c_gen) General Maturity Certificate,0.01677,41,1906,0.01100,0.02253
1989,Rural regions,West,(2c_voc) Vocational Maturity Certificate,0.02122,54,1906,0.01475,0.02770
1989,Rural regions,West,(3a) Lower Tertiary Education,0.01886,41,1906,0.01275,0.02497
1989,Rural regions,West,(3b) Higher Tertiary Education,0.03124,67,1906,0.02343,0.03905
1990,Urban regions,West,(0) No qualification (yet),0.01224,134,7338,0.00972,0.01475
1990,Urban regions,West,(1a) Inadequately completed,0.02151,597,7338,0.01819,0.02483
1990,Urban regions,West,(1b) General Elementary School,0.16369,1660,7338,0.15522,0.17216
1990,Urban regions,West,(1c) Basic Vocational Qualification,0.30707,2442,7338,0.29651,0.31762
1990,Urban regions,West,(2) Intermediate General/Vocational Qualification,0.16823,1269,7338,0.15967,0.17679
1990,Urban regions,West,(2c_gen) General Maturity Certificate,0.03019,292,7338,0.02627,0.03410
1990,Urban regions,West,(2c_voc) Vocational Maturity Certificate,0.04156,351,7338,0.03699,0.04613
1990,Urban regions,West,(3a) Lower Tertiary Education,0.02676,193,7338,0.02306,0.03045
1990,Urban regions,West,(3b) Higher Tertiary Education,0.05231,400,7338,0.04722,0.05741
1990,Urban regions,East,(1b) General Elementary School,0.06615,95,1427,0.05325,0.07905
1990,Urban regions,East,(1c) Basic Vocational Qualification,0.23124,400,1427,0.20936,0.25312
1990,Urban regions,East,(2) Intermediate General/Vocational Qualification,0.24544,501,1427,0.22310,0.26777
1990,Urban regions,East,(2c_voc) Vocational Maturity Certificate,0.01888,38,1427,0.01181,0.02594
1990,Urban regions,East,(3a) Lower Tertiary Education,0.11479,226,1427,0.09825,0.13134
1990,Urban regions,East,(3b) Higher Tertiary Education,0.07979,167,1427,0.06573,0.09386
1990,Rural regions,West,(1a) Inadequately completed,0.01499,86,1899,0.00953,0.02046
1990,Rural regions,West,(1b) General Elementary School,0.19891,479,1899,0.18095,0.21686
1990,Rural regions,West,(1c) Basic Vocational Qualification,0.34413,767,1899,0.32275,0.36550
1990,Rural regions,West,(2) Intermediate General/Vocational Qualification,0.15625,356,1899,0.13992,0.17259
1990,Rural regions,West,(2c_gen) General Maturity Certificate,0.01894,46,1899,0.01281,0.02508
1990,Rural regions,West,(2c_voc) Vocational Maturity Certificate,0.02339,59,1899,0.01659,0.03019
1990,Rural regions,West,(3a) Lower Tertiary Education,0.01892,43,1899,0.01279,0.02505
1990,Rural regions,West,(3b) Higher Tertiary Education,0.02949,63,1899,0.02188,0.03711
1990,Rural regions,East,(1a) Inadequately completed,0.00786,33,2842,0.00462,0.01111
1990,Rural regions,East,(1b) General Elementary School,0.08144,231,2842,0.07138,0.09150
1990,Rural regions,East,(1c) Basic Vocational Qualification,0.27413,917,2842,0.25772,0.29053
1990,Rural regions,East,(2) Intermediate General/Vocational Qualification,0.26041,1036,2842,0.24427,0.27655
1990,Rural regions,East,(2c_voc) Vocational Maturity Certificate,0.01110,45,2842,0.00725,0.01496
1990,Rural regions,East,(3a) Lower Tertiary Education,0.10262,416,2842,0.09147,0.11378
