year,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,(0) No qualification (yet),0.01314,188,12073,0.01111,0.01517
1984,(1a) Inadequately completed,0.01983,1093,12073,0.01734,0.02232
1984,(1b) General Elementary School,0.20033,2995,12073,0.19319,0.20747
1984,(1c) Basic Vocational Qualification,0.32354,4254,12073,0.31520,0.33189
1984,(2) Intermediate General/Vocational Qualification,0.15197,1885,12073,0.14556,0.15837
1984,(2c_gen) General Maturity Certificate,0.02525,415,12073,0.02245,0.02805
1984,(2c_voc) Vocational Maturity Certificate,0.02994,453,12073,0.02690,0.03298
1984,(3a) Lower Tertiary Education,0.02164,266,12073,0.01905,0.02424
1984,(3b) Higher Tertiary Education,0.03809,524,12073,0.03468,0.04151
1985,(0) No qualification (yet),0.01478,187,10885,0.01251,0.01704
1985,(1a) Inadequately completed,0.01971,900,10885,0.01710,0.02232
1985,(1b) General Elementary School,0.19518,2616,10885,0.18773,0.20263
1985,(1c) Basic Vocational Qualification,0.32226,3825,10885,0.31348,0.33104
1985,(2) Intermediate General/Vocational Qualification,0.16220,1815,10885,0.15527,0.16912
1985,(2c_gen) General Maturity Certificate,0.02448,377,10885,0.02158,0.02739
1985,(2c_voc) Vocational Maturity Certificate,0.03123,410,10885,0.02797,0.03450
1985,(3a) Lower Tertiary Education,0.02212,248,10885,0.01935,0.02488
1985,(3b) Higher Tertiary Education,0.04068,507,10885,0.03697,0.04440
1986,(0) No qualification (yet),0.01246,189,10447,0.01033,0.01459
1986,(1a) Inadequately completed,0.02000,839,10447,0.01732,0.02269
1986,(1b) General Elementary School,0.18821,2470,10447,0.18072,0.19571
1986,(1c) Basic Vocational Qualification,0.31954,3620,10447,0.31060,0.32848
1986,(2) Intermediate General/Vocational Qualification,0.16560,1772,10447,0.15847,0.17273
1986,(2c_gen) General Maturity Certificate,0.02842,399,10447,0.02523,0.03160
1986,(2c_voc) Vocational Maturity Certificate,0.03233,409,10447,0.02894,0.03572
1986,(3a) Lower Tertiary Education,0.02327,247,10447,0.02038,0.02616
1986,(3b) Higher Tertiary Education,0.04108,502,10447,0.03727,0.04488
1987,(0) No qualification (yet),0.01141,192,10300,0.00936,0.01346
1987,(1a) Inadequately completed,0.01945,811,10300,0.01678,0.02212
1987,(1b) General Elementary School,0.18457,2435,10300,0.17707,0.19206
1987,(1c) Basic Vocational Qualification,0.32148,3581,10300,0.31246,0.33050
1987,(2) Intermediate General/Vocational Qualification,0.16406,1759,10300,0.15691,0.17122
1987,(2c_gen) General Maturity Certificate,0.02743,379,10300,0.02427,0.03058
1987,(2c_voc) Vocational Maturity Certificate,0.03293,401,10300,0.02948,0.03637
1987,(3a) Lower Tertiary Education,0.02421,249,10300,0.02124,0.02718
1987,(3b) Higher Tertiary Education,0.04195,493,10300,0.03808,0.04582
1988,(0) No qualification (yet),0.01165,163,9792,0.00953,0.01378
1988,(1a) Inadequately completed,0.01809,745,9792,0.01545,0.02073
1988,(1b) General Elementary School,0.18029,2323,9792,0.17268,0.18791
1988,(1c) Basic Vocational Qualification,0.32330,3421,9792,0.31404,0.33257
1988,(2) Intermediate General/Vocational Qualification,0.16460,1701,9792,0.15725,0.17194
1988,(2c_gen) General Maturity Certificate,0.02717,349,9792,0.02395,0.03039
1988,(2c_voc) Vocational Maturity Certificate,0.03406,388,9792,0.03047,0.03766
1988,(3a) Lower Tertiary Education,0.02368,233,9792,0.02066,0.02669
1988,(3b) Higher Tertiary Education,0.04300,469,9792,0.03899,0.04702
1989,(0) No qualification (yet),0.01392,176,9485,0.01157,0.01628
1989,(1a) Inadequately completed,0.01868,712,9485,0.01596,0.02140
1989,(1b) General Elementary School,0.17670,2204,9485,0.16903,0.18438
1989,(1c) Basic Vocational Qualification,0.31926,3290,9485,0.30987,0.32864
1989,(2) Intermediate General/Vocational Qualification,0.16421,1651,9485,0.15676,0.17167
1989,(2c_gen) General Maturity Certificate,0.02752,352,9485,0.02423,0.03081
1989,(2c_voc) Vocational Maturity Certificate,0.03617,402,9485,0.03241,0.03993
1989,(3a) Lower Tertiary Education,0.02460,232,9485,0.02149,0.02772
1989,(3b) Higher Tertiary Education,0.04530,466,9485,0.04111,0.04948
1990,(0) No qualification (yet),0.00978,163,13678,0.00813,0.01143
1990,(1a) Inadequately completed,0.01727,727,13678,0.01509,0.01945
1990,(1b) General Elementary School,0.15193,2470,13678,0.14592,0.15795
1990,(1c) Basic Vocational Qualification,0.30371,4550,13678,0.29601,0.31142
1990,(2) Intermediate General/Vocational Qualification,0.18411,3200,13678,0.17761,0.19060
1990,(2c_gen) General Maturity Certificate,0.02345,383,13678,0.02092,0.02599
1990,(2c_voc) Vocational Maturity Certificate,0.03250,494,13678,0.02952,0.03547
